Quadruplet,Count,FirstState,SecondState,ThirdState,FourthState,UnresolvedCount,DirectionalCount,DegradingCount,BalanceCount,UnknownCount,StateChanges,EndsDirectional,EndsDegrading,EndsBalance,EndsUnresolved,PersistentUnresolved,PersistentDirectional,PersistentDegrading,PersistentBalance,UnresolvedToDirectional,DirectionalToDegrading,BalanceUnresolvedLoop,DegradingUnresolvedLoop,ConditionalProbability
Directional->Degrading->Unresolved->Directional,1,Directional,Degrading,Unresolved,Directional,1,2,1,0,0,3,1,0,0,0,0,0,0,0,1,1,0,1,25.0
Degrading->Unresolved->Directional->Directional,1,Degrading,Unresolved,Directional,Directional,1,2,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,100.0
Directional->Directional->Degrading->Degrading,2,Directional,Directional,Degrading,Degrading,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,33.33
Directional->Degrading->Degrading->Degrading,3,Directional,Degrading,Degrading,Degrading,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,100.0
Degrading->Degrading->Degrading->Degrading,9,Degrading,Degrading,Degrading,Degrading,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,64.29
Degrading->Degrading->Degrading->Unresolved,3,Degrading,Degrading,Degrading,Unresolved,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,21.43
Degrading->Degrading->Unresolved->Balance,1,Degrading,Degrading,Unresolved,Balance,1,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,1,1,16.67
Degrading->Unresolved->Balance->Unresolved,1,Degrading,Unresolved,Balance,Unresolved,2,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,1,1,100.0
Unresolved->Balance->Unresolved->Balance,2,Unresolved,Balance,Unresolved,Balance,2,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,1,0,16.67
Balance->Unresolved->Balance->Unresolved,1,Balance,Unresolved,Balance,Unresolved,2,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,1,0,33.33
Unresolved->Unresolved->Balance->Balance,5,Unresolved,Unresolved,Balance,Balance,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,33.33
Unresolved->Balance->Balance->Unresolved,5,Unresolved,Balance,Balance,Unresolved,2,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,71.43
Balance->Balance->Unresolved->Degrading,1,Balance,Balance,Unresolved,Degrading,1,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,1,1,16.67
Balance->Unresolved->Degrading->Degrading,1,Balance,Unresolved,Degrading,Degrading,1,0,2,1,0,2,0,1,0,0,0,0,0,0,0,0,1,1,100.0
Unresolved->Degrading->Degrading->Degrading,2,Unresolved,Degrading,Degrading,Degrading,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,50.0
Degrading->Degrading->Unresolved->Degrading,1,Degrading,Degrading,Unresolved,Degrading,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,16.67
Unresolved->Unresolved->Degrading->Degrading,2,Unresolved,Unresolved,Degrading,Degrading,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,28.57
Unresolved->Degrading->Degrading->Unresolved,1,Unresolved,Degrading,Degrading,Unresolved,2,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,25.0
Degrading->Unresolved->Unresolved->Degrading,2,Degrading,Unresolved,Unresolved,Degrading,2,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,16.67
Unresolved->Unresolved->Degrading->Unresolved,4,Unresolved,Unresolved,Degrading,Unresolved,3,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,57.14
Balance->Balance->Unresolved->Unresolved,5,Balance,Balance,Unresolved,Unresolved,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,0,83.33
Balance->Unresolved->Unresolved->Balance,2,Balance,Unresolved,Unresolved,Balance,2,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,12.5
Balance->Unresolved->Balance->Balance,2,Balance,Unresolved,Balance,Balance,1,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,1,0,66.67
Unresolved->Degrading->Unresolved->Degrading,1,Unresolved,Degrading,Unresolved,Degrading,2,0,2,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,16.67
Degrading->Unresolved->Degrading->Degrading,1,Degrading,Unresolved,Degrading,Degrading,1,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,33.33
Degrading->Degrading->Degrading->Balance,1,Degrading,Degrading,Degrading,Balance,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7.14
Degrading->Degrading->Balance->Unresolved,1,Degrading,Degrading,Balance,Unresolved,1,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,50.0
Degrading->Balance->Unresolved->Balance,1,Degrading,Balance,Unresolved,Balance,1,0,1,2,0,3,0,0,1,0,0,0,0,0,0,0,1,0,50.0
Unresolved->Balance->Balance->Balance,2,Unresolved,Balance,Balance,Balance,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,28.57
Balance->Balance->Balance->Balance,3,Balance,Balance,Balance,Balance,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,60.0
Balance->Balance->Balance->Degrading,1,Balance,Balance,Balance,Degrading,0,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,20.0
Balance->Balance->Degrading->Balance,1,Balance,Balance,Degrading,Balance,0,0,1,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,100.0
Balance->Degrading->Balance->Degrading,1,Balance,Degrading,Balance,Degrading,0,0,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,100.0
Degrading->Balance->Degrading->Unresolved,1,Degrading,Balance,Degrading,Unresolved,1,0,2,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,33.33
Balance->Degrading->Unresolved->Unresolved,1,Balance,Degrading,Unresolved,Unresolved,2,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,100.0
Directional->Directional->Directional->Unresolved,1,Directional,Directional,Directional,Unresolved,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8.33
Directional->Directional->Unresolved->Unresolved,1,Directional,Directional,Unresolved,Unresolved,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,100.0
Directional->Unresolved->Unresolved->Directional,1,Directional,Unresolved,Unresolved,Directional,2,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,100.0
Degrading->Degrading->Degrading->Directional,1,Degrading,Degrading,Degrading,Directional,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7.14
Degrading->Degrading->Directional->Directional,1,Degrading,Degrading,Directional,Directional,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,100.0
Degrading->Directional->Directional->Directional,1,Degrading,Directional,Directional,Directional,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,100.0
Directional->Directional->Degrading->Directional,1,Directional,Directional,Degrading,Directional,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,16.67
Directional->Degrading->Directional->Degrading,1,Directional,Degrading,Directional,Degrading,0,2,2,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,100.0
Degrading->Directional->Degrading->Balance,1,Degrading,Directional,Degrading,Balance,0,1,2,1,0,3,0,0,1,0,0,0,0,0,0,1,0,0,50.0
Directional->Degrading->Balance->Unresolved,1,Directional,Degrading,Balance,Unresolved,1,1,1,1,0,3,0,0,0,1,0,0,0,0,0,1,1,0,50.0
Degrading->Balance->Unresolved->Unresolved,1,Degrading,Balance,Unresolved,Unresolved,2,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,50.0
Unresolved->Directional->Degrading->Degrading,1,Unresolved,Directional,Degrading,Degrading,1,1,2,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,50.0
Balance->Balance->Balance->Unresolved,1,Balance,Balance,Balance,Unresolved,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,20.0
Unresolved->Degrading->Degrading->Balance,1,Unresolved,Degrading,Degrading,Balance,1,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,25.0
Degrading->Degrading->Balance->Degrading,1,Degrading,Degrading,Balance,Degrading,0,0,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,50.0
