CurrentArchetype,Directional Continuation / Sponsor Release,Pure Unresolved Compression Equilibrium,Sponsor Exhaustion Collapse,Stable Compression Basin,Unknown,Unstable Rotational Balance
Directional Continuation / Sponsor Release,0.5235294117647059,0.0,0.3058823529411765,0.023529411764705882,0.14705882352941177,0.0
Pure Unresolved Compression Equilibrium,0.03595658073270014,0.9002713704206241,0.032564450474898234,0.0,0.0,0.031207598371777476
Sponsor Exhaustion Collapse,0.028901734104046242,0.0,0.4884393063583815,0.3208092485549133,0.11560693641618497,0.046242774566473986
Stable Compression Basin,0.01059001512859304,0.20574886535552195,0.06656580937972768,0.5446293494704992,0.05446293494704992,0.11800302571860817
Unknown,0.04564315352697095,0.04564315352697095,0.0912863070539419,0.23236514522821577,0.4854771784232365,0.0995850622406639
Unstable Rotational Balance,0.0,0.0,0.04365079365079365,0.5158730158730159,0.09126984126984126,0.3492063492063492
