Threshold,Mode,RegimeWeek,Count,MeanSignedReturn,MedianSignedReturn,TStat,PositiveRowFraction
0.08,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.08,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.08,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.08,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.1,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.1,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.1,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.1,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.1,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.1,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.1,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.12,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.12,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.12,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.12,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.12,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.12,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.12,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.14,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.14,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.14,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.14,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.14,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.14,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.14,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.16,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.16,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.16,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.16,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.16,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.16,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.16,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.18,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.18,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.18,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.18,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.18,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.18,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.18,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.2,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.2,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.2,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.2,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.2,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.2,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.2,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.22,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.22,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.22,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.22,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.22,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.22,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.22,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.24,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.24,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.24,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.24,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.24,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.24,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.24,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.26,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.26,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.26,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.26,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.26,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.26,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.26,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.28,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.28,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.28,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.28,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.28,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.28,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.28,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.3,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.3,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.3,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.3,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.3,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.3,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.3,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.32,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.32,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.32,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.32,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.32,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.32,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.32,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.34,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.34,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.34,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.34,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.34,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.34,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.34,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.36,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.36,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.36,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.36,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.36,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.36,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.36,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.38,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.38,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.38,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.38,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.38,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.38,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.38,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.4,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.4,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.4,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.4,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.4,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.4,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.4,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.42,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.42,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.42,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.42,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.42,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.42,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.42,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.44,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.44,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.44,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.44,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.44,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.44,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.44,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.46,le,2026-W15,128,-1.09375,-0.875,-1.1449695691076993,0.46875
0.46,le,2026-W16,93,3.9704301075268815,2.0,2.7173773705774247,0.5591397849462365
0.46,le,2026-W17,74,0.31756756756756754,0.125,0.294957841739998,0.5
0.46,le,2026-W18,127,-0.3090551181102362,-1.0,-0.341394569065074,0.4330708661417323
0.46,le,2026-W19,67,-3.082089552238806,-0.5,-1.843692378832763,0.4626865671641791
0.46,le,2026-W20,120,-0.027083333333333334,-0.625,-0.03397562401106128,0.45
0.46,le,2026-W21,104,-1.2355769230769231,-0.125,-1.2890406862471215,0.4807692307692308
0.48,le,2026-W15,138,-0.8115942028985508,-0.75,-0.8875940043374294,0.463768115942029
