Instrument,RegimeWeek,Policy_Count,Policy_Mean,Policy_Median,Policy_Std,Policy_TStat,Policy_WinRate,Policy_LossRate,Policy_ProfitFactor,Policy_GrossWin,Policy_GrossLoss,Policy_Min,Policy_Q25,Policy_Q75,Policy_Q90,Policy_Max,Policy_Top5SharePositiveSum,Policy_Top10SharePositiveSum,Policy_Sum,RawNorm_Count,RawNorm_Mean,RawNorm_Median,RawNorm_Std,RawNorm_TStat,RawNorm_WinRate,RawNorm_LossRate,RawNorm_ProfitFactor,RawNorm_GrossWin,RawNorm_GrossLoss,RawNorm_Min,RawNorm_Q25,RawNorm_Q75,RawNorm_Q90,RawNorm_Max,RawNorm_Top5SharePositiveSum,RawNorm_Top10SharePositiveSum,RawNorm_Sum,StopRate,MeanNormMFE,MedianNormMFE,MeanNormMAE,MedianNormMAE
ES,2026-W15,6,3.0442391460873908,0.7912816868040748,6.421745697674823,1.1611846550728477,0.8333333333333334,0.16666666666666666,22.904788442147616,19.099290675897386,0.8338557993730408,-0.8338557993730408,0.27915804002760525,1.205143202904397,8.6569143757823,16.06518010291595,0.8411401436593466,0.8411401436593466,18.265434876524345,6,3.0442391460873908,0.7912816868040748,6.421745697674823,1.1611846550728477,0.8333333333333334,0.16666666666666666,22.904788442147616,19.099290675897386,0.8338557993730408,-0.8338557993730408,0.27915804002760525,1.205143202904397,8.6569143757823,16.06518010291595,0.8411401436593466,0.8411401436593466,18.265434876524345,0.0,3.8798494967244443,1.427349737797499,-0.4785089487287107,-0.4417045208738914
ES,2026-W16,5,1.1847385418937648,0.4043321299638989,2.655330399541097,0.9976746832319913,0.6,0.4,3.8982900262039255,7.967550520768496,2.043857811299672,-1.5813953488372092,-0.4624624624624625,2.413793103448276,4.055172413793104,5.149425287356322,0.646299671892089,0.646299671892089,5.923692709468824,5,1.1847385418937648,0.4043321299638989,2.655330399541097,0.9976746832319913,0.6,0.4,3.8982900262039255,7.967550520768496,2.043857811299672,-1.5813953488372092,-0.4624624624624625,2.413793103448276,4.055172413793104,5.149425287356322,0.646299671892089,0.646299671892089,5.923692709468824,0.0,3.027332694008818,1.2612612612612613,-0.8048748333475,-0.6570397111913358
ES,2026-W17,10,-0.6953904402582441,-0.6502520669489817,0.9545144618624787,-2.3038075819537687,0.2,0.8,0.11800675160532097,0.9304013052438744,7.884305707826316,-2.0,-1.2452658973393147,-0.0676032868517285,0.18849467597893266,0.8110831234256927,0.8717562183697642,0.8717562183697642,-6.953904402582442,10,-0.4624872144517925,-0.10904185311924185,0.7950365696999443,-1.839554357765423,0.2,0.7,0.16748073945554712,0.9304013052438744,5.5552734497618,-1.6709677419354838,-1.168001765419839,-0.015855039637599076,0.18849467597893266,0.8110831234256927,0.8717562183697642,0.8717562183697642,-4.6248721445179255,0.2,0.38482816872062164,0.34681922911703833,-1.1651699120687555,-1.1579678362573098
ES,2026-W18,5,2.764042589248091,0.4647302904564315,7.3808971459736625,0.8373761346389741,0.6,0.4,4.551563103503133,17.71151729406654,3.891304347826087,-2.0,-1.891304347826087,1.5667870036101084,10.034714801444045,15.68,0.8852996465329873,0.8852996465329873,13.820212946240455,5,0.7235020487075499,0.4647302904564315,9.979966245831982,0.1621047329139115,0.6,0.4,1.2566701031557965,17.71151729406654,14.094007050528791,-12.202702702702704,-1.891304347826087,1.5667870036101084,10.034714801444045,15.68,0.8852996465329873,0.8852996465329873,3.6175102435377493,0.2,4.485259101470973,0.8132780082987552,-1.8147280104929036,-0.0580912863070539
ES,2026-W19,8,-0.9591738209258097,-0.9352090032154341,1.0273292360052702,-2.640782679369876,0.25,0.75,0.10116967779560283,0.863694105691057,8.537084673097535,-2.0,-2.0,-0.4390243902439024,0.3566692073170731,0.6197916666666667,0.7176055302250332,0.7176055302250332,-7.673390567406478,8,-0.16741855730161515,-0.6833333333333333,2.0053192740788863,-0.2361375541434778,0.375,0.625,0.7919494406155426,5.098262006925625,6.437610465338546,-2.158590308370044,-1.313297375790893,0.33787474593495936,1.7042245370370364,4.234567901234568,0.8305904826943397,0.8305904826943397,-1.3393484584129212,0.375,1.275977338907707,0.8418568056648308,-1.6466520593266512,-1.6596511741206275
ES,2026-W20,7,-0.1643539550578325,0.0446333687566418,1.0133991683060741,-0.42909023973224514,0.5714285714285714,0.42857142857142855,0.6077916981574452,1.782855647928506,2.9333333333333336,-2.0,-0.4666666666666667,0.20382188338758495,0.7206929434202165,1.3305785123966942,0.7463187016529852,0.7463187016529852,-1.1504776854048275,7,-0.28659986834852197,0.0446333687566418,1.286540651425219,-0.5893882766891461,0.5714285714285714,0.42857142857142855,0.47052781674583727,1.782855647928506,3.7890547263681595,-2.855721393034826,-0.4666666666666667,0.20382188338758495,0.7206929434202165,1.3305785123966942,0.7463187016529852,0.7463187016529852,-2.006199078439654,0.14285714285714285,0.6354792369197149,0.4165781083953241,-1.1953940295869292,-0.6666666666666666
ES,2026-W21,6,2.0928566278600025,0.4710919540229885,4.094975667303958,1.2518831025030233,0.6666666666666666,0.3333333333333333,36.0039508598767,12.915874694466567,0.35873492730655276,-0.2921739130434783,0.04562521631418838,1.36568093385214,5.986845393210295,10.339449541284404,0.8005225960975018,0.8005225960975018,12.557139767160015,6,2.0928566278600025,0.4710919540229885,4.094975667303958,1.2518831025030233,0.6666666666666666,0.3333333333333333,36.0039508598767,12.915874694466567,0.35873492730655276,-0.2921739130434783,0.04562521631418838,1.36568093385214,5.986845393210295,10.339449541284404,0.8005225960975018,0.8005225960975018,12.557139767160015,0.0,3.311213206308633,2.0383225248594896,0.5213830324967337,-0.209463601532567
NQ,2026-W14,10,-0.5120221595290068,-0.21933179641629974,1.2312461626826023,-1.3150548490335834,0.3,0.7,0.319915928486664,2.4085852239851637,7.528806819275233,-2.0,-1.7459703417150225,0.04512913473192485,0.7552256228162728,1.658084449021627,0.6884059706545141,0.6884059706545141,-5.120221595290068,10,-0.636813649048538,-0.21933179641629974,1.4199546787065038,-1.41820130337606,0.3,0.7,0.2744288018172012,2.4085852239851637,8.776721714470545,-2.792401628222524,-1.6719838552285362,0.04512913473192485,0.7552256228162728,1.658084449021627,0.6884059706545141,0.6884059706545141,-6.36813649048538,0.3,1.1837967795030016,0.8530488585697489,-1.6023002426901052,-0.7642062788572748
NQ,2026-W15,18,0.4374193847979618,0.2069610470917379,1.7178000892825247,1.0803429868568926,0.5,0.5,2.0981836580445226,15.043159281322815,7.169610354959501,-2.0,-0.4543973673723435,0.8682802562931835,2.3196530633064123,4.413793103448276,0.2934086531230394,0.5738275739540287,7.873548926363312,18,0.7308206923205885,0.6713232671501606,1.6146571523656859,1.920289765344433,0.5555555555555556,0.4444444444444444,3.9453855109896576,17.62100359270006,4.466231130929464,-1.2966207759699624,-0.378621901113515,1.0168890595009596,3.07000696543124,4.413793103448276,0.25048477404980496,0.48988013364809685,13.154772461770595,0.1111111111111111,1.6403492597257099,1.2529226799967752,-1.074462990318196,-0.8996755100201304
NQ,2026-W16,29,-0.0910503447037561,0.1368078175895765,1.4908452272596389,-0.328888004610247,0.5172413793103449,0.4827586206896552,0.8563867804308042,15.745451859962344,18.385911856371273,-2.0,-1.1515613099771516,0.7221654749744637,1.3434798309785743,4.316666666666666,0.41828638055065265,0.5212032390414166,-2.640459996408927,29,-0.6979344602242494,0.1368078175895765,3.2495563120474764,-1.1566170061284147,0.5172413793103449,0.4827586206896552,0.4375492755307117,15.745451859962344,35.98555120646558,-14.847980997624704,-1.1515613099771516,0.7221654749744637,1.3434798309785743,4.316666666666666,0.41828638055065265,0.5212032390414166,-20.240099346503232,0.20689655172413793,1.1008191695369332,0.6840390879478828,-1.937951918153976,-0.8383233532934132
