Time,File,SignedReturn,DirectionalMFE,DirectionalMAE,RollingEntropy,RollingDirectionalPresence,Stop,Target,PolicyOutcome
2026-04-06 10:40:00,xApvaV01StateLog_ES.csv,-9.0,0.25,-9.75,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-06 10:45:00,xApvaV01StateLog_ES.csv,4.0,9.0,0.0,1.1567796494427114,0.0,4.0,8.0,8.0
2026-04-06 10:55:00,xApvaV01StateLog_ES.csv,-13.75,3.5,-15.5,1.1567796494427114,0.0,4.0,8.0,-4.0
2026-04-06 11:20:00,xApvaV01StateLog_ES.csv,-0.75,7.0,-2.25,1.2954618442339936,0.0,4.0,8.0,-0.75
2026-04-06 11:25:00,xApvaV01StateLog_ES.csv,-2.75,2.5,-6.75,0.8812908992278072,0.0,4.0,8.0,-4.0
2026-04-06 13:15:00,xApvaV01StateLog_ES.csv,-2.75,1.75,-5.25,1.1567796494427114,0.0,4.0,8.0,-4.0
2026-04-07 10:15:00,xApvaV01StateLog_ES.csv,-11.75,8.0,-21.25,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-07 11:20:00,xApvaV01StateLog_ES.csv,-14.0,1.25,-17.25,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-07 11:25:00,xApvaV01StateLog_ES.csv,-12.0,1.75,-13.0,0.8812908992278072,0.0,4.0,8.0,-4.0
2026-04-07 13:25:00,xApvaV01StateLog_ES.csv,-8.25,0.25,-18.25,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-07 13:35:00,xApvaV01StateLog_ES.csv,0.5,10.5,-5.75,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-07 13:40:00,xApvaV01StateLog_ES.csv,167.25,178.25,-1.25,1.2954618442339936,0.0,4.0,8.0,8.0
2026-04-07 13:45:00,xApvaV01StateLog_ES.csv,155.25,172.25,-4.25,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-07 13:50:00,xApvaV01StateLog_ES.csv,152.75,173.25,-3.25,1.2954618442339936,0.0,4.0,8.0,8.0
2026-04-07 13:55:00,xApvaV01StateLog_ES.csv,162.0,172.25,-3.75,1.2954618442339936,0.0,4.0,8.0,8.0
2026-04-07 14:00:00,xApvaV01StateLog_ES.csv,143.0,173.25,141.75,1.2954618442339936,0.0,4.0,8.0,8.0
2026-04-08 06:35:00,xApvaV01StateLog_ES.csv,14.0,20.75,-4.0,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-08 06:40:00,xApvaV01StateLog_ES.csv,3.5,14.75,-10.0,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-08 06:45:00,xApvaV01StateLog_ES.csv,2.0,11.25,-13.5,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-08 06:50:00,xApvaV01StateLog_ES.csv,12.0,21.5,0.0,0.8812908992278072,0.0,4.0,8.0,8.0
2026-04-08 10:55:00,xApvaV01StateLog_ES.csv,-8.25,10.0,-13.25,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-08 11:15:00,xApvaV01StateLog_ES.csv,-18.25,2.75,-20.5,0.9999999999971146,0.0,4.0,8.0,-4.0
2026-04-08 11:20:00,xApvaV01StateLog_ES.csv,8.25,9.0,-6.25,0.9709505944517832,0.0,4.0,8.0,-4.0
2026-04-08 11:50:00,xApvaV01StateLog_ES.csv,-5.0,10.25,-6.5,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-08 12:15:00,xApvaV01StateLog_ES.csv,4.5,7.0,-9.5,0.9709505944517832,0.0,4.0,8.0,-4.0
2026-04-08 12:20:00,xApvaV01StateLog_ES.csv,9.0,12.5,-4.0,0.9999999999971146,0.0,4.0,8.0,-4.0
2026-04-08 12:55:00,xApvaV01StateLog_ES.csv,2.75,9.5,-2.75,1.1567796494427114,0.0,4.0,8.0,8.0
2026-04-09 06:45:00,xApvaV01StateLog_ES.csv,-5.25,1.75,-9.0,0.8812908992278072,0.0,4.0,8.0,-4.0
2026-04-09 11:00:00,xApvaV01StateLog_ES.csv,16.75,19.0,-0.75,0.8812908992278072,0.0,4.0,8.0,8.0
2026-04-09 11:05:00,xApvaV01StateLog_ES.csv,2.25,5.0,-7.75,0.9709505944517832,0.0,4.0,8.0,-4.0
2026-04-09 11:40:00,xApvaV01StateLog_ES.csv,-3.0,5.5,-5.25,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-09 11:45:00,xApvaV01StateLog_ES.csv,-10.75,2.25,-11.0,1.1567796494427114,0.0,4.0,8.0,-4.0
2026-04-09 11:55:00,xApvaV01StateLog_ES.csv,-6.25,1.0,-12.25,1.1567796494427114,0.0,4.0,8.0,-4.0
2026-04-09 12:00:00,xApvaV01StateLog_ES.csv,-7.5,1.75,-11.5,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-09 12:15:00,xApvaV01StateLog_ES.csv,2.25,6.75,-4.5,0.9709505944517832,0.0,4.0,8.0,-4.0
2026-04-09 12:20:00,xApvaV01StateLog_ES.csv,7.25,10.5,-0.75,0.8812908992278072,0.0,4.0,8.0,8.0
2026-04-09 12:30:00,xApvaV01StateLog_ES.csv,5.75,8.25,-0.5,1.1567796494427114,0.0,4.0,8.0,8.0
2026-04-09 12:35:00,xApvaV01StateLog_ES.csv,-4.75,3.75,-5.25,1.1567796494427114,0.0,4.0,8.0,-4.0
2026-04-09 12:40:00,xApvaV01StateLog_ES.csv,-7.75,3.75,-7.75,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-09 12:45:00,xApvaV01StateLog_ES.csv,-9.5,2.5,-11.75,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-09 12:50:00,xApvaV01StateLog_ES.csv,-6.0,5.25,-9.0,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-09 13:15:00,xApvaV01StateLog_ES.csv,-3.25,2.25,-4.0,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-09 13:30:00,xApvaV01StateLog_ES.csv,-0.75,0.25,-3.5,1.2954618442339936,0.0,4.0,8.0,-0.75
2026-04-09 13:35:00,xApvaV01StateLog_ES.csv,-1.75,0.75,-5.0,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-09 13:40:00,xApvaV01StateLog_ES.csv,9.5,19.0,-5.0,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-09 13:45:00,xApvaV01StateLog_ES.csv,7.0,19.0,-5.0,0.8812908992278072,0.0,4.0,8.0,-4.0
2026-04-10 07:10:00,xApvaV01StateLog_ES.csv,-9.75,4.25,-14.25,0.8812908992278072,0.0,4.0,8.0,-4.0
2026-04-10 07:15:00,xApvaV01StateLog_ES.csv,-2.25,3.0,-7.5,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-10 08:00:00,xApvaV01StateLog_ES.csv,6.25,7.25,-4.5,1.1567796494427114,0.0,4.0,8.0,-4.0
2026-04-10 08:05:00,xApvaV01StateLog_ES.csv,1.25,9.25,-2.5,1.1567796494427114,0.0,4.0,8.0,8.0
2026-04-10 08:10:00,xApvaV01StateLog_ES.csv,-6.0,6.0,-7.75,1.1567796494427114,0.0,4.0,8.0,-4.0
2026-04-10 08:25:00,xApvaV01StateLog_ES.csv,-17.5,0.0,-19.25,1.2954618442339936,0.0,4.0,8.0,-4.0
2026-04-10 08:40:00,xApvaV01StateLog_ES.csv,11.5,13.5,-3.0,1.2954618442339936,0.0,4.0,8.0,8.0
2026-04-10 08:45:00,xApvaV01StateLog_ES.csv,11.0,13.75,-2.75,0.8812908992278072,0.0,4.0,8.0,8.0
2026-04-13 07:25:00,xApvaV01StateLog_ES.csv,-1.0,3.25,-6.75,0.8812908992278072,0.0,4.0,8.0,-4.0
