Stop,Target,CollisionMode,Count,MeanOutcome,MedianOutcome,StdOutcome,TStat,WinRate,LossRate,ScratchRate,GrossWin,GrossLoss,ProfitFactor,MinOutcome,Q05,Q25,Q75,Q95,MaxOutcome,Top5PctShareOfPositiveSum,Top10PctShareOfPositiveSum
6.0,32.0,conservative,377,0.5749336870026526,-3.0,8.79527732670037,1.2692258046257974,0.41644562334217505,0.5782493368700266,0.005305039787798408,1368.75,1152.0,1.1881510416666667,-6.0,-6.0,-6.0,4.75,16.14999999999999,32.0,0.3782648401826484,0.5612785388127854
8.0,32.0,conservative,377,0.5311671087533156,-1.0,9.311354354272538,1.107615424691187,0.46153846153846156,0.5305039787798409,0.007957559681697613,1456.75,1256.5,1.1593712693991245,-8.0,-8.0,-8.0,5.75,16.14999999999999,32.0,0.35541444997425775,0.5321777930324352
6.0,24.0,conservative,377,0.4761273209549072,-3.0,8.273284379891384,1.1174184172348038,0.41644562334217505,0.5782493368700266,0.005305039787798408,1331.5,1152.0,1.1558159722222223,-6.0,-6.0,-6.0,4.75,18.14999999999999,24.0,0.33852797596695455,0.5439354111903868
8.0,24.0,conservative,377,0.47015915119363394,-1.0,8.889761740586232,1.0268936005161282,0.46153846153846156,0.5305039787798409,0.007957559681697613,1433.75,1256.5,1.141066454436928,-8.0,-8.0,-8.0,5.75,19.79999999999994,24.0,0.3180470793374019,0.5175239755884917
8.0,20.0,conservative,377,0.44297082228116713,-1.0,8.707804623641259,0.9877274417112873,0.46153846153846156,0.5305039787798409,0.007957559681697613,1423.5,1256.5,1.132908873855949,-8.0,-8.0,-8.0,5.75,20.0,20.0,0.2669476642079382,0.508078679311556
6.0,20.0,conservative,377,0.4330238726790451,-3.0,8.049980400528728,1.044450090498909,0.41644562334217505,0.5782493368700266,0.005305039787798408,1315.25,1152.0,1.1417100694444444,-6.0,-6.0,-6.0,4.75,20.0,20.0,0.28891845656719256,0.5337388329214978
4.0,32.0,conservative,377,0.41909814323607425,-4.0,7.929150616783626,1.0262655352067973,0.3183023872679045,0.6763925729442971,0.005305039787798408,1134.25,976.25,1.161843790012804,-4.0,-4.0,-4.0,2.25,15.199999999999989,32.0,0.4423627947983249,0.6557196385276615
2.0,32.0,conservative,377,0.3720159151193634,-2.0,6.391460240851408,1.130139626879361,0.1856763925729443,0.8116710875331565,0.002652519893899204,751.0,610.75,1.229635693819075,-2.0,-2.0,-2.0,-2.0,12.049999999999997,32.0,0.5885486018641811,0.8412117177097204
6.0,16.0,conservative,377,0.34880636604774534,-3.0,7.707438373689062,0.8787088830490306,0.41644562334217505,0.5782493368700266,0.005305039787798408,1283.5,1152.0,1.1141493055555556,-6.0,-6.0,-6.0,5.0,16.0,16.0,0.23685235683677444,0.4737047136735489
4.0,24.0,conservative,377,0.34151193633952254,-4.0,7.423495950215266,0.893239843230399,0.3183023872679045,0.6763925729442971,0.005305039787798408,1105.0,976.25,1.1318822023047375,-4.0,-4.0,-4.0,2.25,17.799999999999997,24.0,0.40248868778280544,0.640950226244344
12.0,32.0,conservative,377,0.33421750663129973,0.0,9.990106621234274,0.6495756651162012,0.493368700265252,0.4986737400530504,0.007957559681697613,1516.0,1390.0,1.0906474820143885,-12.0,-12.0,-7.25,6.0,16.14999999999999,32.0,0.341523746701847,0.5117084432717678
10.0,32.0,conservative,377,0.3282493368700265,-0.75,9.701693157305938,0.6569419537537019,0.47480106100795755,0.5172413793103449,0.007957559681697613,1482.5,1358.75,1.0910763569457222,-10.0,-10.0,-10.0,5.75,16.14999999999999,32.0,0.34924114671163575,0.5229342327150084
8.0,16.0,conservative,377,0.3269230769230769,-1.0,8.324836946644423,0.7625011742610629,0.46153846153846156,0.5305039787798409,0.007957559681697613,1379.75,1256.5,1.0980899323517708,-8.0,-8.0,-8.0,6.0,16.0,16.0,0.22032976988584888,0.44065953977169775
12.0,24.0,conservative,377,0.27320954907161804,0.0,9.597118280976717,0.5527461193792385,0.493368700265252,0.4986737400530504,0.007957559681697613,1493.0,1390.0,1.0741007194244605,-12.0,-12.0,-7.25,6.0,19.79999999999994,24.0,0.3054253181513731,0.49698593436034827
4.0,20.0,conservative,377,0.27055702917771884,-4.0,7.1190537305656365,0.7379165076695631,0.3183023872679045,0.6763925729442971,0.005305039787798408,1078.25,976.25,1.1044814340588989,-4.0,-4.0,-4.0,2.25,20.0,20.0,0.3524229074889868,0.6285648040806863
10.0,24.0,conservative,377,0.2672413793103448,-0.75,9.296481536878199,0.5581562197331428,0.47480106100795755,0.5172413793103449,0.007957559681697613,1459.5,1358.75,1.0741490340386384,-10.0,-10.0,-10.0,6.0,19.79999999999994,24.0,0.31243576567317577,0.5083932853717026
2.0,24.0,conservative,377,0.253315649867374,-2.0,5.731424286298149,0.8581636935906849,0.1856763925729443,0.8116710875331565,0.002652519893899204,706.25,610.75,1.1563651248465001,-2.0,-2.0,-2.0,-2.0,12.84999999999998,24.0,0.560353982300885,0.8311504424778761
12.0,20.0,conservative,377,0.2460212201591512,0.0,9.428252166464478,0.5066546741647554,0.493368700265252,0.4986737400530504,0.007957559681697613,1482.75,1390.0,1.066726618705036,-12.0,-12.0,-7.25,6.0,20.0,20.0,0.25628055977069636,0.4877760917214635
10.0,20.0,conservative,377,0.24005305039787797,-0.75,9.122033939241156,0.5109591966877084,0.47480106100795755,0.5172413793103449,0.007957559681697613,1449.25,1358.75,1.0666053357865686,-10.0,-10.0,-10.0,6.0,20.0,20.0,0.26220458858030016,0.4990512333965844
2.0,20.0,conservative,377,0.21618037135278514,-2.0,5.4792600495672685,0.7660639417400948,0.1856763925729443,0.8116710875331565,0.002652519893899204,692.25,610.75,1.1334424887433483,-2.0,-2.0,-2.0,-2.0,14.799999999999997,20.0,0.5337667027807873,0.8277356446370531
2.0,16.0,conservative,377,0.1903183023872679,-2.0,5.226653296866759,0.7070132250874153,0.1856763925729443,0.8116710875331565,0.002652519893899204,682.5,610.75,1.1174785100286533,-2.0,-2.0,-2.0,-2.0,16.0,16.0,0.44542124542124545,0.8164835164835165
4.0,16.0,conservative,377,0.16511936339522545,-4.0,6.715046184872432,0.47744096214270054,0.3183023872679045,0.6763925729442971,0.005305039787798408,1038.5,976.25,1.063764404609475,-4.0,-4.0,-4.0,2.25,16.0,16.0,0.2927298988926336,0.5854597977852672
12.0,16.0,conservative,377,0.14588859416445624,0.0,9.095803791596172,0.311423177031641,0.493368700265252,0.4986737400530504,0.007957559681697613,1445.0,1390.0,1.039568345323741,-12.0,-12.0,-7.25,6.25,16.0,16.0,0.21038062283737025,0.4207612456747405
10.0,16.0,conservative,377,0.13992042440318303,-0.75,8.777927573957927,0.30949938877427013,0.47480106100795755,0.5172413793103449,0.007957559681697613,1411.5,1358.75,1.038822447102116,-10.0,-10.0,-10.0,6.0,16.0,16.0,0.21537371590506554,0.4307474318101311
6.0,12.0,conservative,377,0.0649867374005305,-3.0,7.043186088630554,0.17915389151326871,0.41644562334217505,0.5782493368700266,0.005305039787798408,1176.5,1152.0,1.0212673611111112,-6.0,-6.0,-6.0,5.5,12.0,12.0,0.19379515512112197,0.38759031024224394
8.0,12.0,conservative,377,0.033156498673740056,-1.0,7.682545418398917,0.08379810573445641,0.46153846153846156,0.5305039787798409,0.007957559681697613,1269.0,1256.5,1.0099482690011938,-8.0,-8.0,-8.0,6.25,12.0,12.0,0.17966903073286053,0.35933806146572106
2.0,12.0,conservative,377,-0.03249336870026525,-2.0,4.506692557644845,-0.1399933743305638,0.1856763925729443,0.8116710875331565,0.002652519893899204,598.5,610.75,0.9799426934097422,-2.0,-2.0,-2.0,-2.0,12.0,12.0,0.38095238095238093,0.7619047619047619
12.0,12.0,conservative,377,-0.04907161803713528,0.0,8.56574110502809,-0.11123362977854025,0.4960212201591512,0.4960212201591512,0.007957559681697613,1366.5,1385.0,0.9866425992779784,-12.0,-12.0,-7.25,7.5,12.0,12.0,0.1668496158068057,0.3336992316136114
4.0,12.0,conservative,377,-0.08488063660477453,-4.0,6.032361491040373,-0.27320707667247207,0.3183023872679045,0.6763925729442971,0.005305039787798408,944.25,976.25,0.9672215108834827,-4.0,-4.0,-4.0,2.5,12.0,12.0,0.2414614773629865,0.482922954725973
10.0,12.0,conservative,377,-0.11936339522546419,-0.75,8.166303144046578,-0.2838025812818763,0.47745358090185674,0.5145888594164456,0.007957559681697613,1308.75,1353.75,0.9667590027700831,-10.0,-10.0,-10.0,7.0,12.0,12.0,0.17421203438395416,0.3484240687679083
6.0,10.0,conservative,377,-0.1870026525198939,-3.0,6.555956223363036,-0.553837549366809,0.41644562334217505,0.5782493368700266,0.005305039787798408,1081.5,1152.0,0.9388020833333334,-6.0,-6.0,-6.0,6.0,10.0,10.0,0.17568192325473878,0.35136384650947755
8.0,10.0,conservative,377,-0.1903183023872679,-1.0,7.226582165313777,-0.5113500295573113,0.46419098143236076,0.5278514588859416,0.007957559681697613,1179.75,1251.5,0.9426687974430683,-8.0,-8.0,-8.0,7.5,10.0,10.0,0.16105107014197922,0.32210214028395845
12.0,10.0,conservative,377,-0.21021220159151194,0.25,8.128727161985427,-0.5021182990232229,0.5039787798408488,0.4880636604774536,0.007957559681697613,1285.25,1364.5,0.9419201172590692,-12.0,-12.0,-7.25,10.0,10.0,10.0,0.14783116125267456,0.29566232250534913
2.0,10.0,conservative,377,-0.21021220159151194,-2.0,4.0141962786293055,-1.0167870160035366,0.1856763925729443,0.8116710875331565,0.002652519893899204,531.5,610.75,0.8702415063446582,-2.0,-2.0,-2.0,-2.0,10.0,10.0,0.35747883349012227,0.7149576669802445
10.0,10.0,conservative,377,-0.3050397877984085,-0.5,7.726421824741272,-0.7665645837788939,0.4827586206896552,0.5092838196286472,0.007957559681697613,1225.5,1340.5,0.9142111152555017,-10.0,-10.0,-10.0,8.25,10.0,10.0,0.15503875968992248,0.31007751937984496
4.0,10.0,conservative,377,-0.3083554376657825,-4.0,5.535209153530521,-1.0816537260732468,0.3183023872679045,0.6763925729442971,0.005305039787798408,860.0,976.25,0.8809218950064021,-4.0,-4.0,-4.0,2.75,10.0,10.0,0.22093023255813954,0.4418604651162791
2.0,8.0,conservative,377,-0.34748010610079577,-2.0,3.571405016631587,-1.889128570678239,0.1883289124668435,0.8090185676392573,0.002652519893899204,479.0,610.0,0.7852459016393443,-2.0,-2.0,-2.0,-2.0,8.0,8.0,0.3173277661795407,0.6346555323590815
8.0,8.0,conservative,377,-0.4224137931034483,-0.75,6.749343566081129,-1.2151985147140816,0.47214854111405835,0.519893899204244,0.007957559681697613,1083.0,1242.25,0.8718051921915878,-8.0,-8.0,-8.0,8.0,8.0,8.0,0.14035087719298245,0.2807017543859649
12.0,8.0,conservative,377,-0.4250663129973475,0.75,7.676612143273259,-1.0751220386054492,0.5172413793103449,0.47480106100795755,0.007957559681697613,1188.5,1348.75,0.8811862835959221,-12.0,-12.0,-7.25,8.0,8.0,8.0,0.12789230122002523,0.25578460244005047
6.0,8.0,conservative,377,-0.43567639257294427,-2.75,6.052518961389419,-1.3976503720307571,0.4217506631299735,0.5729442970822282,0.005305039787798408,983.25,1147.5,0.8568627450980392,-6.0,-6.0,-6.0,8.0,8.0,8.0,0.15458937198067632,0.30917874396135264
10.0,8.0,conservative,377,-0.523209549071618,0.0,7.269390689816112,-1.3974887690384006,0.493368700265252,0.4986737400530504,0.007957559681697613,1130.75,1328.0,0.8514683734939759,-10.0,-10.0,-10.0,8.0,8.0,8.0,0.13442405483086448,0.26884810966172895
4.0,8.0,conservative,377,-0.5397877984084881,-4.0,5.019451044151936,-2.0880337573212637,0.3209549071618037,0.6737400530503979,0.005305039787798408,772.0,975.5,0.7913890312660175,-4.0,-4.0,-4.0,4.0,8.0,8.0,0.19689119170984457,0.39378238341968913
2.0,6.0,conservative,377,-0.6007957559681698,-2.0,2.964851616821518,-3.9345454670521356,0.1883289124668435,0.8090185676392573,0.002652519893899204,383.5,610.0,0.6286885245901639,-2.0,-2.0,-2.0,-2.0,6.0,6.0,0.29726205997392435,0.5945241199478487
12.0,6.0,conservative,377,-0.6279840848806366,1.75,7.147968255427349,-1.705833729448835,0.5490716180371353,0.44297082228116713,0.007957559681697613,1067.75,1304.5,0.818512840168647,-12.0,-12.0,-6.75,6.0,6.0,6.0,0.10676656520721142,0.21353313041442284
6.0,6.0,conservative,377,-0.7055702917771883,-2.75,5.506238797749193,-2.4880317568890344,0.44297082228116713,0.5517241379310345,0.005305039787798408,868.25,1134.25,0.7654837998677541,-6.0,-6.0,-6.0,6.0,6.0,6.0,0.131298589116038,0.262597178232076
8.0,6.0,conservative,377,-0.7188328912466844,0.0,6.195951682450059,-2.252633785163364,0.4960212201591512,0.4960212201591512,0.007957559681697613,952.0,1223.0,0.7784137367130008,-8.0,-8.0,-8.0,6.0,6.0,6.0,0.11974789915966387,0.23949579831932774
10.0,6.0,conservative,377,-0.7970822281167109,1.0,6.741864046809855,-2.2955872858623767,0.519893899204244,0.47214854111405835,0.007957559681697613,1001.75,1302.25,0.7692455365713189,-10.0,-10.0,-10.0,6.0,6.0,6.0,0.11380084851509857,0.22760169703019714
4.0,6.0,conservative,377,-0.8057029177718833,-4.0,4.454245894197525,-3.512136796287213,0.33156498673740054,0.6631299734748011,0.005305039787798408,666.75,970.5,0.6870170015455951,-4.0,-4.0,-4.0,6.0,6.0,6.0,0.17097862767154107,0.34195725534308213
2.0,4.0,conservative,377,-0.8885941644562334,-2.0,2.30644100137814,-7.480519890868683,0.1909814323607427,0.8090185676392573,0.0,275.0,610.0,0.45081967213114754,-2.0,-2.0,-2.0,-2.0,4.0,4.0,0.27636363636363637,0.5527272727272727
12.0,4.0,conservative,377,-0.9694960212201591,4.0,6.460657162296583,-2.913667639847,0.6021220159151194,0.3925729442970822,0.005305039787798408,851.5,1217.0,0.6996713229252259,-12.0,-12.0,-6.25,4.0,4.0,4.0,0.0892542571931885,0.178508514386377
10.0,4.0,conservative,377,-1.1107427055702919,4.0,6.0612320986169435,-3.5581416259948924,0.5702917771883289,0.4244031830238727,0.005305039787798408,803.5,1222.25,0.6573941501329515,-10.0,-10.0,-10.0,4.0,4.0,4.0,0.09458618543870566,0.18917237087741132
8.0,4.0,conservative,377,-1.1332891246684351,1.75,5.502988724099622,-3.998644302280763,0.53315649867374,0.46153846153846156,0.005305039787798408,747.5,1174.75,0.6363055969355182,-8.0,-8.0,-8.0,4.0,4.0,4.0,0.10167224080267559,0.20334448160535118
6.0,4.0,conservative,377,-1.2141909814323608,-2.0,4.7737066807741115,-4.938578342085792,0.46419098143236076,0.53315649867374,0.002652519893899204,658.5,1116.25,0.5899216125419933,-6.0,-6.0,-6.0,4.0,4.0,4.0,0.11541381928625664,0.2308276385725133
2.0,2.0,conservative,377,-1.2360742705570291,-2.0,1.5743872414239695,-15.24416637205428,0.1909814323607427,0.8090185676392573,0.0,144.0,610.0,0.2360655737704918,-2.0,-2.0,-2.0,-2.0,2.0,2.0,0.2638888888888889,0.5277777777777778
