InputPath,Instrument,File,SourceRows,RowsAfterSessionFilter,SessionFilter,TimeMin,TimeMax,PressureRows
data/Validation/Temp/xApvaV01StateLog_ES062019.csv,ES,xApvaV01StateLog_ES062019.csv,3087,3087,all,2019-04-18 06:40:00,2019-06-07 13:55:00,3084
data/Validation/Temp/xApvaV01StateLog_NQ062019.csv,NQ,xApvaV01StateLog_NQ062019.csv,3085,3085,all,2019-04-18 06:40:00,2019-06-07 13:55:00,3082
