APVA Excursion Destinations Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Destination event count: 64

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
MixedStructure | VolumeRelativeToPrevious | t-5 | 0.9125 | 0.8953 | 0.2393
MixedStructure | VolumeRelativeToRollingMean | t-1 | 0.7640 | 0.7754 | 0.1580
MixedStructure | VolumeRelativeToRollingMean | t-2 | 1.4468 | 0.9310 | 1.3924
MixedStructure | VolumeRelativeToRollingMean | t-3 | 0.7929 | 0.7224 | 0.3484
MixedStructure | VolumeRelativeToRollingMean | t-5 | 0.7238 | 0.7317 | 0.1712
MixedStructure | VolumeRelativeToSessionMean | t-1 | 0.7576 | 0.7881 | 0.2137
MixedStructure | VolumeRelativeToSessionMean | t-2 | 1.3141 | 0.8566 | 1.2398
MixedStructure | VolumeRelativeToSessionMean | t-3 | 0.7615 | 0.7384 | 0.3426
MixedStructure | VolumeRelativeToSessionMean | t-5 | 0.7002 | 0.6730 | 0.1690
MixedStructure | EfficiencyRatio | t-1 | 0.3405 | 0.2915 | 0.2103
MixedStructure | EfficiencyRatio | t-2 | 0.4937 | 0.5000 | 0.2411
MixedStructure | EfficiencyRatio | t-3 | 0.3142 | 0.2627 | 0.2327
MixedStructure | EfficiencyRatio | t-5 | 0.3364 | 0.2665 | 0.2575
MixedStructure | CloseLocation | t-1 | 0.4962 | 0.3818 | 0.2938
MixedStructure | CloseLocation | t-2 | 0.5207 | 0.5805 | 0.2776
MixedStructure | CloseLocation | t-3 | 0.4887 | 0.5492 | 0.3240
MixedStructure | CloseLocation | t-5 | 0.5634 | 0.6130 | 0.2735
MixedStructure | MemoryStrength | t-1 | 0.2169 | 0.2169 | 0.0000
MixedStructure | MemoryStrength | t-2 | 0.2525 | 0.2169 | 0.0544
MixedStructure | MemoryStrength | t-3 | 0.2795 | 0.3265 | 0.0567
MixedStructure | MemoryStrength | t-5 | 0.3011 | 0.3265 | 0.0465
MixedStructure | BranchEntropy | t-1 | 1.1917 | 1.1917 | 0.0000
MixedStructure | BranchEntropy | t-2 | 1.0607 | 1.1917 | 0.2001
MixedStructure | BranchEntropy | t-3 | 0.8644 | 0.7551 | 0.3150
MixedStructure | BranchEntropy | t-5 | 0.9102 | 0.7992 | 0.2902
MixedStructure | PolarityFlipFlag | t-1 | 0.5000 | 0.5000 | 0.5000
MixedStructure | PolarityFlipFlag | t-2 | 0.5500 | 1.0000 | 0.4975
MixedStructure | PolarityFlipFlag | t-3 | 0.7000 | 1.0000 | 0.4583
MixedStructure | PolarityFlipFlag | t-5 | 0.5500 | 1.0000 | 0.4975
ReassertionProcessing | RangeRelativeToPrevious | t-1 | 0.8226 | 0.7308 | 0.4036
ReassertionProcessing | RangeRelativeToPrevious | t-2 | 1.4169 | 1.1333 | 0.7441
ReassertionProcessing | RangeRelativeToPrevious | t-3 | 0.8398 | 0.8333 | 0.2614
ReassertionProcessing | RangeRelativeToPrevious | t-5 | 0.8931 | 0.8137 | 0.2890
ReassertionProcessing | BodyRelativeToPrevious | t-1 | 1.3068 | 0.4464 | 1.9967
ReassertionProcessing | BodyRelativeToPrevious | t-2 | 5.3203 | 2.3778 | 8.1809
ReassertionProcessing | BodyRelativeToPrevious | t-3 | 2.0515 | 0.7500 | 4.0131
ReassertionProcessing | BodyRelativeToPrevious | t-5 | 1.0890 | 0.6569 | 1.1939
ReassertionProcessing | TrueRangeRelativeToPrevious | t-1 | 0.8244 | 0.7308 | 0.4067
ReassertionProcessing | TrueRangeRelativeToPrevious | t-2 | 1.4169 | 1.1333 | 0.7441
ReassertionProcessing | TrueRangeRelativeToPrevious | t-3 | 0.8377 | 0.8333 | 0.2618
ReassertionProcessing | TrueRangeRelativeToPrevious | t-5 | 0.8979 | 0.8137 | 0.2825
ReassertionProcessing | VolumeRelativeToPrevious | t-1 | 0.9260 | 0.8136 | 0.4035
ReassertionProcessing | VolumeRelativeToPrevious | t-2 | 1.1529 | 1.0609 | 0.3963
ReassertionProcessing | VolumeRelativeToPrevious | t-3 | 0.9067 | 0.8789 | 0.2248
ReassertionProcessing | VolumeRelativeToPrevious | t-5 | 0.9492 | 0.8231 | 0.3718
ReassertionProcessing | VolumeRelativeToRollingMean | t-1 | 0.5830 | 0.5370 | 0.2076
ReassertionProcessing | VolumeRelativeToRollingMean | t-2 | 0.6713 | 0.6070 | 0.2408
ReassertionProcessing | VolumeRelativeToRollingMean | t-3 | 0.5861 | 0.5847 | 0.1860
ReassertionProcessing | VolumeRelativeToRollingMean | t-5 | 0.5804 | 0.5137 | 0.2381
ReassertionProcessing | VolumeRelativeToSessionMean | t-1 | 0.5837 | 0.5098 | 0.2250
ReassertionProcessing | VolumeRelativeToSessionMean | t-2 | 0.6665 | 0.6119 | 0.2198
ReassertionProcessing | VolumeRelativeToSessionMean | t-3 | 0.6044 | 0.5959 | 0.1941
ReassertionProcessing | VolumeRelativeToSessionMean | t-5 | 0.6124 | 0.5399 | 0.2501
ReassertionProcessing | EfficiencyRatio | t-1 | 0.4057 | 0.3333 | 0.2439
ReassertionProcessing | EfficiencyRatio | t-2 | 0.5303 | 0.5806 | 0.2513
ReassertionProcessing | EfficiencyRatio | t-3 | 0.3567 | 0.3784 | 0.2215
ReassertionProcessing | EfficiencyRatio | t-5 | 0.3313 | 0.3333 | 0.2272
ReassertionProcessing | CloseLocation | t-1 | 0.5134 | 0.5918 | 0.2604
ReassertionProcessing | CloseLocation | t-2 | 0.4543 | 0.4318 | 0.2970
ReassertionProcessing | CloseLocation | t-3 | 0.4067 | 0.3243 | 0.2474
ReassertionProcessing | CloseLocation | t-5 | 0.5142 | 0.5000 | 0.2840
ReassertionProcessing | MemoryStrength | t-1 | 0.2169 | 0.2169 | 0.0000
ReassertionProcessing | MemoryStrength | t-2 | 0.2590 | 0.2169 | 0.0568
ReassertionProcessing | MemoryStrength | t-3 | 0.2826 | 0.3265 | 0.0560
ReassertionProcessing | MemoryStrength | t-5 | 0.3067 | 0.3265 | 0.0390
ReassertionProcessing | BranchEntropy | t-1 | 1.1917 | 1.1917 | 0.0000
ReassertionProcessing | BranchEntropy | t-2 | 1.0368 | 1.1917 | 0.2089
ReassertionProcessing | BranchEntropy | t-3 | 0.8351 | 0.7551 | 0.3218
ReassertionProcessing | BranchEntropy | t-5 | 0.8706 | 0.7992 | 0.3125
ReassertionProcessing | PolarityFlipFlag | t-1 | 0.6774 | 1.0000 | 0.4675
ReassertionProcessing | PolarityFlipFlag | t-2 | 0.4516 | 0.0000 | 0.4977
ReassertionProcessing | PolarityFlipFlag | t-3 | 0.6452 | 1.0000 | 0.4785
ReassertionProcessing | PolarityFlipFlag | t-5 | 0.7097 | 1.0000 | 0.4539
RecoveryResolution | RangeRelativeToPrevious | t-1 | 3.2308 | 3.2308 | 0.0000
RecoveryResolution | RangeRelativeToPrevious | t-2 | 0.7647 | 0.7647 | 0.0000
RecoveryResolution | RangeRelativeToPrevious | t-3 | 0.6800 | 0.6800 | 0.0000
