APVA State Grammar Study v0.1 - CL
==================================
Instrument: CL
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_OPEN_apva_bar_evidence_v01.csv
Total rows: 2677
Valid polarity rows: 2625
State encoding precedence: A Accepted, C Compression, D Dissipation, E Expansion, P Peak, K Climactic, N None.
OER is a crude independence baseline: observed raw windows divided by expected windows.

Section 1 - Diagnostics
=======================
State           Count    Frequency
A Accepted       1241      46.36%
C Compression       1436      53.64%
D Dissipation          0       0.00%
E Expansion          0       0.00%
P Peak              0       0.00%
K Climactic          0       0.00%
N None              0       0.00%

Total Windows
-------------
Length 3: 2675
Length 4: 2674
Length 5: 2673
Length 6: 2672

Section 2 - Sequence Consequence Tables
=======================================

Length 3 Sequences (Count >= 20)
--------------------------------
Sequence                          Count  OutcomeN       OER   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
Sequence                          Count  OutcomeN       OER   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
C->A->C->C->A->C                     58        54    1.2199     0.037593    -0.005000    48.15%    50.00%     1.85%
C->C->A->C->A->C                     58        55    1.2199     0.006545     0.040000    52.73%    45.45%     1.82%
C->C->C->A->A->C                     55        52    1.1568    -0.032308    -0.005000    44.23%    50.00%     5.77%
C->C->C->A->C->A                     55        55    1.1568     0.073091     0.080000    54.55%    45.45%     0.00%
A->C->C->A->C->C                     53        50    1.1147    -0.147200    -0.085000    38.00%    58.00%     4.00%
C->A->A->C->C->C                     53        51    1.1147    -0.037843     0.050000    50.98%    49.02%     0.00%
C->C->A->A->C->C                     53        52    1.1147     0.061538     0.060000    57.69%    42.31%     0.00%
C->A->A->C->A->C                     52        49    1.2655    -0.026327     0.090000    55.10%    42.86%     2.04%
C->C->C->C->C->C                     52        51    0.8168    -0.034902    -0.070000    43.14%    56.86%     0.00%
A->A->C->C->C->C                     51        49    1.0727     0.014490     0.060000    57.14%    42.86%     0.00%
A->C->A->C->C->A                     51        50    1.2412    -0.118800    -0.095000    40.00%    60.00%     0.00%
C->C->A->A->C->A                     51        51    1.2412     0.043922     0.110000    60.78%    39.22%     0.00%
C->C->C->C->A->C                     51        48    0.9270     0.390000     0.025000    50.00%    50.00%     0.00%
A->C->C->C->C->A                     50        50    1.0516     0.157600    -0.075000    44.00%    56.00%     0.00%
C->A->C->A->A->C                     50        48    1.2169    -0.245000    -0.285000    45.83%    54.17%     0.00%
C->A->C->A->C->A                     50        50    1.2169     0.123800     0.030000    52.00%    44.00%     4.00%
A->C->C->A->A->C                     49        48    1.1925    -0.056458    -0.155000    37.50%    62.50%     0.00%
A->C->C->C->C->C                     49        49    0.8906     0.030204     0.090000    55.10%    44.90%     0.00%
C->C->A->C->C->A                     49        49    1.0306    -0.050816    -0.030000    44.90%    55.10%     0.00%
C->C->C->C->C->A                     49        49    0.8906     0.000000    -0.050000    48.98%    51.02%     0.00%
A->A->C->A->C->C                     48        44    1.1682    -0.176591    -0.020000    47.73%    52.27%     0.00%
A->C->A->C->A->A                     48        48    1.3518     0.214583     0.000000    50.00%    50.00%     0.00%
A->C->C->C->A->C                     48        47    1.0096    -0.050851    -0.100000    38.30%    59.57%     2.13%
C->A->C->C->C->C                     48        46    0.8725     0.388478    -0.085000    47.83%    52.17%     0.00%
C->C->A->C->C->C                     48        47    0.8725    -0.407660    -0.060000    46.81%    51.06%     2.13%
C->C->C->C->A->A                     48        48    1.0096    -0.091458    -0.020000    45.83%    52.08%     2.08%
A->C->A->A->C->A                     46        46    1.2954    -0.192609    -0.020000    47.83%    52.17%     0.00%
C->A->C->A->C->C                     46        46    0.9675     0.170217     0.155000    58.70%    41.30%     0.00%
A->C->C->A->C->A                     45        44    1.0952    -0.245909    -0.180000    38.64%    61.36%     0.00%
C->A->A->C->A->A                     45        45    1.2673     0.081333     0.040000    51.11%    46.67%     2.22%
C->A->C->C->C->A                     44        44    0.9254     0.276818     0.120000    59.09%    40.91%     0.00%
C->C->C->A->C->C                     44        42    0.7998     0.785238     0.130000    59.52%    40.48%     0.00%
A->C->A->A->C->C                     43        43    1.0465     0.190233     0.070000    53.49%    44.19%     2.33%
A->C->A->C->C->C                     43        41    0.9044     0.029756     0.080000    58.54%    41.46%     0.00%
C->A->A->C->C->A                     43        43    1.0465     0.270000     0.230000    65.12%    34.88%     0.00%
C->A->C->C->A->A                     42        42    1.0222     0.053810     0.015000    52.38%    47.62%     0.00%
C->C->A->C->A->A                     42        42    1.0222    -0.222619    -0.225000    38.10%    61.90%     0.00%
A->A->C->C->A->C                     40        39    0.9735    -0.239231    -0.180000    38.46%    58.97%     2.56%
C->A->C->A->A->A                     40        40    1.1265    -0.195000    -0.100000    42.50%    57.50%     0.00%
A->A->C->A->A->C                     39        38    1.0983    -1.134737    -0.160000    31.58%    68.42%     0.00%
A->C->A->C->A->C                     39        37    0.9492     0.478108     0.150000    54.05%    45.95%     0.00%
A->A->C->C->C->A                     38        38    0.9248    -0.152105    -0.140000    42.11%    57.89%     0.00%
A->C->A->A->A->C                     38        38    1.0701     0.545000     0.315000    65.79%    34.21%     0.00%
A->A->C->A->C->A                     37        37    1.0420     0.008108     0.050000    51.35%    48.65%     0.00%
A->A->A->C->C->C                     36        34    0.8761     0.088824     0.095000    58.82%    41.18%     0.00%
A->A->C->C->A->A                     35        35    0.9857    -0.168571    -0.090000    42.86%    57.14%     0.00%
C->A->A->A->C->A                     35        35    0.9857    -0.200571    -0.040000    48.57%    51.43%     0.00%
C->A->A->A->C->C                     35        33    0.8518    -0.282424    -0.210000    33.33%    63.64%     3.03%
A->C->C->C->A->A                     34        34    0.8275    -0.050000     0.070000    61.76%    38.24%     0.00%
A->A->A->A->C->C                     33        30    0.9293     0.157333     0.175000    66.67%    33.33%     0.00%
A->A->A->C->A->C                     33        32    0.9293     0.095312     0.170000    62.50%    37.50%     0.00%
A->A->A->C->C->A                     32        32    0.9012    -0.035313    -0.110000    37.50%    62.50%     0.00%
A->C->A->A->A->A                     32        32    1.0428    -0.045000     0.170000    56.25%    43.75%     0.00%
C->C->A->A->A->C                     32        31    0.7788    -0.108710    -0.060000    45.16%    51.61%     3.23%
C->A->A->A->A->C                     31        30    0.8730     0.220333     0.130000    56.67%    43.33%     0.00%
A->A->C->A->A->A                     30        30    0.9776    -0.296000    -0.115000    36.67%    63.33%     0.00%
A->C->C->A->A->A                     28        28    0.7885     0.005714    -0.030000    46.43%    50.00%     3.57%
C->C->C->A->A->A                     27        27    0.6571    -0.164815    -0.140000    22.22%    77.78%     0.00%
A->A->A->A->A->C                     24        24    0.7821    -0.138750     0.070000    58.33%    41.67%     0.00%
A->A->A->C->A->A                     24        24    0.7821    -0.237917    -0.035000    50.00%    50.00%     0.00%
C->A->A->A->A->A                     24        24    0.7821     0.028750    -0.200000    37.50%    62.50%     0.00%
C->C->A->A->A->A                     23        23    0.6477    -0.128696    -0.090000    39.13%    60.87%     0.00%
A->A->A->A->C->A                     22        22    0.7169    -0.105455    -0.030000    50.00%    50.00%     0.00%
A->A->A->A->A->A                     21        21    0.7918    -0.072381     0.180000    57.14%    42.86%     0.00%

Section 3 - Ranked Sections
===========================

Length 3 Rankings
=================

Most Common
-----------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->C->C                             381       369    0.9227     0.000352    51.76%    47.97%
   2 C->A->C                             380       362    1.0649     0.081878    49.72%    48.90%
   3 A->C->C                             356       341    0.9977     0.098182    51.91%    46.92%
   4 C->C->A                             356       355    0.9977     0.046000    47.89%    52.11%
   5 A->C->A                             341       340    1.1058    -0.047853    50.88%    48.53%
   6 A->A->C                             318       309    1.0312    -0.125081    46.93%    51.78%
   7 C->A->A                             318       318    1.0312    -0.034057    48.74%    50.63%
   8 A->A->A                             225       225    0.8443    -0.116444    42.22%    57.33%

Most Overrepresented
--------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->C->A                             341       340    1.1058    -0.047853    50.88%    48.53%
   2 C->A->C                             380       362    1.0649     0.081878    49.72%    48.90%
   3 A->A->C                             318       309    1.0312    -0.125081    46.93%    51.78%
   4 C->A->A                             318       318    1.0312    -0.034057    48.74%    50.63%
   5 A->C->C                             356       341    0.9977     0.098182    51.91%    46.92%
   6 C->C->A                             356       355    0.9977     0.046000    47.89%    52.11%
   7 C->C->C                             381       369    0.9227     0.000352    51.76%    47.97%
   8 A->A->A                             225       225    0.8443    -0.116444    42.22%    57.33%

Highest Continuation
--------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->C->C                             356       341    0.9977     0.098182    51.91%    46.92%
   2 C->C->C                             381       369    0.9227     0.000352    51.76%    47.97%
   3 A->C->A                             341       340    1.1058    -0.047853    50.88%    48.53%
   4 C->A->C                             380       362    1.0649     0.081878    49.72%    48.90%
   5 C->A->A                             318       318    1.0312    -0.034057    48.74%    50.63%
   6 C->C->A                             356       355    0.9977     0.046000    47.89%    52.11%
   7 A->A->C                             318       309    1.0312    -0.125081    46.93%    51.78%
   8 A->A->A                             225       225    0.8443    -0.116444    42.22%    57.33%

Highest Failure
---------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->A->A                             225       225    0.8443    -0.116444    42.22%    57.33%
   2 C->C->A                             356       355    0.9977     0.046000    47.89%    52.11%
   3 A->A->C                             318       309    1.0312    -0.125081    46.93%    51.78%
   4 C->A->A                             318       318    1.0312    -0.034057    48.74%    50.63%
   5 C->A->C                             380       362    1.0649     0.081878    49.72%    48.90%
   6 A->C->A                             341       340    1.1058    -0.047853    50.88%    48.53%
   7 C->C->C                             381       369    0.9227     0.000352    51.76%    47.97%
   8 A->C->C                             356       341    0.9977     0.098182    51.91%    46.92%

Highest Positive Mean DRFwd5
----------------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->C->C                             356       341    0.9977     0.098182    51.91%    46.92%
   2 C->A->C                             380       362    1.0649     0.081878    49.72%    48.90%
   3 C->C->A                             356       355    0.9977     0.046000    47.89%    52.11%
   4 C->C->C                             381       369    0.9227     0.000352    51.76%    47.97%
   5 C->A->A                             318       318    1.0312    -0.034057    48.74%    50.63%
   6 A->C->A                             341       340    1.1058    -0.047853    50.88%    48.53%
   7 A->A->A                             225       225    0.8443    -0.116444    42.22%    57.33%
   8 A->A->C                             318       309    1.0312    -0.125081    46.93%    51.78%

Highest Negative Mean DRFwd5
----------------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->A->C                             318       309    1.0312    -0.125081    46.93%    51.78%
   2 A->A->A                             225       225    0.8443    -0.116444    42.22%    57.33%
   3 A->C->A                             341       340    1.1058    -0.047853    50.88%    48.53%
   4 C->A->A                             318       318    1.0312    -0.034057    48.74%    50.63%
   5 C->C->C                             381       369    0.9227     0.000352    51.76%    47.97%
   6 C->C->A                             356       355    0.9977     0.046000    47.89%    52.11%
   7 C->A->C                             380       362    1.0649     0.081878    49.72%    48.90%
   8 A->C->C                             356       341    0.9977     0.098182    51.91%    46.92%

Length 4 Rankings
=================

Most Common
-----------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->C->C->C                          200       195    0.9033     0.093744    50.77%    49.23%
   2 C->C->A->C                          197       188    1.0296     0.048032    44.15%    54.26%
   3 C->A->A->C                          193       186    1.1672    -0.318656    40.32%    58.06%
   4 C->A->C->C                          192       183    1.0035     0.145902    50.82%    48.09%
   5 C->A->C->A                          187       186    1.1309    -0.001667    49.46%    49.46%
   6 A->C->A->C                          182       173    1.1007     0.114509    55.49%    43.35%
   7 A->C->C->C                          181       174    0.9460    -0.104310    52.87%    46.55%
   8 C->C->C->A                          181       181    0.9460     0.078895    48.62%    51.38%
   9 A->C->C->A                          175       174    1.0583     0.011782    47.13%    52.87%
  10 A->A->C->C                          164       158    0.9918     0.042911    53.16%    45.57%
  11 A->C->A->A                          159       159    1.1127    -0.006918    47.17%    52.20%
  12 C->C->A->A                          159       159    0.9616    -0.061195    50.31%    49.06%
  13 A->A->C->A                          154       154    1.0777    -0.103636    52.60%    47.40%
  14 A->A->A->C                          125       123    0.8747     0.167642    56.91%    42.28%
  15 C->A->A->A                          125       125    0.8747    -0.167760    37.60%    61.60%
  16 A->A->A->A                          100       100    0.8097    -0.052300    48.00%    52.00%

Most Overrepresented
--------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->A->A->C                          193       186    1.1672    -0.318656    40.32%    58.06%
   2 C->A->C->A                          187       186    1.1309    -0.001667    49.46%    49.46%
   3 A->C->A->A                          159       159    1.1127    -0.006918    47.17%    52.20%
   4 A->C->A->C                          182       173    1.1007     0.114509    55.49%    43.35%
   5 A->A->C->A                          154       154    1.0777    -0.103636    52.60%    47.40%
   6 A->C->C->A                          175       174    1.0583     0.011782    47.13%    52.87%
   7 C->C->A->C                          197       188    1.0296     0.048032    44.15%    54.26%
   8 C->A->C->C                          192       183    1.0035     0.145902    50.82%    48.09%
   9 A->A->C->C                          164       158    0.9918     0.042911    53.16%    45.57%
  10 C->C->A->A                          159       159    0.9616    -0.061195    50.31%    49.06%
  11 A->C->C->C                          181       174    0.9460    -0.104310    52.87%    46.55%
  12 C->C->C->A                          181       181    0.9460     0.078895    48.62%    51.38%
  13 C->C->C->C                          200       195    0.9033     0.093744    50.77%    49.23%
  14 C->A->A->A                          125       125    0.8747    -0.167760    37.60%    61.60%
  15 A->A->A->C                          125       123    0.8747     0.167642    56.91%    42.28%
  16 A->A->A->A                          100       100    0.8097    -0.052300    48.00%    52.00%

Highest Continuation
--------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->A->A->C                          125       123    0.8747     0.167642    56.91%    42.28%
   2 A->C->A->C                          182       173    1.1007     0.114509    55.49%    43.35%
   3 A->A->C->C                          164       158    0.9918     0.042911    53.16%    45.57%
   4 A->C->C->C                          181       174    0.9460    -0.104310    52.87%    46.55%
   5 A->A->C->A                          154       154    1.0777    -0.103636    52.60%    47.40%
   6 C->A->C->C                          192       183    1.0035     0.145902    50.82%    48.09%
   7 C->C->C->C                          200       195    0.9033     0.093744    50.77%    49.23%
   8 C->C->A->A                          159       159    0.9616    -0.061195    50.31%    49.06%
   9 C->A->C->A                          187       186    1.1309    -0.001667    49.46%    49.46%
  10 C->C->C->A                          181       181    0.9460     0.078895    48.62%    51.38%
  11 A->A->A->A                          100       100    0.8097    -0.052300    48.00%    52.00%
  12 A->C->A->A                          159       159    1.1127    -0.006918    47.17%    52.20%
  13 A->C->C->A                          175       174    1.0583     0.011782    47.13%    52.87%
  14 C->C->A->C                          197       188    1.0296     0.048032    44.15%    54.26%
  15 C->A->A->C                          193       186    1.1672    -0.318656    40.32%    58.06%
  16 C->A->A->A                          125       125    0.8747    -0.167760    37.60%    61.60%

Highest Failure
---------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->A->A->A                          125       125    0.8747    -0.167760    37.60%    61.60%
   2 C->A->A->C                          193       186    1.1672    -0.318656    40.32%    58.06%
   3 C->C->A->C                          197       188    1.0296     0.048032    44.15%    54.26%
   4 A->C->C->A                          175       174    1.0583     0.011782    47.13%    52.87%
   5 A->C->A->A                          159       159    1.1127    -0.006918    47.17%    52.20%
   6 A->A->A->A                          100       100    0.8097    -0.052300    48.00%    52.00%
   7 C->C->C->A                          181       181    0.9460     0.078895    48.62%    51.38%
   8 C->A->C->A                          187       186    1.1309    -0.001667    49.46%    49.46%
   9 C->C->C->C                          200       195    0.9033     0.093744    50.77%    49.23%
  10 C->C->A->A                          159       159    0.9616    -0.061195    50.31%    49.06%
  11 C->A->C->C                          192       183    1.0035     0.145902    50.82%    48.09%
  12 A->A->C->A                          154       154    1.0777    -0.103636    52.60%    47.40%
  13 A->C->C->C                          181       174    0.9460    -0.104310    52.87%    46.55%
  14 A->A->C->C                          164       158    0.9918     0.042911    53.16%    45.57%
  15 A->C->A->C                          182       173    1.1007     0.114509    55.49%    43.35%
  16 A->A->A->C                          125       123    0.8747     0.167642    56.91%    42.28%

Highest Positive Mean DRFwd5
----------------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->A->A->C                          125       123    0.8747     0.167642    56.91%    42.28%
   2 C->A->C->C                          192       183    1.0035     0.145902    50.82%    48.09%
   3 A->C->A->C                          182       173    1.1007     0.114509    55.49%    43.35%
   4 C->C->C->C                          200       195    0.9033     0.093744    50.77%    49.23%
   5 C->C->C->A                          181       181    0.9460     0.078895    48.62%    51.38%
   6 C->C->A->C                          197       188    1.0296     0.048032    44.15%    54.26%
   7 A->A->C->C                          164       158    0.9918     0.042911    53.16%    45.57%
   8 A->C->C->A                          175       174    1.0583     0.011782    47.13%    52.87%
   9 C->A->C->A                          187       186    1.1309    -0.001667    49.46%    49.46%
  10 A->C->A->A                          159       159    1.1127    -0.006918    47.17%    52.20%
  11 A->A->A->A                          100       100    0.8097    -0.052300    48.00%    52.00%
  12 C->C->A->A                          159       159    0.9616    -0.061195    50.31%    49.06%
  13 A->A->C->A                          154       154    1.0777    -0.103636    52.60%    47.40%
  14 A->C->C->C                          181       174    0.9460    -0.104310    52.87%    46.55%
  15 C->A->A->A                          125       125    0.8747    -0.167760    37.60%    61.60%
  16 C->A->A->C                          193       186    1.1672    -0.318656    40.32%    58.06%

Highest Negative Mean DRFwd5
----------------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->A->A->C                          193       186    1.1672    -0.318656    40.32%    58.06%
   2 C->A->A->A                          125       125    0.8747    -0.167760    37.60%    61.60%
   3 A->C->C->C                          181       174    0.9460    -0.104310    52.87%    46.55%
   4 A->A->C->A                          154       154    1.0777    -0.103636    52.60%    47.40%
   5 C->C->A->A                          159       159    0.9616    -0.061195    50.31%    49.06%
   6 A->A->A->A                          100       100    0.8097    -0.052300    48.00%    52.00%
   7 A->C->A->A                          159       159    1.1127    -0.006918    47.17%    52.20%
   8 C->A->C->A                          187       186    1.1309    -0.001667    49.46%    49.46%
   9 A->C->C->A                          175       174    1.0583     0.011782    47.13%    52.87%
  10 A->A->C->C                          164       158    0.9918     0.042911    53.16%    45.57%
  11 C->C->A->C                          197       188    1.0296     0.048032    44.15%    54.26%
  12 C->C->C->A                          181       181    0.9460     0.078895    48.62%    51.38%
  13 C->C->C->C                          200       195    0.9033     0.093744    50.77%    49.23%
  14 A->C->A->C                          182       173    1.1007     0.114509    55.49%    43.35%
  15 C->A->C->C                          192       183    1.0035     0.145902    50.82%    48.09%
  16 A->A->A->C                          125       123    0.8747     0.167642    56.91%    42.28%

Length 5 Rankings
=================

Most Common
-----------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->C->A->A->C                       104       100    1.1729    -0.043900    41.00%    56.00%
   2 C->C->C->C->C                       101       100    0.8507    -0.003000    49.00%    51.00%
   3 C->A->C->C->A                       100        99    1.1278    -0.085152    42.42%    57.58%
   4 C->C->A->C->A                       100        99    1.1278    -0.068687    47.47%    52.53%
   5 A->C->C->C->C                        99        95    0.9649     0.195579    52.63%    47.37%
   6 C->C->C->A->C                        99        95    0.9649     0.171895    44.21%    54.74%
   7 C->C->C->C->A                        99        99    0.9649     0.079596    46.46%    53.54%
   8 A->C->C->A->C                        98        93    1.1053    -0.078495    44.09%    53.76%
   9 C->A->A->C->A                        97        97    1.2659    -0.068247    54.64%    45.36%
  10 C->A->C->A->C                        97        92    1.0940     0.196196    53.26%    45.65%
  11 C->C->A->C->C                        97        92    0.9454     0.278478    47.83%    50.00%
  12 C->A->A->C->C                        96        95    1.0827     0.119789    55.79%    43.16%
  13 A->C->A->C->C                        94        90    1.0601     0.000667    53.33%    46.67%
  14 C->A->C->C->C                        92        89    0.8967    -0.216180    51.69%    47.19%
  15 C->A->C->A->A                        90        90    1.1745     0.010556    44.44%    55.56%
  16 A->A->C->C->C                        89        85    1.0038     0.012824    54.12%    45.88%
  17 A->C->A->A->C                        89        86    1.1615    -0.638140    39.53%    60.47%
  18 A->C->A->C->A                        87        87    1.1354     0.074598    51.72%    45.98%
  19 A->A->C->A->C                        85        81    1.1093     0.021728    58.02%    40.74%
  20 A->C->C->C->A                        82        82    0.9248     0.078049    51.22%    48.78%
  21 C->C->C->A->A                        82        82    0.9248    -0.074268    52.44%    46.34%
  22 A->C->C->A->A                        77        77    1.0049    -0.047273    48.05%    51.95%
  23 A->A->C->C->A                        75        75    0.9788     0.139733    53.33%    46.67%
  24 A->C->A->A->A                        70        70    1.0571    -0.238286    40.00%    60.00%
  25 C->A->A->A->C                        70        69    0.9135     0.251304    56.52%    42.03%

Most Overrepresented
--------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->A->A->C->A                        97        97    1.2659    -0.068247    54.64%    45.36%
   2 C->A->C->A->A                        90        90    1.1745     0.010556    44.44%    55.56%
   3 C->C->A->A->C                       104       100    1.1729    -0.043900    41.00%    56.00%
   4 A->C->A->A->C                        89        86    1.1615    -0.638140    39.53%    60.47%
   5 A->C->A->C->A                        87        87    1.1354     0.074598    51.72%    45.98%
   6 C->A->C->C->A                       100        99    1.1278    -0.085152    42.42%    57.58%
   7 C->C->A->C->A                       100        99    1.1278    -0.068687    47.47%    52.53%
