APVA State Grammar Study v0.1 - CL
==================================
Instrument: CL
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_OPEN_apva_bar_evidence_v01.csv
Total rows: 2677
Valid polarity rows: 2625
State encoding precedence: A Accepted, C Compression, D Dissipation, E Expansion, P Peak, K Climactic, N None.
OER is a crude independence baseline: observed raw windows divided by expected windows.

Section 1 - Diagnostics
=======================
State           Count    Frequency
A Accepted       1241      46.36%
C Compression       1436      53.64%
D Dissipation          0       0.00%
E Expansion          0       0.00%
P Peak              0       0.00%
K Climactic          0       0.00%
N None              0       0.00%

Total Windows
-------------
Length 3: 2675
Length 4: 2674
Length 5: 2673
Length 6: 2672

Section 2 - Sequence Consequence Tables
=======================================

Length 3 Sequences (Count >= 20)
--------------------------------
Sequence                          Count  OutcomeN       OER   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
   8 A->A->C->A->C                        85        81    1.1093     0.021728    58.02%    40.74%
   9 A->C->C->A->C                        98        93    1.1053    -0.078495    44.09%    53.76%
  10 C->A->C->A->C                        97        92    1.0940     0.196196    53.26%    45.65%
  11 C->A->A->C->C                        96        95    1.0827     0.119789    55.79%    43.16%
  12 A->C->A->C->C                        94        90    1.0601     0.000667    53.33%    46.67%
  13 A->C->A->A->A                        70        70    1.0571    -0.238286    40.00%    60.00%
  14 A->A->C->A->A                        69        69    1.0420    -0.029710    50.72%    47.83%
  15 A->C->C->A->A                        77        77    1.0049    -0.047273    48.05%    51.95%
  16 A->A->C->C->C                        89        85    1.0038     0.012824    54.12%    45.88%
  17 A->A->C->C->A                        75        75    0.9788     0.139733    53.33%    46.67%
  18 A->C->C->C->C                        99        95    0.9649     0.195579    52.63%    47.37%
  19 C->C->C->A->C                        99        95    0.9649     0.171895    44.21%    54.74%
  20 C->C->C->C->A                        99        99    0.9649     0.079596    46.46%    53.54%
  21 C->C->A->C->C                        97        92    0.9454     0.278478    47.83%    50.00%
  22 A->C->C->C->A                        82        82    0.9248     0.078049    51.22%    48.78%
  23 C->C->C->A->A                        82        82    0.9248    -0.074268    52.44%    46.34%
  24 C->A->A->A->C                        70        69    0.9135     0.251304    56.52%    42.03%
  25 C->A->C->C->C                        92        89    0.8967    -0.216180    51.69%    47.19%

Highest Continuation
--------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->A->C->A->C                        85        81    1.1093     0.021728    58.02%    40.74%
   2 A->A->A->A->C                        55        54    0.8305     0.060741    57.41%    42.59%
   3 C->A->A->A->C                        70        69    0.9135     0.251304    56.52%    42.03%
   4 C->A->A->C->C                        96        95    1.0827     0.119789    55.79%    43.16%
   5 C->A->A->C->A                        97        97    1.2659    -0.068247    54.64%    45.36%
   6 A->A->C->C->C                        89        85    1.0038     0.012824    54.12%    45.88%
   7 A->C->A->C->C                        94        90    1.0601     0.000667    53.33%    46.67%
   8 A->A->C->C->A                        75        75    0.9788     0.139733    53.33%    46.67%
   9 C->A->C->A->C                        97        92    1.0940     0.196196    53.26%    45.65%
  10 A->C->C->C->C                        99        95    0.9649     0.195579    52.63%    47.37%
  11 C->C->C->A->A                        82        82    0.9248    -0.074268    52.44%    46.34%
  12 A->C->A->C->A                        87        87    1.1354     0.074598    51.72%    45.98%
  13 C->A->C->C->C                        92        89    0.8967    -0.216180    51.69%    47.19%
  14 A->C->C->C->A                        82        82    0.9248     0.078049    51.22%    48.78%
  15 A->A->C->A->A                        69        69    1.0420    -0.029710    50.72%    47.83%
  16 A->A->A->C->C                        68        63    0.8874    -0.073016    49.21%    49.21%
  17 A->A->A->C->A                        57        57    0.8607    -0.163860    49.12%    50.88%
  18 C->A->A->A->A                        55        55    0.8305    -0.080000    49.09%    50.91%
  19 C->C->C->C->C                       101       100    0.8507    -0.003000    49.00%    51.00%
  20 A->C->C->A->A                        77        77    1.0049    -0.047273    48.05%    51.95%
  21 C->C->A->C->C                        97        92    0.9454     0.278478    47.83%    50.00%
  22 C->C->A->C->A                       100        99    1.1278    -0.068687    47.47%    52.53%
  23 A->A->A->A->A                        45        45    0.7863    -0.018444    46.67%    53.33%
  24 C->C->C->C->A                        99        99    0.9649     0.079596    46.46%    53.54%
  25 C->A->C->A->A                        90        90    1.1745     0.010556    44.44%    55.56%

Highest Failure
---------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->C->A->A->A                        55        55    0.7178    -0.078000    34.55%    63.64%
   2 A->C->A->A->C                        89        86    1.1615    -0.638140    39.53%    60.47%
   3 A->C->A->A->A                        70        70    1.0571    -0.238286    40.00%    60.00%
   4 C->A->C->C->A                       100        99    1.1278    -0.085152    42.42%    57.58%
   5 C->C->A->A->C                       104       100    1.1729    -0.043900    41.00%    56.00%
   6 C->A->C->A->A                        90        90    1.1745     0.010556    44.44%    55.56%
   7 C->C->C->A->C                        99        95    0.9649     0.171895    44.21%    54.74%
   8 A->C->C->A->C                        98        93    1.1053    -0.078495    44.09%    53.76%
   9 C->C->C->C->A                        99        99    0.9649     0.079596    46.46%    53.54%
  10 A->A->A->A->A                        45        45    0.7863    -0.018444    46.67%    53.33%
  11 C->C->A->C->A                       100        99    1.1278    -0.068687    47.47%    52.53%
  12 A->C->C->A->A                        77        77    1.0049    -0.047273    48.05%    51.95%
  13 C->C->C->C->C                       101       100    0.8507    -0.003000    49.00%    51.00%
  14 C->A->A->A->A                        55        55    0.8305    -0.080000    49.09%    50.91%
  15 A->A->A->C->A                        57        57    0.8607    -0.163860    49.12%    50.88%
  16 C->C->A->C->C                        97        92    0.9454     0.278478    47.83%    50.00%
  17 A->A->A->C->C                        68        63    0.8874    -0.073016    49.21%    49.21%
  18 A->C->C->C->A                        82        82    0.9248     0.078049    51.22%    48.78%
  19 A->A->C->A->A                        69        69    1.0420    -0.029710    50.72%    47.83%
  20 A->C->C->C->C                        99        95    0.9649     0.195579    52.63%    47.37%
  21 C->A->C->C->C                        92        89    0.8967    -0.216180    51.69%    47.19%
  22 A->C->A->C->C                        94        90    1.0601     0.000667    53.33%    46.67%
  23 A->A->C->C->A                        75        75    0.9788     0.139733    53.33%    46.67%
  24 C->C->C->A->A                        82        82    0.9248    -0.074268    52.44%    46.34%
  25 A->C->A->C->A                        87        87    1.1354     0.074598    51.72%    45.98%

Highest Positive Mean DRFwd5
----------------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->C->A->C->C                        97        92    0.9454     0.278478    47.83%    50.00%
   2 C->A->A->A->C                        70        69    0.9135     0.251304    56.52%    42.03%
   3 C->A->C->A->C                        97        92    1.0940     0.196196    53.26%    45.65%
   4 A->C->C->C->C                        99        95    0.9649     0.195579    52.63%    47.37%
   5 C->C->C->A->C                        99        95    0.9649     0.171895    44.21%    54.74%
   6 A->A->C->C->A                        75        75    0.9788     0.139733    53.33%    46.67%
   7 C->A->A->C->C                        96        95    1.0827     0.119789    55.79%    43.16%
   8 C->C->C->C->A                        99        99    0.9649     0.079596    46.46%    53.54%
   9 A->C->C->C->A                        82        82    0.9248     0.078049    51.22%    48.78%
  10 A->C->A->C->A                        87        87    1.1354     0.074598    51.72%    45.98%
  11 A->A->A->A->C                        55        54    0.8305     0.060741    57.41%    42.59%
  12 A->A->C->A->C                        85        81    1.1093     0.021728    58.02%    40.74%
  13 A->A->C->C->C                        89        85    1.0038     0.012824    54.12%    45.88%
  14 C->A->C->A->A                        90        90    1.1745     0.010556    44.44%    55.56%
  15 A->C->A->C->C                        94        90    1.0601     0.000667    53.33%    46.67%
  16 C->C->C->C->C                       101       100    0.8507    -0.003000    49.00%    51.00%
  17 A->A->A->A->A                        45        45    0.7863    -0.018444    46.67%    53.33%
  18 A->A->C->A->A                        69        69    1.0420    -0.029710    50.72%    47.83%
  19 C->C->A->A->C                       104       100    1.1729    -0.043900    41.00%    56.00%
  20 A->C->C->A->A                        77        77    1.0049    -0.047273    48.05%    51.95%
  21 C->A->A->C->A                        97        97    1.2659    -0.068247    54.64%    45.36%
  22 C->C->A->C->A                       100        99    1.1278    -0.068687    47.47%    52.53%
  23 A->A->A->C->C                        68        63    0.8874    -0.073016    49.21%    49.21%
  24 C->C->C->A->A                        82        82    0.9248    -0.074268    52.44%    46.34%
  25 C->C->A->A->A                        55        55    0.7178    -0.078000    34.55%    63.64%

Highest Negative Mean DRFwd5
----------------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->C->A->A->C                        89        86    1.1615    -0.638140    39.53%    60.47%
   2 A->C->A->A->A                        70        70    1.0571    -0.238286    40.00%    60.00%
   3 C->A->C->C->C                        92        89    0.8967    -0.216180    51.69%    47.19%
   4 A->A->A->C->A                        57        57    0.8607    -0.163860    49.12%    50.88%
   5 C->A->C->C->A                       100        99    1.1278    -0.085152    42.42%    57.58%
   6 C->A->A->A->A                        55        55    0.8305    -0.080000    49.09%    50.91%
   7 A->C->C->A->C                        98        93    1.1053    -0.078495    44.09%    53.76%
   8 C->C->A->A->A                        55        55    0.7178    -0.078000    34.55%    63.64%
   9 C->C->C->A->A                        82        82    0.9248    -0.074268    52.44%    46.34%
  10 A->A->A->C->C                        68        63    0.8874    -0.073016    49.21%    49.21%
  11 C->C->A->C->A                       100        99    1.1278    -0.068687    47.47%    52.53%
  12 C->A->A->C->A                        97        97    1.2659    -0.068247    54.64%    45.36%
  13 A->C->C->A->A                        77        77    1.0049    -0.047273    48.05%    51.95%
  14 C->C->A->A->C                       104       100    1.1729    -0.043900    41.00%    56.00%
  15 A->A->C->A->A                        69        69    1.0420    -0.029710    50.72%    47.83%
  16 A->A->A->A->A                        45        45    0.7863    -0.018444    46.67%    53.33%
  17 C->C->C->C->C                       101       100    0.8507    -0.003000    49.00%    51.00%
  18 A->C->A->C->C                        94        90    1.0601     0.000667    53.33%    46.67%
  19 C->A->C->A->A                        90        90    1.1745     0.010556    44.44%    55.56%
  20 A->A->C->C->C                        89        85    1.0038     0.012824    54.12%    45.88%
  21 A->A->C->A->C                        85        81    1.1093     0.021728    58.02%    40.74%
  22 A->A->A->A->C                        55        54    0.8305     0.060741    57.41%    42.59%
  23 A->C->A->C->A                        87        87    1.1354     0.074598    51.72%    45.98%
  24 A->C->C->C->A                        82        82    0.9248     0.078049    51.22%    48.78%
  25 C->C->C->C->A                        99        99    0.9649     0.079596    46.46%    53.54%

Length 6 Rankings
=================

Most Common
-----------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->A->C->C->A->C                     58        54    1.2199     0.037593    48.15%    50.00%
   2 C->C->A->C->A->C                     58        55    1.2199     0.006545    52.73%    45.45%
   3 C->C->C->A->A->C                     55        52    1.1568    -0.032308    44.23%    50.00%
   4 C->C->C->A->C->A                     55        55    1.1568     0.073091    54.55%    45.45%
   5 A->C->C->A->C->C                     53        50    1.1147    -0.147200    38.00%    58.00%
   6 C->A->A->C->C->C                     53        51    1.1147    -0.037843    50.98%    49.02%
   7 C->C->A->A->C->C                     53        52    1.1147     0.061538    57.69%    42.31%
   8 C->A->A->C->A->C                     52        49    1.2655    -0.026327    55.10%    42.86%
   9 C->C->C->C->C->C                     52        51    0.8168    -0.034902    43.14%    56.86%
  10 A->A->C->C->C->C                     51        49    1.0727     0.014490    57.14%    42.86%
  11 A->C->A->C->C->A                     51        50    1.2412    -0.118800    40.00%    60.00%
  12 C->C->A->A->C->A                     51        51    1.2412     0.043922    60.78%    39.22%
  13 C->C->C->C->A->C                     51        48    0.9270     0.390000    50.00%    50.00%
  14 A->C->C->C->C->A                     50        50    1.0516     0.157600    44.00%    56.00%
  15 C->A->C->A->A->C                     50        48    1.2169    -0.245000    45.83%    54.17%
  16 C->A->C->A->C->A                     50        50    1.2169     0.123800    52.00%    44.00%
  17 A->C->C->A->A->C                     49        48    1.1925    -0.056458    37.50%    62.50%
  18 A->C->C->C->C->C                     49        49    0.8906     0.030204    55.10%    44.90%
  19 C->C->A->C->C->A                     49        49    1.0306    -0.050816    44.90%    55.10%
  20 C->C->C->C->C->A                     49        49    0.8906     0.000000    48.98%    51.02%
  21 A->A->C->A->C->C                     48        44    1.1682    -0.176591    47.73%    52.27%
  22 A->C->A->C->A->A                     48        48    1.3518     0.214583    50.00%    50.00%
  23 A->C->C->C->A->C                     48        47    1.0096    -0.050851    38.30%    59.57%
  24 C->A->C->C->C->C                     48        46    0.8725     0.388478    47.83%    52.17%
  25 C->C->A->C->C->C                     48        47    0.8725    -0.407660    46.81%    51.06%

Most Overrepresented
--------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->C->A->C->A->A                     48        48    1.3518     0.214583    50.00%    50.00%
   2 A->C->A->A->C->A                     46        46    1.2954    -0.192609    47.83%    52.17%
   3 C->A->A->C->A->A                     45        45    1.2673     0.081333    51.11%    46.67%
   4 C->A->A->C->A->C                     52        49    1.2655    -0.026327    55.10%    42.86%
   5 A->C->A->C->C->A                     51        50    1.2412    -0.118800    40.00%    60.00%
   6 C->C->A->A->C->A                     51        51    1.2412     0.043922    60.78%    39.22%
   7 C->A->C->C->A->C                     58        54    1.2199     0.037593    48.15%    50.00%
   8 C->C->A->C->A->C                     58        55    1.2199     0.006545    52.73%    45.45%
   9 C->A->C->A->A->C                     50        48    1.2169    -0.245000    45.83%    54.17%
  10 C->A->C->A->C->A                     50        50    1.2169     0.123800    52.00%    44.00%
  11 A->C->C->A->A->C                     49        48    1.1925    -0.056458    37.50%    62.50%
  12 A->A->C->A->C->C                     48        44    1.1682    -0.176591    47.73%    52.27%
  13 C->C->C->A->C->A                     55        55    1.1568     0.073091    54.55%    45.45%
  14 C->C->C->A->A->C                     55        52    1.1568    -0.032308    44.23%    50.00%
  15 C->A->C->A->A->A                     40        40    1.1265    -0.195000    42.50%    57.50%
  16 A->C->C->A->C->C                     53        50    1.1147    -0.147200    38.00%    58.00%
  17 C->A->A->C->C->C                     53        51    1.1147    -0.037843    50.98%    49.02%
  18 C->C->A->A->C->C                     53        52    1.1147     0.061538    57.69%    42.31%
  19 A->A->C->A->A->C                     39        38    1.0983    -1.134737    31.58%    68.42%
  20 A->C->C->A->C->A                     45        44    1.0952    -0.245909    38.64%    61.36%
  21 A->A->C->C->C->C                     51        49    1.0727     0.014490    57.14%    42.86%
  22 A->C->A->A->A->C                     38        38    1.0701     0.545000    65.79%    34.21%
  23 A->C->C->C->C->A                     50        50    1.0516     0.157600    44.00%    56.00%
  24 A->C->A->A->C->C                     43        43    1.0465     0.190233    53.49%    44.19%
  25 C->A->A->C->C->A                     43        43    1.0465     0.270000    65.12%    34.88%

Highest Continuation
--------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->A->A->A->C->C                     33        30    0.9293     0.157333    66.67%    33.33%
   2 A->C->A->A->A->C                     38        38    1.0701     0.545000    65.79%    34.21%
   3 C->A->A->C->C->A                     43        43    1.0465     0.270000    65.12%    34.88%
   4 A->A->A->C->A->C                     33        32    0.9293     0.095312    62.50%    37.50%
   5 A->C->C->C->A->A                     34        34    0.8275    -0.050000    61.76%    38.24%
   6 C->C->A->A->C->A                     51        51    1.2412     0.043922    60.78%    39.22%
   7 C->C->C->A->C->C                     44        42    0.7998     0.785238    59.52%    40.48%
   8 C->A->C->C->C->A                     44        44    0.9254     0.276818    59.09%    40.91%
   9 A->A->A->C->C->C                     36        34    0.8761     0.088824    58.82%    41.18%
  10 C->A->C->A->C->C                     46        46    0.9675     0.170217    58.70%    41.30%
  11 A->C->A->C->C->C                     43        41    0.9044     0.029756    58.54%    41.46%
  12 A->A->A->A->A->C                     24        24    0.7821    -0.138750    58.33%    41.67%
  13 C->C->A->A->C->C                     53        52    1.1147     0.061538    57.69%    42.31%
  14 A->A->C->C->C->C                     51        49    1.0727     0.014490    57.14%    42.86%
  15 A->A->A->A->A->A                     21        21    0.7918    -0.072381    57.14%    42.86%
  16 C->A->A->A->A->C                     31        30    0.8730     0.220333    56.67%    43.33%
  17 A->C->A->A->A->A                     32        32    1.0428    -0.045000    56.25%    43.75%
  18 C->A->A->C->A->C                     52        49    1.2655    -0.026327    55.10%    42.86%
  19 A->C->C->C->C->C                     49        49    0.8906     0.030204    55.10%    44.90%
  20 C->C->C->A->C->A                     55        55    1.1568     0.073091    54.55%    45.45%
  21 A->C->A->C->A->C                     39        37    0.9492     0.478108    54.05%    45.95%
  22 A->C->A->A->C->C                     43        43    1.0465     0.190233    53.49%    44.19%
  23 C->C->A->C->A->C                     58        55    1.2199     0.006545    52.73%    45.45%
  24 C->A->C->C->A->A                     42        42    1.0222     0.053810    52.38%    47.62%
  25 C->A->C->A->C->A                     50        50    1.2169     0.123800    52.00%    44.00%

Highest Failure
---------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->C->C->A->A->A                     27        27    0.6571    -0.164815    22.22%    77.78%
   2 A->A->C->A->A->C                     39        38    1.0983    -1.134737    31.58%    68.42%
   3 C->A->A->A->C->C                     35        33    0.8518    -0.282424    33.33%    63.64%
   4 A->A->C->A->A->A                     30        30    0.9776    -0.296000    36.67%    63.33%
   5 A->C->C->A->A->C                     49        48    1.1925    -0.056458    37.50%    62.50%
   6 A->A->A->C->C->A                     32        32    0.9012    -0.035313    37.50%    62.50%
   7 C->A->A->A->A->A                     24        24    0.7821     0.028750    37.50%    62.50%
   8 C->C->A->C->A->A                     42        42    1.0222    -0.222619    38.10%    61.90%
   9 A->C->C->A->C->A                     45        44    1.0952    -0.245909    38.64%    61.36%
  10 C->C->A->A->A->A                     23        23    0.6477    -0.128696    39.13%    60.87%
  11 A->C->A->C->C->A                     51        50    1.2412    -0.118800    40.00%    60.00%
  12 A->C->C->C->A->C                     48        47    1.0096    -0.050851    38.30%    59.57%
  13 A->A->C->C->A->C                     40        39    0.9735    -0.239231    38.46%    58.97%
  14 A->C->C->A->C->C                     53        50    1.1147    -0.147200    38.00%    58.00%
  15 A->A->C->C->C->A                     38        38    0.9248    -0.152105    42.11%    57.89%
  16 C->A->C->A->A->A                     40        40    1.1265    -0.195000    42.50%    57.50%
  17 A->A->C->C->A->A                     35        35    0.9857    -0.168571    42.86%    57.14%
  18 C->C->C->C->C->C                     52        51    0.8168    -0.034902    43.14%    56.86%
  19 A->C->C->C->C->A                     50        50    1.0516     0.157600    44.00%    56.00%
  20 C->C->A->C->C->A                     49        49    1.0306    -0.050816    44.90%    55.10%
  21 C->A->C->A->A->C                     50        48    1.2169    -0.245000    45.83%    54.17%
  22 A->A->C->A->C->C                     48        44    1.1682    -0.176591    47.73%    52.27%
  23 C->A->C->C->C->C                     48        46    0.8725     0.388478    47.83%    52.17%
  24 A->C->A->A->C->A                     46        46    1.2954    -0.192609    47.83%    52.17%
  25 C->C->C->C->A->A                     48        48    1.0096    -0.091458    45.83%    52.08%

Highest Positive Mean DRFwd5
----------------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 C->C->C->A->C->C                     44        42    0.7998     0.785238    59.52%    40.48%
   2 A->C->A->A->A->C                     38        38    1.0701     0.545000    65.79%    34.21%
   3 A->C->A->C->A->C                     39        37    0.9492     0.478108    54.05%    45.95%
   4 C->C->C->C->A->C                     51        48    0.9270     0.390000    50.00%    50.00%
   5 C->A->C->C->C->C                     48        46    0.8725     0.388478    47.83%    52.17%
   6 C->A->C->C->C->A                     44        44    0.9254     0.276818    59.09%    40.91%
   7 C->A->A->C->C->A                     43        43    1.0465     0.270000    65.12%    34.88%
   8 C->A->A->A->A->C                     31        30    0.8730     0.220333    56.67%    43.33%
   9 A->C->A->C->A->A                     48        48    1.3518     0.214583    50.00%    50.00%
  10 A->C->A->A->C->C                     43        43    1.0465     0.190233    53.49%    44.19%
  11 C->A->C->A->C->C                     46        46    0.9675     0.170217    58.70%    41.30%
  12 A->C->C->C->C->A                     50        50    1.0516     0.157600    44.00%    56.00%
  13 A->A->A->A->C->C                     33        30    0.9293     0.157333    66.67%    33.33%
  14 C->A->C->A->C->A                     50        50    1.2169     0.123800    52.00%    44.00%
  15 A->A->A->C->A->C                     33        32    0.9293     0.095312    62.50%    37.50%
  16 A->A->A->C->C->C                     36        34    0.8761     0.088824    58.82%    41.18%
  17 C->A->A->C->A->A                     45        45    1.2673     0.081333    51.11%    46.67%
  18 C->C->C->A->C->A                     55        55    1.1568     0.073091    54.55%    45.45%
  19 C->C->A->A->C->C                     53        52    1.1147     0.061538    57.69%    42.31%
  20 C->A->C->C->A->A                     42        42    1.0222     0.053810    52.38%    47.62%
  21 C->C->A->A->C->A                     51        51    1.2412     0.043922    60.78%    39.22%
  22 C->A->C->C->A->C                     58        54    1.2199     0.037593    48.15%    50.00%
  23 A->C->C->C->C->C                     49        49    0.8906     0.030204    55.10%    44.90%
  24 A->C->A->C->C->C                     43        41    0.9044     0.029756    58.54%    41.46%
  25 C->A->A->A->A->A                     24        24    0.7821     0.028750    37.50%    62.50%

Highest Negative Mean DRFwd5
----------------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->A->C->A->A->C                     39        38    1.0983    -1.134737    31.58%    68.42%
   2 C->C->A->C->C->C                     48        47    0.8725    -0.407660    46.81%    51.06%
   3 A->A->C->A->A->A                     30        30    0.9776    -0.296000    36.67%    63.33%
   4 C->A->A->A->C->C                     35        33    0.8518    -0.282424    33.33%    63.64%
   5 A->C->C->A->C->A                     45        44    1.0952    -0.245909    38.64%    61.36%
   6 C->A->C->A->A->C                     50        48    1.2169    -0.245000    45.83%    54.17%
   7 A->A->C->C->A->C                     40        39    0.9735    -0.239231    38.46%    58.97%
   8 A->A->A->C->A->A                     24        24    0.7821    -0.237917    50.00%    50.00%
   9 C->C->A->C->A->A                     42        42    1.0222    -0.222619    38.10%    61.90%
  10 C->A->A->A->C->A                     35        35    0.9857    -0.200571    48.57%    51.43%
  11 C->A->C->A->A->A                     40        40    1.1265    -0.195000    42.50%    57.50%
  12 A->C->A->A->C->A                     46        46    1.2954    -0.192609    47.83%    52.17%
  13 A->A->C->A->C->C                     48        44    1.1682    -0.176591    47.73%    52.27%
  14 A->A->C->C->A->A                     35        35    0.9857    -0.168571    42.86%    57.14%
  15 C->C->C->A->A->A                     27        27    0.6571    -0.164815    22.22%    77.78%
  16 A->A->C->C->C->A                     38        38    0.9248    -0.152105    42.11%    57.89%
  17 A->C->C->A->C->C                     53        50    1.1147    -0.147200    38.00%    58.00%
  18 A->A->A->A->A->C                     24        24    0.7821    -0.138750    58.33%    41.67%
  19 C->C->A->A->A->A                     23        23    0.6477    -0.128696    39.13%    60.87%
  20 A->C->A->C->C->A                     51        50    1.2412    -0.118800    40.00%    60.00%
  21 C->C->A->A->A->C                     32        31    0.7788    -0.108710    45.16%    51.61%
  22 A->A->A->A->C->A                     22        22    0.7169    -0.105455    50.00%    50.00%
  23 C->C->C->C->A->A                     48        48    1.0096    -0.091458    45.83%    52.08%
  24 A->A->A->A->A->A                     21        21    0.7918    -0.072381    57.14%    42.86%
  25 A->C->C->A->A->C                     49        48    1.1925    -0.056458    37.50%    62.50%

Section 4 - Acceptance-Rooted Sequences
======================================

A-Rooted Length 3
-----------------
Sequence                          Count  OutcomeN       OER   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
A->C->C                             356       341    0.9977     0.098182     0.050000    51.91%    46.92%     1.17%
A->C->A                             341       340    1.1058    -0.047853     0.030000    50.88%    48.53%     0.59%
A->A->C                             318       309    1.0312    -0.125081    -0.040000    46.93%    51.78%     1.29%
A->A->A                             225       225    0.8443    -0.116444    -0.090000    42.22%    57.33%     0.44%

A-Rooted Length 3 Rankings
==========================

Most Common
-----------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->C->C                             356       341    0.9977     0.098182    51.91%    46.92%
   2 A->C->A                             341       340    1.1058    -0.047853    50.88%    48.53%
   3 A->A->C                             318       309    1.0312    -0.125081    46.93%    51.78%
   4 A->A->A                             225       225    0.8443    -0.116444    42.22%    57.33%

Most Overrepresented
--------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->C->A                             341       340    1.1058    -0.047853    50.88%    48.53%
   2 A->A->C                             318       309    1.0312    -0.125081    46.93%    51.78%
   3 A->C->C                             356       341    0.9977     0.098182    51.91%    46.92%
   4 A->A->A                             225       225    0.8443    -0.116444    42.22%    57.33%

Highest Continuation
--------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->C->C                             356       341    0.9977     0.098182    51.91%    46.92%
   2 A->C->A                             341       340    1.1058    -0.047853    50.88%    48.53%
   3 A->A->C                             318       309    1.0312    -0.125081    46.93%    51.78%
   4 A->A->A                             225       225    0.8443    -0.116444    42.22%    57.33%

Highest Failure
---------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->A->A                             225       225    0.8443    -0.116444    42.22%    57.33%
   2 A->A->C                             318       309    1.0312    -0.125081    46.93%    51.78%
   3 A->C->A                             341       340    1.1058    -0.047853    50.88%    48.53%
   4 A->C->C                             356       341    0.9977     0.098182    51.91%    46.92%

Highest Positive Mean DRFwd5
----------------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->C->C                             356       341    0.9977     0.098182    51.91%    46.92%
   2 A->C->A                             341       340    1.1058    -0.047853    50.88%    48.53%
   3 A->A->A                             225       225    0.8443    -0.116444    42.22%    57.33%
   4 A->A->C                             318       309    1.0312    -0.125081    46.93%    51.78%

Highest Negative Mean DRFwd5
----------------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->A->C                             318       309    1.0312    -0.125081    46.93%    51.78%
   2 A->A->A                             225       225    0.8443    -0.116444    42.22%    57.33%
   3 A->C->A                             341       340    1.1058    -0.047853    50.88%    48.53%
   4 A->C->C                             356       341    0.9977     0.098182    51.91%    46.92%

A-Rooted Length 4
-----------------
Sequence                          Count  OutcomeN       OER   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
A->C->A->C                          182       173    1.1007     0.114509     0.110000    55.49%    43.35%     1.16%
A->C->C->C                          181       174    0.9460    -0.104310     0.050000    52.87%    46.55%     0.57%
A->C->C->A                          175       174    1.0583     0.011782    -0.025000    47.13%    52.87%     0.00%
A->A->C->C                          164       158    0.9918     0.042911     0.055000    53.16%    45.57%     1.27%
A->C->A->A                          159       159    1.1127    -0.006918    -0.070000    47.17%    52.20%     0.63%
A->A->C->A                          154       154    1.0777    -0.103636     0.055000    52.60%    47.40%     0.00%
A->A->A->C                          125       123    0.8747     0.167642     0.090000    56.91%    42.28%     0.81%
A->A->A->A                          100       100    0.8097    -0.052300    -0.065000    48.00%    52.00%     0.00%

A-Rooted Length 4 Rankings
==========================

Most Common
-----------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->C->A->C                          182       173    1.1007     0.114509    55.49%    43.35%
   2 A->C->C->C                          181       174    0.9460    -0.104310    52.87%    46.55%
   3 A->C->C->A                          175       174    1.0583     0.011782    47.13%    52.87%
   4 A->A->C->C                          164       158    0.9918     0.042911    53.16%    45.57%
   5 A->C->A->A                          159       159    1.1127    -0.006918    47.17%    52.20%
   6 A->A->C->A                          154       154    1.0777    -0.103636    52.60%    47.40%
   7 A->A->A->C                          125       123    0.8747     0.167642    56.91%    42.28%
   8 A->A->A->A                          100       100    0.8097    -0.052300    48.00%    52.00%

Most Overrepresented
--------------------
Rank Sequence                          Count  OutcomeN       OER         Mean  ContRate5  FailRate5
   1 A->C->A->A                          159       159    1.1127    -0.006918    47.17%    52.20%
