APVA Process Graph Study v0.1
============================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Node count: 35
Edge count: 157

1. Directed Graph Summary
SourceNode | DestinationNode | TransitionCount | TransitionProbability
4 | NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 | 21.35% | 95
4 | NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 | 20.64% | 23
4 | ExhaustionPersistence_Age6-10 -> ExhaustionPersistence_Age6-10 -> ExhaustionPersistence_Age6-10 -> ExhaustionPersistence_Age6-10 -> ExhaustionPersistence_Age6-10 | 19.75% | 0
4 | NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 | 16.72% | 17
4 | NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 | 16.09% | 4
4 | DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 14.57% | 15
4 | DestructiveRotation_Age3 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 | 12.43% | 0
4 | RecoveryResolution_Age4 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 | 12.43% | 0
4 | CompressionProcessing_Age6-10 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 11.91% | 0
4 | ReassertionProcessing_Age3 -> DestructiveRotation_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 11.08% | 0
4 | RecoveryResolution_Age2 -> RecoveryResolution_Age3 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 | 10.36% | 3
4 | MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 9.82% | 29
4 | ExhaustionPersistence_Age2 -> ExhaustionPersistence_Age3 -> ExhaustionPersistence_Age4 -> ExhaustionPersistence_Age5 -> NeutralProcessing_Age1 | 9.68% | 3
4 | ExhaustionPersistence_Age5 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 8.93% | 1
4 | DestructiveRotation_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 8.39% | 3
4 | ExhaustionPersistence_Age1 -> ExhaustionPersistence_Age2 -> ExhaustionPersistence_Age3 -> ExhaustionPersistence_Age4 -> ExhaustionPersistence_Age5 | 8.25% | 8
4 | ExhaustionPersistence_Age3 -> ExhaustionPersistence_Age4 -> ExhaustionPersistence_Age5 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 8.12% | 2
4 | RecoveryResolution_Age3 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 | 7.83% | 1
4 | CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 | 6.78% | 12
4 | CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 6.55% | 0
4 | CompressionProcessing_Age4 -> CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 6.46% | 1
4 | DestructiveRotation_Age2 -> DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 6.41% | 1
4 | ReassertionProcessing_Age2 -> DestructiveRotation_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 6.23% | 2
4 | CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 -> NeutralProcessing_Age1 | 6.10% | 2
4 | RecoveryResolution_Age1 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 | 6.08% | 8
4 | ExhaustionPersistence_Age4 -> ExhaustionPersistence_Age5 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 5.90% | 1
4 | MixedStructure_Age2 -> DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 5.50% | 0
4 | CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 | 5.43% | 5
4 | ConstructiveEmergence_Age1 -> MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 5.40% | 1
4 | ReassertionProcessing_Age1 -> MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 4.92% | 17
4 | MixedStructure_Age3 -> ConstructiveEmergence_Age1 -> MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 3.91% | 1
5 | NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 | 21.90% | 37
5 | MixedStructure_Age4 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 | 21.35% | 0
5 | NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 | 18.96% | 56
5 | NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 | 18.50% | 23
5 | NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 | 16.85% | 75
5 | NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 | 13.20% | 17
5 | ExhaustionPersistence_Age6-10 -> ExhaustionPersistence_Age6-10 -> ExhaustionPersistence_Age6-10 -> ExhaustionPersistence_Age6-10 -> ExhaustionPersistence_Age6-10 -> ExhaustionPersistence_Age6-10 | 13.17% | 0
5 | DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 | 13.06% | 12
5 | NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 -> NeutralProcessing_Age6-10 | 10.69% | 0
5 | CompressionProcessing_Age6-10 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 | 10.67% | 0
5 | NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 -> NeutralProcessing_Age11-20 | 10.19% | 3
5 | MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 | 8.80% | 26
5 | ReassertionProcessing_Age3 -> DestructiveRotation_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 8.39% | 0
5 | ExhaustionPersistence_Age5 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 | 8.01% | 1
5 | DestructiveRotation_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 | 7.52% | 3
5 | DestructiveRotation_Age3 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 | 6.78% | 0
5 | RecoveryResolution_Age4 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 | 6.78% | 0
5 | RecoveryResolution_Age2 -> RecoveryResolution_Age3 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 | 5.56% | 1
5 | ExhaustionPersistence_Age2 -> ExhaustionPersistence_Age3 -> ExhaustionPersistence_Age4 -> ExhaustionPersistence_Age5 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 5.50% | 2
5 | CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 4.96% | 0
5 | DestructiveRotation_Age2 -> DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 4.86% | 1
5 | ReassertionProcessing_Age2 -> DestructiveRotation_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 4.72% | 2
5 | ExhaustionPersistence_Age3 -> ExhaustionPersistence_Age4 -> ExhaustionPersistence_Age5 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 4.49% | 1
5 | ExhaustionPersistence_Age4 -> ExhaustionPersistence_Age5 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 4.47% | 1
5 | RecoveryResolution_Age3 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 | 4.27% | 0
5 | MixedStructure_Age2 -> DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 4.16% | 0
5 | ConstructiveEmergence_Age1 -> MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 4.09% | 1
5 | ReassertionProcessing_Age1 -> MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 | 3.72% | 15
5 | CompressionProcessing_Age4 -> CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 3.58% | 0
5 | CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 | 3.47% | 1
5 | RecoveryResolution_Age1 -> CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 | 3.32% | 3
5 | ExhaustionPersistence_Age1 -> ExhaustionPersistence_Age2 -> ExhaustionPersistence_Age3 -> ExhaustionPersistence_Age4 -> ExhaustionPersistence_Age5 -> NeutralProcessing_Age1 | 3.09% | 3
5 | CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 | 2.82% | 5
5 | CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 -> NeutralProcessing_Age1 | 2.72% | 2
5 | MixedStructure_Age3 -> ConstructiveEmergence_Age1 -> MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 | 2.16% | 1

4. Structural Cycles
Cycle | CycleLength | Classification | CycleProbability | CycleSupport
MixedStructure_Age1 -> NeutralProcessing_Age1 -> MixedStructure_Age1 | 2 | ShortCycle | 6.11% | 37
MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> MixedStructure_Age1 | 3 | MediumCycle | 5.00% | 83
NeutralProcessing_Age1 -> ReassertionProcessing_Age1 -> NeutralProcessing_Age1 | 2 | ShortCycle | 4.72% | 31
DecayToNeutral_Age1 -> MixedStructure_Age1 -> DecayToNeutral_Age1 | 2 | ShortCycle | 3.98% | 26
CompressionProcessing_Age1 -> RecoveryResolution_Age1 -> CompressionProcessing_Age1 | 2 | ShortCycle | 3.59% | 14
CompressionProcessing_Age1 -> NeutralProcessing_Age1 -> CompressionProcessing_Age1 | 2 | ShortCycle | 3.20% | 26
DecayToNeutral_Age1 -> DestructiveRotation_Age1 -> DecayToNeutral_Age1 | 2 | ShortCycle | 3.01% | 7
MixedStructure_Age1 -> ReassertionProcessing_Age1 -> MixedStructure_Age1 | 2 | ShortCycle | 2.31% | 19
NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> ReassertionProcessing_Age1 -> NeutralProcessing_Age1 | 3 | MediumCycle | 2.25% | 35
MixedStructure_Age1 -> NeutralProcessing_Age1 -> ReassertionProcessing_Age1 -> MixedStructure_Age1 | 3 | MediumCycle | 2.21% | 33
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> NeutralProcessing_Age1 -> CompressionProcessing_Age1 | 3 | MediumCycle | 1.89% | 18
CompressionProcessing_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> CompressionProcessing_Age1 | 3 | MediumCycle | 1.71% | 24
DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> MixedStructure_Age1 -> DecayToNeutral_Age1 | 3 | MediumCycle | 1.43% | 23
MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> MixedStructure_Age1 | 4 | MediumCycle | 1.39% | 27
ExhaustionPersistence_Age1 -> RecoveryResolution_Age1 -> RecoveryResolution_Age2 -> RecoveryResolution_Age3 -> ExhaustionPersistence_Age1 | 4 | MediumCycle | 1.27% | 2
DestructiveRotation_Age1 -> NeutralProcessing_Age1 -> DestructiveRotation_Age1 | 2 | ShortCycle | 1.19% | 9
DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> MixedStructure_Age1 -> DecayToNeutral_Age1 | 4 | MediumCycle | 1.17% | 5
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> RecoveryResolution_Age1 -> CompressionProcessing_Age1 | 3 | MediumCycle | 1.11% | 8
MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> ReassertionProcessing_Age1 -> MixedStructure_Age1 | 4 | MediumCycle | 1.05% | 11
NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> ReassertionProcessing_Age1 -> NeutralProcessing_Age1 | 4 | MediumCycle | 1.05% | 23
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> CompressionProcessing_Age1 | 4 | MediumCycle | 1.01% | 10
NeutralProcessing_Age1 -> ReassertionProcessing_Age1 -> ReassertionProcessing_Age2 -> NeutralProcessing_Age1 | 3 | MediumCycle | 0.98% | 9
MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> MixedStructure_Age1 | 6 | LongCycle | 0.93% | 9
NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 -> ReassertionProcessing_Age1 -> NeutralProcessing_Age1 | 7 | LongCycle | 0.84% | 9
DecayToNeutral_Age1 -> MixedStructure_Age1 -> MixedStructure_Age2 -> DecayToNeutral_Age1 | 3 | MediumCycle | 0.72% | 3
MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 -> MixedStructure_Age1 | 7 | LongCycle | 0.67% | 2
DecayToNeutral_Age1 -> MixedStructure_Age1 -> ExhaustionPersistence_Age1 -> DecayToNeutral_Age1 | 3 | MediumCycle | 0.62% | 2
DecayToNeutral_Age1 -> DestructiveRotation_Age1 -> DestructiveRotation_Age2 -> DecayToNeutral_Age1 | 3 | MediumCycle | 0.60% | 3
DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> DestructiveRotation_Age1 -> DecayToNeutral_Age1 | 3 | MediumCycle | 0.58% | 3
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> NeutralProcessing_Age1 -> CompressionProcessing_Age1 | 4 | MediumCycle | 0.57% | 6
DestructiveRotation_Age1 -> NeutralProcessing_Age1 -> ReassertionProcessing_Age1 -> ReassertionProcessing_Age2 -> DestructiveRotation_Age1 | 4 | MediumCycle | 0.52% | 10
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> ExhaustionPersistence_Age1 -> RecoveryResolution_Age1 -> CompressionProcessing_Age1 | 5 | MediumCycle | 0.50% | 2
NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> ReassertionProcessing_Age1 -> ReassertionProcessing_Age2 -> NeutralProcessing_Age1 | 4 | MediumCycle | 0.46% | 11
NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> ReassertionProcessing_Age1 -> NeutralProcessing_Age1 | 6 | LongCycle | 0.45% | 9
ConstructiveEmergence_Age1 -> MixedStructure_Age1 -> ConstructiveEmergence_Age1 | 2 | ShortCycle | 0.45% | 2
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> ExhaustionPersistence_Age1 -> CompressionProcessing_Age1 | 3 | MediumCycle | 0.41% | 8
CompressionProcessing_Age1 -> ExhaustionPersistence_Age1 -> RecoveryResolution_Age1 -> RecoveryResolution_Age2 -> RecoveryResolution_Age3 -> CompressionProcessing_Age1 | 5 | MediumCycle | 0.40% | 4
DestructiveRotation_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> DestructiveRotation_Age1 | 3 | MediumCycle | 0.40% | 5
ExhaustionPersistence_Age1 -> ExhaustionPersistence_Age2 -> RecoveryResolution_Age1 -> RecoveryResolution_Age2 -> RecoveryResolution_Age3 -> ExhaustionPersistence_Age1 | 5 | MediumCycle | 0.39% | 4
MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 -> ReassertionProcessing_Age1 -> MixedStructure_Age1 | 8 | LongCycle | 0.39% | 7
MixedStructure_Age1 -> MixedStructure_Age2 -> NeutralProcessing_Age1 -> MixedStructure_Age1 | 3 | MediumCycle | 0.37% | 6
MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> MixedStructure_Age1 | 5 | MediumCycle | 0.37% | 2
CompressionProcessing_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> CompressionProcessing_Age1 | 4 | MediumCycle | 0.36% | 2
DestructiveRotation_Age1 -> NeutralProcessing_Age1 -> ReassertionProcessing_Age1 -> DestructiveRotation_Age1 | 3 | MediumCycle | 0.32% | 4
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> ExhaustionPersistence_Age1 -> RecoveryResolution_Age1 -> RecoveryResolution_Age2 -> RecoveryResolution_Age3 -> CompressionProcessing_Age1 | 6 | LongCycle | 0.31% | 3
MixedStructure_Age1 -> MixedStructure_Age2 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> MixedStructure_Age1 | 4 | MediumCycle | 0.30% | 2
NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> ReassertionProcessing_Age1 -> NeutralProcessing_Age1 | 5 | MediumCycle | 0.30% | 3
ConstructiveEmergence_Age1 -> MixedStructure_Age1 -> MixedStructure_Age2 -> MixedStructure_Age3 -> ConstructiveEmergence_Age1 | 4 | MediumCycle | 0.30% | 3
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> NeutralProcessing_Age1 -> CompressionProcessing_Age1 | 5 | MediumCycle | 0.29% | 3
DestructiveRotation_Age1 -> ReassertionProcessing_Age1 -> DestructiveRotation_Age1 | 2 | ShortCycle | 0.27% | 3
DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> MixedStructure_Age1 -> MixedStructure_Age2 -> DecayToNeutral_Age1 | 4 | MediumCycle | 0.26% | 5
MixedStructure_Age1 -> ReassertionProcessing_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> MixedStructure_Age1 | 4 | MediumCycle | 0.25% | 2
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 -> RecoveryResolution_Age1 -> CompressionProcessing_Age1 | 7 | LongCycle | 0.23% | 2
DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> MixedStructure_Age1 -> ExhaustionPersistence_Age1 -> DecayToNeutral_Age1 | 4 | MediumCycle | 0.22% | 3
NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> ReassertionProcessing_Age1 -> ReassertionProcessing_Age2 -> NeutralProcessing_Age1 | 5 | MediumCycle | 0.22% | 9
DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> MixedStructure_Age1 -> DecayToNeutral_Age1 | 7 | LongCycle | 0.22% | 3
MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> ReassertionProcessing_Age1 -> MixedStructure_Age1 | 7 | LongCycle | 0.21% | 7
DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 -> MixedStructure_Age1 -> DecayToNeutral_Age1 | 8 | LongCycle | 0.16% | 3
CompressionProcessing_Age1 -> NeutralProcessing_Age1 -> ReassertionProcessing_Age1 -> CompressionProcessing_Age1 | 3 | MediumCycle | 0.15% | 2
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> CompressionProcessing_Age1 | 6 | LongCycle | 0.15% | 3
DestructiveRotation_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> ReassertionProcessing_Age1 -> DestructiveRotation_Age1 | 4 | MediumCycle | 0.15% | 2
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 -> CompressionProcessing_Age6-10 -> NeutralProcessing_Age1 -> CompressionProcessing_Age1 | 7 | LongCycle | 0.14% | 2
MixedStructure_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> ReassertionProcessing_Age1 -> MixedStructure_Age1 | 6 | LongCycle | 0.14% | 2
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> CompressionProcessing_Age1 | 7 | LongCycle | 0.13% | 2
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> CompressionProcessing_Age3 -> CompressionProcessing_Age4 -> CompressionProcessing_Age5 -> ExhaustionPersistence_Age1 -> RecoveryResolution_Age1 -> RecoveryResolution_Age2 -> RecoveryResolution_Age3 -> CompressionProcessing_Age1 | 9 | LongCycle | 0.12% | 2
MixedStructure_Age1 -> RecoveryResolution_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> MixedStructure_Age1 | 4 | MediumCycle | 0.12% | 7
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> MixedStructure_Age1 -> RecoveryResolution_Age1 -> CompressionProcessing_Age1 | 6 | LongCycle | 0.10% | 2
DestructiveRotation_Age1 -> DestructiveRotation_Age2 -> NeutralProcessing_Age1 -> DestructiveRotation_Age1 | 3 | MediumCycle | 0.09% | 2
DecayToNeutral_Age1 -> NeutralProcessing_Age1 -> ReassertionProcessing_Age1 -> MixedStructure_Age1 -> MixedStructure_Age2 -> DecayToNeutral_Age1 | 5 | MediumCycle | 0.09% | 2
DestructiveRotation_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> NeutralProcessing_Age5 -> NeutralProcessing_Age6-10 -> ReassertionProcessing_Age1 -> ReassertionProcessing_Age2 -> DestructiveRotation_Age1 | 9 | LongCycle | 0.09% | 2
CompressionProcessing_Age1 -> CompressionProcessing_Age2 -> NeutralProcessing_Age1 -> ReassertionProcessing_Age1 -> CompressionProcessing_Age1 | 4 | MediumCycle | 0.09% | 2
CompressionProcessing_Age1 -> ExhaustionPersistence_Age1 -> NeutralProcessing_Age1 -> CompressionProcessing_Age1 | 3 | MediumCycle | 0.08% | 2
DecayToNeutral_Age1 -> DestructiveRotation_Age1 -> DestructiveRotation_Age2 -> ExhaustionPersistence_Age1 -> DecayToNeutral_Age1 | 4 | MediumCycle | 0.08% | 2
CompressionProcessing_Age1 -> RecoveryResolution_Age1 -> NeutralProcessing_Age1 -> CompressionProcessing_Age1 | 3 | MediumCycle | 0.08% | 3
ConstructiveEmergence_Age1 -> NeutralProcessing_Age1 -> NeutralProcessing_Age2 -> NeutralProcessing_Age3 -> NeutralProcessing_Age4 -> ConstructiveEmergence_Age1 | 5 | MediumCycle | 0.07% | 2
