APVA Harmful Node Heterogeneity Study v0.1
============================================================================================================
Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Harmful node count: 8

1. Harmful Node Inventory
Node | Count | ReplicationCount | ContributionScore | Top1Loss | BrierWorsening
NeutralProcessing_Age1 | RecoveryResolution_Age2 | 11 | 63.64% | 0.4628 | 27.27% | 0.6555
NeutralProcessing_Age1 | CompressionProcessing_Age3 | 10 | 50.00% | 0.5000 | 0.00% | 0.6931
NeutralProcessing_Age1 | RecoveryResolution_Age1 | 10 | 70.00% | 0.4200 | 40.00% | 0.6109
NeutralProcessing_Age1 | MixedStructure_Age2 | 7 | 85.71% | 0.2449 | 71.43% | 0.4101
NeutralProcessing_Age1 | CompressionProcessing_Age4 | 5 | 60.00% | 0.4800 | 20.00% | 0.6730
NeutralProcessing_Age1 | ExhaustionPersistence_Age3 | 5 | 60.00% | 0.4800 | 20.00% | 0.6730
NeutralProcessing_Age1 | RecoveryResolution_Age3 | 5 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | ConstructiveEmergence_Age1 | 4 | 50.00% | 0.5000 | 0.00% | 0.6931
NeutralProcessing_Age1 | CompressionProcessing_Age6-10 | 3 | 66.67% | 0.4444 | 33.33% | 0.6365
NeutralProcessing_Age1 | ExhaustionPersistence_Age4 | 3 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | ExhaustionPersistence_Age5 | 3 | 66.67% | 0.4444 | 33.33% | 0.6365
NeutralProcessing_Age1 | DestructiveRotation_Age2 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | MixedStructure_Age4 | 2 | 50.00% | 0.5000 | 0.00% | 0.6931
NeutralProcessing_Age1 | CompressionProcessing_Age5 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | ExhaustionPersistence_Age2 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | ExhaustionPersistence_Age6-10 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 19 | 57.89% | 0.5706 | 31.58% | 0.9592
NeutralProcessing_Age11-20 | NeutralProcessing_Age6-10 | 11 | 72.73% | 0.4298 | 54.55% | 0.7595
NeutralProcessing_Age2 | NeutralProcessing_Age1 | 253 | 55.34% | 0.4943 | 10.67% | 0.6874
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 133 | 57.89% | 0.4938 | 16.54% | 0.7183
NeutralProcessing_Age6-10 | NeutralProcessing_Age5 | 75 | 74.67% | 0.3783 | 49.33% | 0.5660
RecoveryResolution_Age1 | ExhaustionPersistence_Age1 | 29 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | MixedStructure_Age1 | 25 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 13 | 100.00% | 0.0000 | 100.00% | 0.0000
