APVA Phase Transition Matrix Study v0.1 - CL
=============================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Structural state counts: {'MixedStructure': 314, 'NeutralProcessing': 1278, 'ReassertionProcessing': 207, 'CompressionProcessing': 350, 'DecayToNeutral': 103, 'ExhaustionPersistence': 176, 'DestructiveRotation': 84, 'RecoveryResolution': 160, 'ConstructiveEmergence': 12}
Lifecycle phase counts: {'Terminal': 542, 'Maturity': 256, 'Insufficient': 79, 'Birth': 988, 'Growth': 516, 'Decay': 303}
Valid phase observations: 2605

Section 1 - Phase Counts
========================
Phase              Count  Frequency
Birth                988     36.81%
Growth               516     19.23%
Maturity             256      9.54%
Decay                303     11.29%
Terminal             542     20.19%
Insufficient          79      2.94%

Section 2 - Phase -> NextState Tables
=====================================
Phase           H NextState                        Count  Probability      Lift
Birth           1 RecoveryResolution                  84        8.51%     1.427
Birth           1 ExhaustionPersistence               49        4.96%     0.757
Birth           1 CompressionProcessing              193       19.55%     1.499
Birth           1 NeutralProcessing                  418       42.35%     0.889
Birth           1 ReassertionProcessing               66        6.69%     0.867
Birth           1 DecayToNeutral                      37        3.75%     0.976
Birth           1 DestructiveRotation                 40        4.05%     1.294
Birth           1 ConstructiveEmergence                4        0.41%     0.906
Birth           1 MixedStructure                      96        9.73%     0.834
Growth          1 RecoveryResolution                  13        2.52%     0.422
Growth          1 ExhaustionPersistence               31        6.01%     0.916
Growth          1 CompressionProcessing               70       13.57%     1.040
Growth          1 NeutralProcessing                  280       54.26%     1.139
Growth          1 ReassertionProcessing               44        8.53%     1.105
Growth          1 DecayToNeutral                       2        0.39%     0.101
Growth          1 DestructiveRotation                  6        1.16%     0.371
Growth          1 MixedStructure                      70       13.57%     1.163
Maturity        1 RecoveryResolution                  32       12.50%     2.096
Maturity        1 ExhaustionPersistence               29       11.33%     1.727
Maturity        1 CompressionProcessing               35       13.67%     1.048
Maturity        1 NeutralProcessing                  133       51.95%     1.091
Maturity        1 ReassertionProcessing                6        2.34%     0.304
Maturity        1 DecayToNeutral                      10        3.91%     1.018
Maturity        1 ConstructiveEmergence                1        0.39%     0.873
Maturity        1 MixedStructure                      10        3.91%     0.335
Decay           1 RecoveryResolution                   1        0.33%     0.055
Decay           1 ExhaustionPersistence                5        1.65%     0.252
Decay           1 CompressionProcessing               10        3.30%     0.253
Decay           1 NeutralProcessing                  219       72.28%     1.517
Decay           1 ReassertionProcessing               37       12.21%     1.583
Decay           1 ConstructiveEmergence                1        0.33%     0.738
Decay           1 MixedStructure                      30        9.90%     0.849
Terminal        1 RecoveryResolution                  26        4.80%     0.804
Terminal        1 ExhaustionPersistence               44        8.12%     1.238
Terminal        1 CompressionProcessing               31        5.72%     0.438
Terminal        1 NeutralProcessing                  209       38.56%     0.810
Terminal        1 ReassertionProcessing               54        9.96%     1.291
Terminal        1 DecayToNeutral                      44        8.12%     2.115
Terminal        1 DestructiveRotation                 32        5.90%     1.886
Terminal        1 ConstructiveEmergence                4        0.74%     1.650
Terminal        1 MixedStructure                      98       18.08%     1.550
Insufficient    1 RecoveryResolution                   4        5.06%     0.849
Insufficient    1 ExhaustionPersistence               18       22.78%     3.473
Insufficient    1 CompressionProcessing               11       13.92%     1.067
Insufficient    1 NeutralProcessing                   19       24.05%     0.505
Insufficient    1 DecayToNeutral                      10       12.66%     3.297
Insufficient    1 DestructiveRotation                  6        7.59%     2.426
Insufficient    1 ConstructiveEmergence                2        2.53%     5.660
Insufficient    1 MixedStructure                       9       11.39%     0.977
Birth           2 RecoveryResolution                  89        9.03%     1.513
Birth           2 ExhaustionPersistence               81        8.22%     1.252
Birth           2 CompressionProcessing              158       16.02%     1.228
Birth           2 NeutralProcessing                  365       37.02%     0.777
Birth           2 ReassertionProcessing               62        6.29%     0.815
Birth           2 DecayToNeutral                      47        4.77%     1.241
Birth           2 DestructiveRotation                 43        4.36%     1.392
Birth           2 ConstructiveEmergence                3        0.30%     0.680
Birth           2 MixedStructure                     138       14.00%     1.203
Growth          2 RecoveryResolution                  25        4.84%     0.812
Growth          2 ExhaustionPersistence               32        6.20%     0.945
Growth          2 CompressionProcessing               52       10.08%     0.772
Growth          2 NeutralProcessing                  336       65.12%     1.367
Growth          2 ReassertionProcessing               33        6.40%     0.829
Growth          2 DestructiveRotation                  1        0.19%     0.062
Growth          2 ConstructiveEmergence                2        0.39%     0.866
Growth          2 MixedStructure                      35        6.78%     0.583
Maturity        2 RecoveryResolution                  13        5.08%     0.851
Maturity        2 ExhaustionPersistence               23        8.98%     1.369
Maturity        2 CompressionProcessing               53       20.70%     1.586
Maturity        2 NeutralProcessing                  122       47.66%     1.000
Maturity        2 ReassertionProcessing               10        3.91%     0.506
Maturity        2 DecayToNeutral                       4        1.56%     0.407
Maturity        2 DestructiveRotation                  8        3.12%     0.998
Maturity        2 ConstructiveEmergence                2        0.78%     1.746
Maturity        2 MixedStructure                      21        8.20%     0.705
Decay           2 RecoveryResolution                   8        2.64%     0.443
Decay           2 ExhaustionPersistence               10        3.30%     0.503
Decay           2 CompressionProcessing               15        4.95%     0.379
Decay           2 NeutralProcessing                  181       59.74%     1.254
Decay           2 ReassertionProcessing               38       12.54%     1.625
Decay           2 DecayToNeutral                       8        2.64%     0.687
Decay           2 ConstructiveEmergence                2        0.66%     1.475
Decay           2 MixedStructure                      41       13.53%     1.163
Terminal        2 RecoveryResolution                  23        4.24%     0.711
Terminal        2 ExhaustionPersistence               22        4.06%     0.619
Terminal        2 CompressionProcessing               59       10.89%     0.834
Terminal        2 NeutralProcessing                  246       45.39%     0.952
Terminal        2 ReassertionProcessing               63       11.62%     1.506
Terminal        2 DecayToNeutral                      35        6.46%     1.681
Terminal        2 DestructiveRotation                 28        5.17%     1.649
Terminal        2 ConstructiveEmergence                2        0.37%     0.825
Terminal        2 MixedStructure                      64       11.81%     1.015
Insufficient    2 RecoveryResolution                   2        2.53%     0.424
Insufficient    2 ExhaustionPersistence                8       10.13%     1.543
Insufficient    2 CompressionProcessing               13       16.46%     1.261
Insufficient    2 NeutralProcessing                   28       35.44%     0.744
Insufficient    2 ReassertionProcessing                1        1.27%     0.164
Insufficient    2 DecayToNeutral                       9       11.39%     2.966
Insufficient    2 DestructiveRotation                  4        5.06%     1.617
Insufficient    2 ConstructiveEmergence                1        1.27%     2.829
