APVA Stage + Alignment Interaction Study v0.1
=============================================
Input: Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_OPEN_apva_bar_evidence_v01.csv
Total rows: 2677
SequenceStage logic reuses APVA_PostBreakoutOOE_10.py.
Alignment logic reuses APVA_BreakoutAlignment_09.py.
This is not true PVA OOE.
Each source-specific segment-bar observation is counted; overlapping segments may include the same bar.
SequenceStage progression is direction-aware, so Stage and Alignment are descriptive interacting factors.
Ranked comparisons require both sides Count >= 30.

Diagnostics
===========
Total stage-alignment observations: 2247
Stage0 observations: 170
Stage1 observations: 591
Stage2 observations: 506
Stage3 observations: 367
Stage4 observations: 613
Aligned observations: 1136
Opposed observations: 1111

Stage x Alignment Counts
========================
Stage       Aligned    Opposed
Stage0           0        170
Stage1         445        146
Stage2         240        266
Stage3          84        283
Stage4         367        246

Event Counts by Stage x Alignment
=================================
Event                        S0A     S0O     S1A     S1O     S2A     S2O     S3A     S3O     S4A     S4O
AllBars                        0     170     445     146     240     266      84     283     367     246
DissipationAny                 0      87     216      97     109      89      59     170     156     122
DissipationContained           0      41     118      65      58      52      38     104      75      74
DissipationAccepted            0      43      96      32      48      28      21      61      80      44
ParticipationPeak              0      31      83       0      49     104       0      31      79      40
ParticipationClimactic         0       2      37       0      10      25       0       9      38      16
PeakContained                  0       9      24       0      16      39       0       7      21      19
PeakAccepted                   0      16      56       0      26      60       0      22      48      20
ClimacticContained             0       0       3       0       2       6       0       2       7       4
ClimacticAccepted              0       2      34       0       8      18       0       7      29      12

Event x Stage x Alignment DRFwd5 Table
=====================================
Event                      Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
ParticipationClimactic    Stage0 Opposed         2    -0.490000    -0.490000    50.00%    50.00%     0.00%
ParticipationClimactic    Stage1 Aligned        37     0.360811     0.130000    56.76%    43.24%     0.00%
ParticipationClimactic    Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic    Stage2 Aligned        10    -0.371000     0.580000    60.00%    40.00%     0.00%
ParticipationClimactic    Stage2 Opposed        25     0.062800     0.060000    56.00%    44.00%     0.00%
ParticipationClimactic    Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic    Stage3 Opposed         9    -1.513333    -0.280000    33.33%    66.67%     0.00%
ParticipationClimactic    Stage4 Aligned        38     0.022895    -0.120000    44.74%    55.26%     0.00%
ParticipationClimactic    Stage4 Opposed        16     0.379375     0.045000    50.00%    50.00%     0.00%
PeakContained             Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained             Stage0 Opposed         9    -0.470000    -0.020000    33.33%    66.67%     0.00%
PeakContained             Stage1 Aligned        23     0.978261    -0.040000    47.83%    52.17%     0.00%
PeakContained             Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained             Stage2 Aligned        16    -0.443125    -0.080000    43.75%    50.00%     6.25%
PeakContained             Stage2 Opposed        39    -0.229231    -0.090000    46.15%    53.85%     0.00%
PeakContained             Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained             Stage3 Opposed         7     0.310000     0.270000    57.14%    42.86%     0.00%
PeakContained             Stage4 Aligned        21     0.240952     0.200000    57.14%    42.86%     0.00%
PeakContained             Stage4 Opposed        19     0.375789     0.290000    63.16%    36.84%     0.00%
PeakAccepted              Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted              Stage0 Opposed        16    -0.116250    -0.130000    37.50%    62.50%     0.00%
PeakAccepted              Stage1 Aligned        56    -0.223036    -0.235000    41.07%    58.93%     0.00%
PeakAccepted              Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted              Stage2 Aligned        26    -0.004231     0.045000    53.85%    46.15%     0.00%
PeakAccepted              Stage2 Opposed        60    -0.017000    -0.055000    46.67%    53.33%     0.00%
PeakAccepted              Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakAccepted              Stage3 Opposed        22     0.678182    -0.295000    45.45%    54.55%     0.00%
PeakAccepted              Stage4 Aligned        48    -0.300208     0.010000    50.00%    50.00%     0.00%
PeakAccepted              Stage4 Opposed        20    -0.110000    -0.145000    45.00%    55.00%     0.00%
ClimacticContained        Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained        Stage0 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained        Stage1 Aligned         3     6.946667     0.390000   100.00%     0.00%     0.00%
ClimacticContained        Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained        Stage2 Aligned         2     0.880000     0.880000   100.00%     0.00%     0.00%
ClimacticContained        Stage2 Opposed         6    -0.078333    -0.155000    50.00%    50.00%     0.00%
ClimacticContained        Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticContained        Stage3 Opposed         2    -1.365000    -1.365000     0.00%   100.00%     0.00%
ClimacticContained        Stage4 Aligned         7     0.740000     0.030000    57.14%    42.86%     0.00%
ClimacticContained        Stage4 Opposed         4    -0.365000    -0.110000    50.00%    50.00%     0.00%
ClimacticAccepted         Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted         Stage0 Opposed         2    -0.490000    -0.490000    50.00%    50.00%     0.00%
ClimacticAccepted         Stage1 Aligned        34    -0.220294     0.065000    52.94%    47.06%     0.00%
ClimacticAccepted         Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted         Stage2 Aligned         8    -0.683750     0.110000    50.00%    50.00%     0.00%
ClimacticAccepted         Stage2 Opposed        18     0.133333     0.205000    61.11%    38.89%     0.00%
ClimacticAccepted         Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ClimacticAccepted         Stage3 Opposed         7    -1.555714    -0.020000    42.86%    57.14%     0.00%
ClimacticAccepted         Stage4 Aligned        29    -0.122414    -0.090000    44.83%    55.17%     0.00%
ClimacticAccepted         Stage4 Opposed        12     0.627500     0.045000    50.00%    50.00%     0.00%

Stage4 Aligned vs Stage4 Opposed
================================
