APVA Loop Closure Study v0.1 - CL
================================================================================================
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Loop candidates: 167

1. Loop Inventory
Instrument | CompleteLoopCount | IncompleteNoExcursionCount | IncompleteNoReturnCount | CompletionRate | MeanLoopDuration | MedianLoopDuration | MaxLoopDuration
CL | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37
Aggregate | 166 | 1 | 0 | 99.40% | 9.6747 | 8.0000 | 37

2. Phase Duration Table
LoopPhase | MeanDuration | MedianDuration | MaxDuration | PercentOfLoop
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> ExhaustionPersistence -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 17.0000
NeutralStart -> Age5 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 1 | 0.60% | 1 | 7.0000
NeutralStart -> Age6-10 -> ExhaustionPersistence -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 1 | 0.60% | 1 | 8.0000
NeutralStart -> Age3 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 4.0000
NeutralStart -> Age11-20 -> CompressionProcessing -> CompressionProcessing -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 1 | 0.60% | 1 | 25.0000
NeutralStart -> Age11-20 -> ReassertionProcessing -> ReassertionProcessing -> ConstructiveEmergence -> ConstructiveEmergence -> NeutralStart | 1 | 0.60% | 1 | 26.0000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 1 | 0.60% | 1 | 7.0000
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> MixedStructure -> MixedStructure -> NeutralStart | 1 | 0.60% | 1 | 4.0000
NeutralStart -> Age11-20 -> MixedStructure -> MixedStructure -> DecayToNeutral -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.60% | 1 | 16.0000
NeutralStart -> Age6-10 -> ConstructiveEmergence -> ConstructiveEmergence -> ConstructiveEmergence -> NeutralStart | 1 | 0.60% | 1 | 16.0000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> MixedStructure -> ReassertionProcessing -> DestructiveRotation -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 31.0000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> ConstructiveEmergence -> MixedStructure -> DecayToNeutral -> DecayToNeutral -> NeutralStart | 1 | 0.60% | 1 | 37.0000
NeutralStart -> Age11-20 -> MixedStructure -> MixedStructure -> DecayToNeutral -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 21.0000
NeutralStart -> Age11-20 -> CompressionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 28.0000
NeutralStart -> Age2 -> CompressionProcessing -> CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 8.0000
NeutralStart -> Age4 -> ExhaustionPersistence -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 1 | 0.60% | 1 | 31.0000
NeutralStart -> Age2 -> DestructiveRotation -> DestructiveRotation -> DestructiveRotation -> NeutralStart | 1 | 0.60% | 1 | 3.0000
NeutralStart -> Age3 -> CompressionProcessing -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 1 | 0.60% | 1 | 9.0000
NeutralStart -> Age4 -> ExhaustionPersistence -> ExhaustionPersistence -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 1 | 0.60% | 1 | 7.0000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 18.0000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> ExhaustionPersistence -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 1 | 0.60% | 1 | 14.0000
NeutralStart -> Age6-10 -> ReassertionProcessing -> ReassertionProcessing -> DestructiveRotation -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 14.0000
NeutralStart -> Age5 -> MixedStructure -> MixedStructure -> DecayToNeutral -> MixedStructure -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 15.0000
NeutralStart -> Age5 -> ExhaustionPersistence -> ExhaustionPersistence -> ExhaustionPersistence -> NeutralStart | 1 | 0.60% | 1 | 13.0000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> ReassertionProcessing -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 7.0000
NeutralStart -> Age6-10 -> MixedStructure -> MixedStructure -> RecoveryResolution -> CompressionProcessing -> RecoveryResolution -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 18.0000
NeutralStart -> Age2 -> MixedStructure -> MixedStructure -> CompressionProcessing -> CompressionProcessing -> NeutralStart | 1 | 0.60% | 1 | 6.0000
NeutralStart -> Age3 -> MixedStructure -> MixedStructure -> ExhaustionPersistence -> RecoveryResolution -> RecoveryResolution -> NeutralStart | 1 | 0.60% | 1 | 7.0000
