APVA Transition Context Matrix Study v0.1
Research only. No trades, entries/exits, optimization, fitting, or machine learning.

Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
Valid context observations: 2683
Structural state counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
State-age counts: CompressionProcessing+Age1=177, CompressionProcessing+Age2=92, CompressionProcessing+Age3=41, CompressionProcessing+Age4=22, CompressionProcessing+Age5=12, CompressionProcessing+Age6-10=6, ConstructiveEmergence+Age1=12, DecayToNeutral+Age1=103, DestructiveRotation+Age1=71, DestructiveRotation+Age2=12, DestructiveRotation+Age3=1, ExhaustionPersistence+Age1=97, ExhaustionPersistence+Age2=31, ExhaustionPersistence+Age3=21, ExhaustionPersistence+Age4=16, ExhaustionPersistence+Age5=8, ExhaustionPersistence+Age6-10=3, MixedStructure+Age1=279, MixedStructure+Age2=28, MixedStructure+Age3=5, MixedStructure+Age4=2, NeutralProcessing+Age1=446, NeutralProcessing+Age2=253, NeutralProcessing+Age3=140, NeutralProcessing+Age4=106, NeutralProcessing+Age5=95, NeutralProcessing+Age6-10=208, NeutralProcessing+Age11-20=30, ReassertionProcessing+Age1=174, ReassertionProcessing+Age2=32, ReassertionProcessing+Age3=1, RecoveryResolution+Age1=94, RecoveryResolution+Age2=38, RecoveryResolution+Age3=27, RecoveryResolution+Age4=1

1. Baseline State+Age transition table
CurrentState | AgeBucket | Horizon | NextState | SourceCount | Count | Probability | Lift | Entropy | NormalizedEntropy
CompressionProcessing | 2 | t+1 | RecoveryResolution | 92 | 4 | 4.35% | 0.7291 | 1.2870 | 0.6614
CompressionProcessing | 2 | t+2 | CompressionProcessing | 92 | 39 | 42.39% | 3.2484 | 1.2446 | 0.6946
CompressionProcessing | 2 | t+2 | ExhaustionPersistence | 92 | 10 | 10.87% | 1.6564 | 1.2446 | 0.6946
CompressionProcessing | 2 | t+2 | MixedStructure | 92 | 3 | 3.26% | 0.2803 | 1.2446 | 0.6946
CompressionProcessing | 2 | t+2 | NeutralProcessing | 92 | 36 | 39.13% | 0.8212 | 1.2446 | 0.6946
CompressionProcessing | 2 | t+2 | ReassertionProcessing | 92 | 1 | 1.09% | 0.1408 | 1.2446 | 0.6946
CompressionProcessing | 2 | t+2 | RecoveryResolution | 92 | 3 | 3.26% | 0.5466 | 1.2446 | 0.6946
CompressionProcessing | 2 | t+3 | CompressionProcessing | 92 | 29 | 31.52% | 2.4146 | 1.5752 | 0.8095
CompressionProcessing | 2 | t+3 | DecayToNeutral | 92 | 3 | 3.26% | 0.8488 | 1.5752 | 0.8095
CompressionProcessing | 2 | t+3 | ExhaustionPersistence | 92 | 10 | 10.87% | 1.6558 | 1.5752 | 0.8095
CompressionProcessing | 2 | t+3 | MixedStructure | 92 | 5 | 5.43% | 0.4685 | 1.5752 | 0.8095
CompressionProcessing | 2 | t+3 | NeutralProcessing | 92 | 34 | 36.96% | 0.7753 | 1.5752 | 0.8095
CompressionProcessing | 2 | t+3 | ReassertionProcessing | 92 | 4 | 4.35% | 0.5631 | 1.5752 | 0.8095
CompressionProcessing | 2 | t+3 | RecoveryResolution | 92 | 7 | 7.61% | 1.2749 | 1.5752 | 0.8095
CompressionProcessing | 2 | t+5 | CompressionProcessing | 92 | 11 | 11.96% | 0.9152 | 1.6274 | 0.7826
CompressionProcessing | 2 | t+5 | DecayToNeutral | 92 | 3 | 3.26% | 0.8481 | 1.6274 | 0.7826
CompressionProcessing | 2 | t+5 | DestructiveRotation | 92 | 2 | 2.17% | 0.6933 | 1.6274 | 0.7826
CompressionProcessing | 2 | t+5 | ExhaustionPersistence | 92 | 9 | 9.78% | 1.4891 | 1.6274 | 0.7826
CompressionProcessing | 2 | t+5 | MixedStructure | 92 | 7 | 7.61% | 0.6575 | 1.6274 | 0.7826
CompressionProcessing | 2 | t+5 | NeutralProcessing | 92 | 45 | 48.91% | 1.0261 | 1.6274 | 0.7826
CompressionProcessing | 2 | t+5 | ReassertionProcessing | 92 | 6 | 6.52% | 0.8440 | 1.6274 | 0.7826
CompressionProcessing | 2 | t+5 | RecoveryResolution | 92 | 9 | 9.78% | 1.6380 | 1.6274 | 0.7826
CompressionProcessing | 3 | t+1 | CompressionProcessing | 41 | 22 | 53.66% | 4.1133 | 1.2311 | 0.6871
