APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
Age counts: 1=1453, 2=486, 3=236, 4=147, 5=115, 6-10=217, 11-20=30, 21+=0
Validated context counts: B=20, C=26, D=15
Candidate interpretation counts: ValidatedContext=61, PreviousDistinctContext=2680, CurrentStateAge=2684

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
PreviousDistinctContext | CompressionProcessing->DestructiveRotation+Age1 | 2 | 0.00% | 100.00% | 0.6931 | 1.0000 | NeutralProcessing | 50.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age1 | 35 | 31.43% | 68.57% | 1.4883 | 0.9248 | RecoveryResolution | 31.43% | -0.2962
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age2 | 11 | 81.82% | 18.18% | 0.4741 | 0.6840 | ExhaustionPersistence | 81.82% | 0.9523
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age3 | 9 | 77.78% | 22.22% | 0.5297 | 0.7642 | ExhaustionPersistence | 77.78% | 0.0000
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age4 | 7 | 57.14% | 42.86% | 1.1537 | 0.8322 | ExhaustionPersistence | 57.14% | 0.0000
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age5 | 4 | 25.00% | 75.00% | 1.0397 | 0.9464 | NeutralProcessing | 50.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age6-10 | 3 | 66.67% | 33.33% | 0.6365 | 0.9183 | ExhaustionPersistence | 66.67% | 0.0000
PreviousDistinctContext | CompressionProcessing->MixedStructure+Age1 | 7 | 28.57% | 71.43% | 1.2770 | 0.9212 | NeutralProcessing | 42.86% | 0.0000
PreviousDistinctContext | CompressionProcessing->MixedStructure+Age2 | 2 | 50.00% | 50.00% | 0.6931 | 1.0000 | MixedStructure | 50.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->MixedStructure+Age3 | 1 | 100.00% | 0.00% | -0.0000 | 0.0000 | MixedStructure | 100.00% | 0.0000
