APVA Context Disambiguation Study v0.1
Frozen candidate validation. Research only. No trades, optimization, fitting, machine learning, or parameter search.

Diagnostics
Instrument: CL
Input path(s): .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv
Total rows: 2684
State counts: RecoveryResolution=160, ExhaustionPersistence=176, CompressionProcessing=350, NeutralProcessing=1278, ReassertionProcessing=207, DecayToNeutral=103, DestructiveRotation=84, ConstructiveEmergence=12, MixedStructure=314
Age counts: 1=1453, 2=486, 3=236, 4=147, 5=115, 6-10=217, 11-20=30, 21+=0
Distinct context count: 156

1. Candidate summary
Candidate | Description | Count | DirectionAgreement
A | NeutralProcessing -> CompressionProcessing Age 3 | 13 | Positive
B | RecoveryResolution -> CompressionProcessing Age 3 | 20 | Negative
C | RecoveryResolution -> NeutralProcessing Age 1 | 25 | Positive
D | DecayToNeutral -> NeutralProcessing Age 4 | 15 | Positive
E | Baseline CompressionProcessing Age 3 | 41 | Positive
F | Baseline NeutralProcessing Age 1 | 430 | Positive
G | Baseline NeutralProcessing Age 4 | 104 | Positive

2. Outcome validation
Candidate | Count | MeanDRFwd5 | MedianDRFwd5 | ContinuationRate5 | FailureRate5 | FlatRate5 | OutcomeSkew | StdDevDRFwd5 | MaxFavorableDRFwd5 | MaxAdverseDRFwd5
B | t+3 | NeutralProcessing | 6 | 30.00% | 0.6293 | 1.7127 | 0.9559 | NeutralProcessing | 30.00%
B | t+3 | CompressionProcessing | 4 | 20.00% | 1.5320 | 1.7127 | 0.9559 | NeutralProcessing | 30.00%
B | t+3 | DestructiveRotation | 3 | 15.00% | 4.7875 | 1.7127 | 0.9559 | NeutralProcessing | 30.00%
B | t+3 | RecoveryResolution | 3 | 15.00% | 2.5134 | 1.7127 | 0.9559 | NeutralProcessing | 30.00%
B | t+3 | MixedStructure | 2 | 10.00% | 0.8621 | 1.7127 | 0.9559 | NeutralProcessing | 30.00%
B | t+3 | ExhaustionPersistence | 2 | 10.00% | 1.5233 | 1.7127 | 0.9559 | NeutralProcessing | 30.00%
B | t+5 | NeutralProcessing | 11 | 55.00% | 1.1538 | 1.4428 | 0.7414 | NeutralProcessing | 55.00%
B | t+5 | MixedStructure | 3 | 15.00% | 1.2963 | 1.4428 | 0.7414 | NeutralProcessing | 55.00%
B | t+5 | ExhaustionPersistence | 2 | 10.00% | 1.5222 | 1.4428 | 0.7414 | NeutralProcessing | 55.00%
B | t+5 | DecayToNeutral | 1 | 5.00% | 1.3005 | 1.4428 | 0.7414 | NeutralProcessing | 55.00%
B | t+5 | CompressionProcessing | 1 | 5.00% | 0.3827 | 1.4428 | 0.7414 | NeutralProcessing | 55.00%
B | t+5 | RecoveryResolution | 1 | 5.00% | 0.8372 | 1.4428 | 0.7414 | NeutralProcessing | 55.00%
B | t+5 | DestructiveRotation | 1 | 5.00% | 1.5946 | 1.4428 | 0.7414 | NeutralProcessing | 55.00%
C | t+1 | NeutralProcessing | 14 | 53.85% | 1.1304 | 0.6902 | 0.9957 | NeutralProcessing | 53.85%
C | t+1 | CompressionProcessing | 12 | 46.15% | 3.5380 | 0.6902 | 0.9957 | NeutralProcessing | 53.85%
C | t+2 | NeutralProcessing | 12 | 46.15% | 0.9686 | 1.0434 | 0.7527 | NeutralProcessing | 46.15%
C | t+2 | CompressionProcessing | 11 | 42.31% | 3.2420 | 1.0434 | 0.7527 | NeutralProcessing | 46.15%
C | t+2 | RecoveryResolution | 2 | 7.69% | 1.2894 | 1.0434 | 0.7527 | NeutralProcessing | 46.15%
C | t+2 | MixedStructure | 1 | 3.85% | 0.3306 | 1.0434 | 0.7527 | NeutralProcessing | 46.15%
C | t+3 | CompressionProcessing | 11 | 42.31% | 3.2408 | 1.4297 | 0.7347 | CompressionProcessing | 42.31%
C | t+3 | NeutralProcessing | 9 | 34.62% | 0.7262 | 1.4297 | 0.7347 | CompressionProcessing | 42.31%
C | t+3 | MixedStructure | 2 | 7.69% | 0.6631 | 1.4297 | 0.7347 | CompressionProcessing | 42.31%
C | t+3 | RecoveryResolution | 1 | 3.85% | 0.6445 | 1.4297 | 0.7347 | CompressionProcessing | 42.31%
C | t+3 | ConstructiveEmergence | 1 | 3.85% | 8.5929 | 1.4297 | 0.7347 | CompressionProcessing | 42.31%
C | t+3 | ReassertionProcessing | 1 | 3.85% | 0.4981 | 1.4297 | 0.7347 | CompressionProcessing | 42.31%
C | t+3 | ExhaustionPersistence | 1 | 3.85% | 0.5859 | 1.4297 | 0.7347 | CompressionProcessing | 42.31%
C | t+5 | CompressionProcessing | 10 | 38.46% | 2.9440 | 1.4220 | 0.8836 | CompressionProcessing | 38.46%
C | t+5 | NeutralProcessing | 7 | 26.92% | 0.5648 | 1.4220 | 0.8836 | CompressionProcessing | 38.46%
C | t+5 | MixedStructure | 4 | 15.38% | 1.3295 | 1.4220 | 0.8836 | CompressionProcessing | 38.46%
C | t+5 | ExhaustionPersistence | 4 | 15.38% | 2.3418 | 1.4220 | 0.8836 | CompressionProcessing | 38.46%
C | t+5 | RecoveryResolution | 1 | 3.85% | 0.6440 | 1.4220 | 0.8836 | CompressionProcessing | 38.46%
D | t+1 | NeutralProcessing | 12 | 80.00% | 1.6795 | 0.6277 | 0.5714 | NeutralProcessing | 80.00%
D | t+1 | ReassertionProcessing | 2 | 13.33% | 1.7282 | 0.6277 | 0.5714 | NeutralProcessing | 80.00%
D | t+1 | MixedStructure | 1 | 6.67% | 0.5715 | 0.6277 | 0.5714 | NeutralProcessing | 80.00%
D | t+2 | NeutralProcessing | 14 | 93.33% | 1.9587 | 0.2449 | 0.3534 | NeutralProcessing | 93.33%
D | t+2 | MixedStructure | 1 | 6.67% | 0.5731 | 0.2449 | 0.3534 | NeutralProcessing | 93.33%
D | t+3 | NeutralProcessing | 9 | 60.00% | 1.2587 | 0.9276 | 0.8444 | NeutralProcessing | 60.00%
D | t+3 | ReassertionProcessing | 4 | 26.67% | 3.4538 | 0.9276 | 0.8444 | NeutralProcessing | 60.00%
D | t+3 | MixedStructure | 2 | 13.33% | 1.1494 | 0.9276 | 0.8444 | NeutralProcessing | 60.00%
D | t+5 | ReassertionProcessing | 4 | 26.67% | 3.4512 | 1.6914 | 0.9440 | ReassertionProcessing | 26.67%
D | t+5 | NeutralProcessing | 4 | 26.67% | 0.5594 | 1.6914 | 0.9440 | ReassertionProcessing | 26.67%
D | t+5 | RecoveryResolution | 2 | 13.33% | 2.2325 | 1.6914 | 0.9440 | ReassertionProcessing | 26.67%
D | t+5 | MixedStructure | 2 | 13.33% | 1.1523 | 1.6914 | 0.9440 | ReassertionProcessing | 26.67%
D | t+5 | CompressionProcessing | 2 | 13.33% | 1.0206 | 1.6914 | 0.9440 | ReassertionProcessing | 26.67%
D | t+5 | DestructiveRotation | 1 | 6.67% | 2.1262 | 1.6914 | 0.9440 | ReassertionProcessing | 26.67%
E | t+1 | CompressionProcessing | 22 | 53.66% | 4.1133 | 1.2311 | 0.6871 | CompressionProcessing | 53.66%
E | t+1 | NeutralProcessing | 10 | 24.39% | 0.5120 | 1.2311 | 0.6871 | CompressionProcessing | 53.66%
