APVA Stage + Alignment + Breakout Type Study v0.1 - CL
======================================================
Instrument: CL
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_OPEN_apva_bar_evidence_v01.csv
Total rows: 2677
Total stage-alignment-breakout observations: 2247
Breakout, SequenceStage, alignment, event, and DRFwd logic are reused from prior studies.
This is a descriptive decomposition of the prior Stage x Alignment result.

Observation Counts by BreakoutType
==================================
IBSYM             495
Lateral          1752

Observation Counts by Stage
===========================
Stage0       170
Stage1       591
Stage2       506
Stage3       367
Stage4       613

Observation Counts by Alignment
===============================
Aligned          1136
Opposed          1111

Event x Stage x Alignment x BreakoutType
========================================
Event                    Type       Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
DissipationContained     Lateral   Stage2 Opposed        40    -0.183250     0.020000    50.00%    50.00%     0.00%
DissipationContained     Lateral   Stage3 Aligned        29     0.029310    -0.130000    41.38%    55.17%     3.45%
DissipationContained     Lateral   Stage3 Opposed        80     0.071000    -0.020000    48.75%    51.25%     0.00%
DissipationContained     Lateral   Stage4 Aligned        57     0.253509     0.140000    56.14%    43.86%     0.00%
DissipationContained     Lateral   Stage4 Opposed        57    -0.102281     0.040000    52.63%    47.37%     0.00%
DissipationAccepted      IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationAccepted      IBSYM     Stage0 Opposed         8    -0.103750    -0.070000    37.50%    62.50%     0.00%
DissipationAccepted      IBSYM     Stage1 Aligned        19     0.035789    -0.040000    36.84%    63.16%     0.00%
DissipationAccepted      IBSYM     Stage1 Opposed         5     0.232000     0.150000    80.00%    20.00%     0.00%
DissipationAccepted      IBSYM     Stage2 Aligned         8     0.245000     0.255000    62.50%    37.50%     0.00%
DissipationAccepted      IBSYM     Stage2 Opposed         6     0.275000     0.000000    50.00%    50.00%     0.00%
DissipationAccepted      IBSYM     Stage3 Aligned         4     0.320000     0.505000    75.00%    25.00%     0.00%
DissipationAccepted      IBSYM     Stage3 Opposed        10     0.274000     0.155000    50.00%    50.00%     0.00%
DissipationAccepted      IBSYM     Stage4 Aligned        25    -0.608400     0.070000    52.00%    48.00%     0.00%
DissipationAccepted      IBSYM     Stage4 Opposed        12     0.055833    -0.265000    33.33%    66.67%     0.00%
DissipationAccepted      Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationAccepted      Lateral   Stage0 Opposed        35     0.461714     0.290000    68.57%    31.43%     0.00%
DissipationAccepted      Lateral   Stage1 Aligned        77     0.002078    -0.080000    42.86%    55.84%     1.30%
DissipationAccepted      Lateral   Stage1 Opposed        25     0.069600     0.120000    60.00%    40.00%     0.00%
DissipationAccepted      Lateral   Stage2 Aligned        40    -0.137750    -0.145000    35.00%    65.00%     0.00%
DissipationAccepted      Lateral   Stage2 Opposed        22    -0.040455     0.205000    54.55%    45.45%     0.00%
DissipationAccepted      Lateral   Stage3 Aligned        17    -0.684118    -0.280000    35.29%    64.71%     0.00%
DissipationAccepted      Lateral   Stage3 Opposed        51     0.158235     0.050000    50.98%    49.02%     0.00%
DissipationAccepted      Lateral   Stage4 Aligned        55    -0.128909    -0.030000    47.27%    52.73%     0.00%
DissipationAccepted      Lateral   Stage4 Opposed        32    -0.517500    -0.325000    28.12%    71.88%     0.00%
ParticipationPeak        IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        IBSYM     Stage0 Opposed         7    -0.187143    -0.100000    28.57%    71.43%     0.00%
ParticipationPeak        IBSYM     Stage1 Aligned         9    -0.323333    -0.240000    33.33%    66.67%     0.00%
ParticipationPeak        IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        IBSYM     Stage2 Aligned        11    -0.131818     0.160000    63.64%    36.36%     0.00%
ParticipationPeak        IBSYM     Stage2 Opposed        23     0.060000    -0.170000    47.83%    52.17%     0.00%
ParticipationPeak        IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        IBSYM     Stage3 Opposed         8     0.012500    -0.320000    37.50%    62.50%     0.00%
ParticipationPeak        IBSYM     Stage4 Aligned        25    -0.385200    -0.040000    48.00%    52.00%     0.00%
ParticipationPeak        IBSYM     Stage4 Opposed        15     0.582000     0.090000    60.00%    40.00%     0.00%
ParticipationPeak        Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        Lateral   Stage0 Opposed        24    -0.032917     0.010000    50.00%    50.00%     0.00%
ParticipationPeak        Lateral   Stage1 Aligned        73     0.165753    -0.100000    45.21%    54.79%     0.00%
ParticipationPeak        Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        Lateral   Stage2 Aligned        38    -0.188684    -0.080000    42.11%    55.26%     2.63%
ParticipationPeak        Lateral   Stage2 Opposed        81    -0.159259    -0.090000    43.21%    56.79%     0.00%
ParticipationPeak        Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationPeak        Lateral   Stage3 Opposed        23     0.703043    -0.230000    47.83%    52.17%     0.00%
ParticipationPeak        Lateral   Stage4 Aligned        54     0.031481     0.105000    53.70%    42.59%     3.70%
ParticipationPeak        Lateral   Stage4 Opposed        25    -0.151200     0.010000    52.00%    48.00%     0.00%
ParticipationClimactic   IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage0 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage1 Aligned         6    -0.690000    -0.250000    33.33%    66.67%     0.00%
ParticipationClimactic   IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage2 Aligned         3    -0.513333     0.880000    66.67%    33.33%     0.00%
ParticipationClimactic   IBSYM     Stage2 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage3 Opposed         1     0.920000     0.920000   100.00%     0.00%     0.00%
ParticipationClimactic   IBSYM     Stage4 Aligned         9    -0.498889    -0.200000    44.44%    55.56%     0.00%
ParticipationClimactic   IBSYM     Stage4 Opposed         5     2.102000     0.260000    80.00%    20.00%     0.00%
ParticipationClimactic   Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   Lateral   Stage0 Opposed         2    -0.490000    -0.490000    50.00%    50.00%     0.00%
ParticipationClimactic   Lateral   Stage1 Aligned        31     0.564194     0.140000    61.29%    38.71%     0.00%
ParticipationClimactic   Lateral   Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   Lateral   Stage2 Aligned         7    -0.310000     0.510000    57.14%    42.86%     0.00%
ParticipationClimactic   Lateral   Stage2 Opposed        25     0.062800     0.060000    56.00%    44.00%     0.00%
ParticipationClimactic   Lateral   Stage3 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
ParticipationClimactic   Lateral   Stage3 Opposed         8    -1.817500    -0.450000    25.00%    75.00%     0.00%
ParticipationClimactic   Lateral   Stage4 Aligned        29     0.184828    -0.090000    44.83%    55.17%     0.00%
ParticipationClimactic   Lateral   Stage4 Opposed        11    -0.403636    -0.480000    36.36%    63.64%     0.00%
PeakContained            IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            IBSYM     Stage0 Opposed         3    -0.560000    -0.100000     0.00%   100.00%     0.00%
PeakContained            IBSYM     Stage1 Aligned         1    -0.240000    -0.240000     0.00%   100.00%     0.00%
PeakContained            IBSYM     Stage1 Opposed         0     0.000000     0.000000     0.00%     0.00%     0.00%
PeakContained            IBSYM     Stage2 Aligned         4    -0.590000     0.020000    50.00%    50.00%     0.00%
PeakContained            IBSYM     Stage2 Opposed         7    -0.298571    -0.300000    42.86%    57.14%     0.00%
