Feature,Type,Count,OutcomeMean,OutcomeTStat,CategoryOutcomeSpread,BestCategoryMean,WorstCategoryMean,LeakageScore,Verdict,Reasons,Mean,Median,Min,Max,OutcomeCorrelation,QuantileOutcomeSpread,BestQuantileMean,WorstQuantileMean
SignedNormalizedReturn,numeric,256,0.2264453007188707,1.445251358669456,,,,12,UNSAFE_AS_ENTRY_GATE,known_forward_or_outcome_field|suspicious_name|high_outcome_correlation|large_quantile_outcome_spread,0.2264453007188707,0.10443070395882675,-14.847980997624704,16.06518010291595,1.0,4.850267933821102,2.761866846149811,-2.088401087671291
DirectionalNormalizedMFE,numeric,256,0.2264453007188707,1.445251358669456,,,,12,UNSAFE_AS_ENTRY_GATE,known_forward_or_outcome_field|suspicious_name|high_outcome_correlation|large_quantile_outcome_spread,1.4538083881045782,0.9251651347539642,-0.3904840032813781,19.488,0.8156316278765315,3.979418118662304,2.502849267117925,-1.4765688515443787
DirectionalNormalizedMAE,numeric,256,0.2264453007188707,1.445251358669456,,,,12,UNSAFE_AS_ENTRY_GATE,known_forward_or_outcome_field|suspicious_name|high_outcome_correlation|large_quantile_outcome_spread,-1.1711027878349731,-0.8562470556720457,-20.434679334916865,9.968,0.7766171996936638,3.7172356245138283,1.9641854013445097,-1.7530502231693186
SignedReturn,numeric,256,0.2264453007188707,1.445251358669456,,,,12,UNSAFE_AS_ENTRY_GATE,known_forward_or_outcome_field|suspicious_name|high_outcome_correlation|large_quantile_outcome_spread,4.0751953125,1.375,-223.25,200.75,0.7610788432332205,4.456340076956268,2.534976331390166,-1.921363745566102
DirectionalMAE,numeric,256,0.2264453007188707,1.445251358669456,,,,12,UNSAFE_AS_ENTRY_GATE,known_forward_or_outcome_field|suspicious_name|high_outcome_correlation|large_quantile_outcome_spread,-22.12109375,-13.375,-307.25,24.0,0.5763398504798466,3.264062664613591,1.8442152470756494,-1.4198474175379414
DirectionalMFE,numeric,256,0.2264453007188707,1.445251358669456,,,,12,UNSAFE_AS_ENTRY_GATE,known_forward_or_outcome_field|suspicious_name|high_outcome_correlation|large_quantile_outcome_spread,26.0673828125,16.0,-8.5,251.25,0.5686650242463881,3.5749762192603445,2.1647882798199256,-1.4101879394404189
FutureClose,numeric,256,0.2264453007188707,1.445251358669456,,,,9,UNSAFE_AS_ENTRY_GATE,known_forward_or_outcome_field|suspicious_name|large_quantile_outcome_spread,23832.8974609375,27007.25,6631.0,29697.75,-0.07862383522850663,0.8752624079476519,0.5673916098026413,-0.30787079814501056
NormalizedReturn,numeric,256,0.2264453007188707,1.445251358669456,,,,7,UNSAFE_AS_ENTRY_GATE,known_forward_or_outcome_field|suspicious_name,-0.0029201985259050475,0.04066414459857075,-15.68,16.06518010291595,0.24175894482651739,0.5962739717970158,0.5842394765009896,-0.012034495296026144
RawReturn,numeric,256,0.2264453007188707,1.445251358669456,,,,7,UNSAFE_AS_ENTRY_GATE,known_forward_or_outcome_field|suspicious_name,0.4931640625,0.5,-223.25,200.75,0.16045412198892103,0.5726166442088046,0.5980218994784715,0.025405255269666846
DirectionalHit,numeric,256,0.2264453007188707,1.445251358669456,,,,5,UNSAFE_AS_ENTRY_GATE,high_outcome_correlation|large_quantile_outcome_spread,0.53125,1.0,0.0,1.0,0.5681280463520986,3.0680525845553257,1.567863162928516,-1.50018942162681
InTargetState,numeric,256,0.2264453007188707,1.445251358669456,,,,4,SUSPICIOUS_REVIEW_REQUIRED,suspicious_name|large_quantile_outcome_spread,1.0,1.0,1.0,1.0,,0.9032838368806254,0.5538239998012717,-0.3494598370793537
TargetEntry,numeric,256,0.2264453007188707,1.445251358669456,,,,4,SUSPICIOUS_REVIEW_REQUIRED,suspicious_name|large_quantile_outcome_spread,1.0,1.0,1.0,1.0,,0.9032838368806254,0.5538239998012717,-0.3494598370793537
DirectionalReleasePressure,numeric,256,0.2264453007188707,1.445251358669456,,,,2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_quantile_outcome_spread,0.10495255501823272,0.0976912025508348,0.0612328692175015,0.1653733877500932,0.04857485453598035,0.7222551797050195,0.6181177546967548,-0.10413742500826473
DirectionSign,numeric,256,0.2264453007188707,1.445251358669456,,,,2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_quantile_outcome_spread,0.046875,1.0,-1.0,1.0,-0.005415520289793189,0.7834959139627491,0.5829296239285999,-0.20056629003414916
TR,numeric,256,0.2264453007188707,1.445251358669456,,,,2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_quantile_outcome_spread,21.8837890625,15.625,1.25,428.5,-0.011289139802827076,0.925869996606714,0.6904115043022517,-0.23545849230446225
ATR14,numeric,256,0.2264453007188707,1.445251358669456,,,,2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_quantile_outcome_spread,20.423409598214285,17.401785714285715,2.232142857142857,72.17857142857143,-0.016706162983049343,0.7344725219506321,0.5769990817045557,-0.15747344024607632
Close,numeric,256,0.2264453007188707,1.445251358669456,,,,2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_quantile_outcome_spread,23832.404296875,26991.875,6635.0,29677.5,-0.07941041595241448,0.9075843076837996,0.5673916098026413,-0.34019269788115836
High,numeric,256,0.2264453007188707,1.445251358669456,,,,2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_quantile_outcome_spread,23842.576171875,26997.875,6636.0,29684.75,-0.07941665087728367,0.9075843076837996,0.5673916098026413,-0.34019269788115836
Open,numeric,256,0.2264453007188707,1.445251358669456,,,,2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_quantile_outcome_spread,23833.369140625,26992.25,6635.5,29678.0,-0.07942735232336619,0.9075843076837996,0.5673916098026413,-0.34019269788115836
PrevClose,numeric,256,0.2264453007188707,1.445251358669456,,,,2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_quantile_outcome_spread,23834.720703125,26991.875,6635.75,29679.5,-0.07945124215346581,0.9030805330917605,0.5651397225066217,-0.3379408105851388
Low,numeric,256,0.2264453007188707,1.445251358669456,,,,2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_quantile_outcome_spread,23821.9873046875,26980.25,6631.5,29660.25,-0.07946744889618451,0.9075843076837996,0.5673916098026413,-0.34019269788115836
Quadruplet,categorical,256,0.2264453007188707,1.445251358669456,1.7578786209931225,0.8320052650026669,-0.9258733559904556,2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_category_outcome_spread,,,,,,,,
CurrentDirectionalEmergence,numeric,256,0.2264453007188707,1.445251358669456,,,,2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_quantile_outcome_spread,0.0,0.0,0.0,0.0,,0.9032838368806254,0.5538239998012717,-0.3494598370793537
HasDirection,numeric,256,0.2264453007188707,1.445251358669456,,,,2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_quantile_outcome_spread,1.0,1.0,1.0,1.0,,0.9032838368806254,0.5538239998012717,-0.3494598370793537
Similarity,numeric,256,0.2264453007188707,1.445251358669456,,,,0,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,,0.9839824020961394,1.0,0.4142135623730951,1.0,0.01119938192707408,0.5079736449324235,0.41313252443960913,-0.09484112049281439
CompressionPressure,numeric,256,0.2264453007188707,1.445251358669456,,,,0,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,,0.6594618274383532,0.6638123830209416,0.294871143402319,0.7643637632427065,-0.01135743561392585,0.5490748007204586,0.4270454603802583,-0.12202934034020027
RollingDominantFraction,numeric,256,0.2264453007188707,1.445251358669456,,,,0,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,,0.6351562499999999,0.6,0.5,0.8,-0.014241049312993283,0.564303984792823,0.5028175970037949,-0.06148638778902802
ExhaustionPressure,numeric,256,0.2264453007188707,1.445251358669456,,,,0,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,,0.056651475694444384,0.0555555555555555,0.0277777777777777,0.1277777777777777,-0.023131556438847657,0.3357650840088273,0.4019683684609458,0.06620328445211847
RollingEntropy,numeric,256,0.2264453007188707,1.445251358669456,,,,0,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_quantile_outcome_spread|known_ex_ante_state_feature,1.1097218720974587,1.1567796494427114,0.8812908992278072,1.2954618442339936,-0.026227984021165135,0.7472815434842945,0.6256730517765643,-0.12160849170773023
RotationalPressure,numeric,256,0.2264453007188707,1.445251358669456,,,,0,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,,0.4056748366046523,0.4083822784261861,0.2344490508727494,0.533382278426186,-0.06286637445412538,0.49713583250602883,0.48493655267669084,-0.012199279829337968
ResolvedArchetype,categorical,256,0.2264453007188707,1.445251358669456,1.7578786209931225,0.8320052650026669,-0.9258733559904556,0,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_category_outcome_spread|known_ex_ante_state_feature,,,,,,,,
ResolutionMethod,categorical,256,0.2264453007188707,1.445251358669456,0.30129823508102327,0.24174560171907894,-0.05955263336194436,0,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,,,,,,,,,
RollingDirectionalPresence,numeric,256,0.2264453007188707,1.445251358669456,,,,0,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_quantile_outcome_spread|known_ex_ante_state_feature,0.0,0.0,0.0,0.0,,0.9032838368806254,0.5538239998012717,-0.3494598370793537
ActiveDirection,categorical,256,0.2264453007188707,1.445251358669456,0.02712925417182785,0.24064576969943688,0.21351651552760903,0,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,,,,,,,,,
HorizonBars,numeric,256,0.2264453007188707,1.445251358669456,,,,0,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,large_quantile_outcome_spread|known_ex_ante_state_feature,5.0,5.0,5.0,5.0,,0.9032838368806254,0.5538239998012717,-0.3494598370793537
BarIndex,numeric,256,0.2264453007188707,1.445251358669456,,,,-2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,known_ex_ante_state_feature,4379.6171875,3746.0,50.0,9645.0,0.004305776421971572,0.5505471938466733,0.4671342993950892,-0.0834128944515841
DominantPressureValue,numeric,256,0.2264453007188707,1.445251358669456,,,,-2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,known_ex_ante_state_feature,0.6594618274383532,0.6638123830209416,0.294871143402319,0.7643637632427065,-0.01135743561392585,0.5490748007204586,0.4270454603802583,-0.12202934034020027
RollingVelocity,numeric,256,0.2264453007188707,1.445251358669456,,,,-2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,known_ex_ante_state_feature,0.4344618055555556,0.4444444444444444,0.1111111111111111,0.6666666666666666,-0.061400087841844884,0.4877010536655405,0.5006827683334938,0.012981714667953276
Instrument,categorical,256,0.2264453007188707,1.445251358669456,0.5668441176903776,0.6892203811770305,0.12237626348665298,-2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,known_ex_ante_state_feature,,,,,,,,
File,categorical,256,0.2264453007188707,1.445251358669456,0.5668441176903776,0.6892203811770305,0.12237626348665298,-2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,known_ex_ante_state_feature,,,,,,,,
Time,categorical,256,0.2264453007188707,1.445251358669456,,,,-2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,known_ex_ante_state_feature,,,,,,,,
MacroState,categorical,256,0.2264453007188707,1.445251358669456,0.09344962695231679,0.3155144764077977,0.22206484945548088,-2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,known_ex_ante_state_feature,,,,,,,,
DominantPressure,categorical,256,0.2264453007188707,1.445251358669456,0.0,0.22644530071887073,0.22644530071887073,-2,PROBABLY_SAFE_IF_COMPUTED_EX_ANTE,known_ex_ante_state_feature,,,,,,,,
