Feature,GateType,Gate,Direction,FeatureMin,FeatureMax,FeatureMean,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum
Instrument,category,ES,equals,,,,47,0.7401852690212744,-0.0634201585503963,1.3280072768278672,0.48936170212765956,2.3136500852763047,-2.0,-1.1661922100849609,0.5898958333333333,1.9460619884610213,16.06518010291595,34.78870764399989
BarIndex,threshold,1487.0,le,50.0,1487.0,703.75,52,0.6776026445787321,-0.09320726566913384,1.4147437858377991,0.46153846153846156,2.283131006581691,-2.0,-0.9948662028884989,0.8313282928718728,2.33822223800561,16.06518010291595,35.23533751809407
RollingDirectionalPresence,quantile,Q1,inside,0.0,0.0,0.0,64,0.5392211921840456,-0.0649905864067354,1.2745008388889996,0.484375,1.9317222192622372,-2.0,-1.1643826547500828,0.6834886739027843,1.650931487855995,16.06518010291595,34.51015629977892
RollingEntropy,quantile,Q2,inside,0.9709505944517832,1.1567796494427114,1.0365582252700685,64,0.5363005639982956,0.16495733987844785,1.7451101442461134,0.5625,2.3862954635902702,-2.0,-0.41833390227129935,0.9233084910753449,1.6505390457045044,15.68,34.32323609589092
RollingVelocity,quantile,Q1,inside,0.1111111111111111,0.3333333333333333,0.2725694444444444,64,0.5040091959553169,0.11629339511621065,1.4958065493964097,0.546875,2.083924248664584,-2.0,-0.8487961048489295,0.9714577349701111,2.1870805071202835,16.06518010291595,32.25658854114028
RollingEntropy,quantile,Q3,inside,1.1567796494427114,1.2954618442339936,1.1936171074341457,64,0.4624614332995345,0.12806299970387913,1.422408578822132,0.53125,1.807037214510288,-2.0,-1.1643826547500828,1.3874331393936232,2.577164335029072,16.06518010291595,29.597531731170207
RollingVelocity,threshold,0.3333333333333333,le,0.1111111111111111,0.3333333333333333,0.28758169934640515,85,0.4508302248256032,0.2235528942115768,1.6977983300925565,0.5647058823529412,1.9490474321229248,-2.0,-0.8338557993730408,1.2569659442724457,1.969115259096118,16.06518010291595,38.32056911017627
DominantPressureValue,quantile,Q3,inside,0.6638123830209416,0.6893155878467636,0.6704085827144948,64,0.4490967447354754,0.11629339511621065,1.2798678103515861,0.546875,1.8004466238942827,-2.0,-1.132111433021926,0.915368781470292,2.0085046261565394,16.06518010291595,28.742191663070425
RollingDirectionalPresence,quantile,Q3,inside,0.0,0.0,0.0,64,0.41592156007706343,0.1655522164966258,1.9105321860602322,0.609375,1.8843906289242502,-2.0,-0.628656615368591,1.4341095538165076,2.475316588673479,4.981731532962669,26.61897984493206
BarIndex,quantile,Q3,inside,3762.0,6726.0,5479.28125,64,0.41592156007706343,0.1655522164966258,1.9105321860602322,0.609375,1.8843906289242502,-2.0,-0.628656615368591,1.4341095538165076,2.475316588673479,4.981731532962669,26.61897984493206
RollingEntropy,threshold,0.9999999999971146,le,0.8812908992278072,0.9999999999971146,0.9432012202823571,109,0.40184171554863496,0.127016129032258,1.8372410767592635,0.5596330275229358,1.8945290555802958,-2.0,-0.6,0.9199522102747908,1.8886032794287813,15.68,43.80074699480121
BarIndex,quantile,Q1,inside,50.0,2007.0,910.609375,64,0.3872704697921179,-0.1715330798764867,0.9695548823041439,0.421875,1.6253549045915376,-2.0,-1.1699629921737547,0.7775600195982362,1.6306952153981717,16.06518010291595,24.785310066695544
