Metric,Count,Mean,Median,Std,TStat,Min,Q05,Q25,Q75,Q90,Q95,Max,PositiveFraction,Top5PctCount,Top5PctSum,Top5PctShareOfPositiveSum,Top5PctShareOfTotalSum,Top10PctCount,Top10PctSum,Top10PctShareOfPositiveSum,Top10PctShareOfTotalSum,Sum
SignedReturn,377,1.7082228116710876,0.25,20.970520056995756,1.5816339966237425,-46.25,-16.099999999999998,-6.0,6.0,11.75,16.14999999999999,167.25,0.5013262599469496,19,1159.5,0.5353185595567868,1.8004658385093169,38,1417.5,0.6544321329639889,2.2010869565217392,644.0
RawReturn,377,2.4111405835543764,1.0,20.901182663369173,2.239867598527081,-37.75,-16.15,-5.25,6.75,11.5,16.149999999999977,167.25,0.5384615384615384,19,1202.5,0.5231672830106592,1.322882288228823,38,1458.5,0.6345442680008702,1.6045104510451045,909.0
NormalizedReturn,377,0.24115268205102197,0.1424936386768447,2.9061017213434437,1.611209299380166,-15.68,-2.193109560208264,-0.863013698630137,1.0909090909090908,1.981522659292291,2.8301219220655036,16.06518010291595,0.5384615384615384,19,157.5117949761093,0.461411838106061,1.7325254944065094,38,203.27675568498827,0.5954747801526448,2.2359097723310373,90.91456113323528
DirectionalMFE,377,9.774535809018568,5.5,20.751903946472826,9.145529786409057,-25.25,0.5,2.25,10.75,17.35000000000001,22.84999999999998,178.25,0.9840848806366048,19,1383.0,0.37189915966386555,0.37530529172320215,38,1765.0,0.4746218487394958,0.4789687924016282,3685.0
DirectionalMAE,377,-7.096816976127321,-5.5,11.852606677612275,-11.625734681003694,-59.25,-20.65,-10.0,-2.5,-0.5,-0.25,141.75,0.01856763925729443,19,258.0,0.9980657640232108,-0.09643057372453746,38,251.75,0.9738878143133463,-0.09409456176415623,-2675.5
MFE_to_abs_MAE,367,5.77281080111706,0.8181818181818182,16.478158246826204,6.711377799418846,-0.42616033755274263,0.03258064516129032,0.23606811145510836,3.153409090909091,13.200000000000035,30.94999999999996,176.0,0.9836512261580381,19,1206.2037707390648,0.5691593010541091,0.569334227135901,37,1585.7656755009698,0.7482593782232309,0.7484893491311194,2118.621564009961
