RegimeWeek,Count,MeanSignedReturn,MedianSignedReturn,MaxSignedReturn,MinSignedReturn,MeanMFE,MeanMAE
2026-W15,54,13.203703703703704,-0.75,167.25,-18.25,22.583333333333332,-4.7592592592592595
2026-W16,31,3.153225806451613,0.5,30.0,-12.25,9.088709677419354,-4.67741935483871
2026-W17,77,-0.5227272727272727,-0.5,18.0,-32.25,6.571428571428571,-7.574675324675325
2026-W18,40,0.31875,2.25,35.0,-37.75,7.23125,-8.075
2026-W19,63,-3.0674603174603177,-3.0,47.5,-46.25,5.678571428571429,-8.130952380952381
2026-W20,60,-0.5291666666666667,0.5,17.0,-31.0,6.858333333333333,-7.333333333333333
2026-W21,52,1.6490384615384615,1.625,40.25,-26.75,11.908653846153847,-7.980769230769231
