Path,Candidate,AvailableForCheck,Count,ES_Count,NQ_Count,BothESAndNQNonzero
outputs/compression_persistence_analysis/compression_persistence_entries.csv,PriorSlope_DominantPressureValue_Q3,True,0,0,0,False
outputs/compression_persistence_analysis/compression_persistence_entries.csv,RRCCC,True,0,0,0,False
outputs/compression_persistence_analysis/compression_persistence_feature_tests.csv,Base_ES_NQ,True,0,0,0,False
outputs/compression_persistence_analysis/compression_persistence_feature_tests.csv,CCRRR,True,0,0,0,False
outputs/compression_persistence_analysis/compression_persistence_feature_tests.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/compression_persistence_analysis/compression_persistence_feature_tests.csv,RRCCC,True,0,0,0,False
outputs/compression_persistence_analysis/compression_persistence_scorecard.csv,Base_ES_NQ,True,0,0,0,False
outputs/compression_persistence_analysis/compression_persistence_scorecard.csv,CCRRR,True,0,0,0,False
outputs/compression_persistence_analysis/compression_persistence_scorecard.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/compression_persistence_analysis/compression_persistence_scorecard.csv,RRCCC,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/column_mapping.csv,Base_ES_NQ,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/column_mapping.csv,CCRRR,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/column_mapping.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/conditioned_compression_es_directional_presence/column_mapping.csv,RRCCC,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_file_summary.csv,Base_ES_NQ,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_file_summary.csv,CCRRR,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_file_summary.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_file_summary.csv,RRCCC,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_quantile_summary.csv,Base_ES_NQ,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_quantile_summary.csv,CCRRR,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_quantile_summary.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_quantile_summary.csv,RRCCC,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_scorecard.csv,Base_ES_NQ,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_scorecard.csv,CCRRR,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_scorecard.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_scorecard.csv,RRCCC,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_week_summary.csv,Base_ES_NQ,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_week_summary.csv,CCRRR,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_week_summary.csv,PriorSlope_DominantPressureValue_Q3,False,0,0,0,False
outputs/conditioned_compression_es_directional_presence/conditioned_week_summary.csv,RRCCC,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/selected_conditioned_rows.csv,Base_ES_NQ,True,148,148,0,False
outputs/conditioned_compression_es_directional_presence/selected_conditioned_rows.csv,CCRRR,True,0,0,0,False
outputs/conditioned_compression_es_directional_presence/selected_conditioned_rows.csv,PriorSlope_DominantPressureValue_Q3,True,42,42,0,False
outputs/conditioned_compression_es_directional_presence/selected_conditioned_rows.csv,RRCCC,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_entries.csv,Base_ES_NQ,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_entries.csv,CCRRR,True,0,0,0,False
outputs/cross_instrument_transfer_compression_precursor/cross_instrument_entries.csv,PriorSlope_DominantPressureValue_Q3,True,0,0,0,False
