Path,Location,RowCount,RequiredColumnsPresent,MissingRequiredColumns,OptionalTimePresent,OptionalDominantPressureValuePresent,InstrumentList,ES_RowCount,NQ_RowCount,TimeMin,TimeMax,BarIndexMin,BarIndexMax,HorizonBarsValues,DominantPressureValues,SignedNormalizedReturnExists,DirectionalNormalizedMAEExists,BaseCandidateRowsPresent,CCRRRCandidateRowsPresent,RRCCCCandidateRowsPresent,PriorSlopeQ3CandidateRowsPresent,AnyNonBaseFrozenCandidateRowsPresent,AnyCandidateBothESAndNQNonzero,DuplicateRowKeyCount,DerivedOutputExcluded,IntendedExtensionOverride,IndependenceStatus,ReadinessStatus,ReadinessReason
outputs/policy_surface_es_compression_entropy_mid_presence_zero/policy_scorecard.csv,outputs,10.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/policy_surface_es_compression_entropy_mid_presence_zero/policy_surface.csv,outputs,60.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/policy_surface_es_compression_entropy_mid_presence_zero/selected_policy_rows.csv,outputs,377.0,True,,True,True,ES,377,0,2026-04-06 10:40:00,2026-05-22 13:25:00,49.0,3142.0,5,CompressionPressure,True,True,False,False,False,False,False,False,0.0,True,False,ExcludedDerivedOutput,NOT_READY,no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/precursor_policy_surface_es_compression_entropy_mid_presence_zero/precursor_policy_entries.csv,outputs,47.0,True,,True,True,ES,47,0,2026-04-06 10:45:00,2026-05-22 09:45:00,50.0,3098.0,5,CompressionPressure,True,True,False,False,False,False,False,False,0.0,True,False,ExcludedDerivedOutput,NOT_READY,no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/precursor_policy_surface_es_compression_entropy_mid_presence_zero/precursor_policy_scorecard.csv,outputs,14.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/precursor_policy_surface_es_compression_entropy_mid_presence_zero/precursor_policy_surface.csv,outputs,60.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/precursor_sequence_es_compression_entropy_mid_presence_zero/precursor_entry_rows.csv,outputs,375.0,False,"Instrument,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/precursor_sequence_es_compression_entropy_mid_presence_zero/precursor_offset_summary.csv,outputs,6.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/precursor_sequence_es_compression_entropy_mid_presence_zero/precursor_path_summary.csv,outputs,31.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
outputs/precursor_sequence_es_compression_entropy_mid_presence_zero/precursor_scorecard.csv,outputs,13.0,False,"Instrument,File,BarIndex,HorizonBars,DominantPressure,RollingDirectionalPresence,RollingEntropy,SignedNormalizedReturn,DirectionalNormalizedMAE",False,False,,0,0,,,,,,,False,False,False,False,False,False,False,False,,True,False,ExcludedDerivedOutput,NOT_READY,missing required columns; no ES or NQ rows; no base candidate rows; no non-base frozen candidate rows; not independent of reference; prior output artifact excluded from readiness
