Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Max,Top5SharePositiveSum,Top10SharePositiveSum,Stop,Target,CollisionMode
47,0.8617021276595744,-3.75,0.571939885535754,0.40425531914893614,1.2783505154639174,-6.0,32.0,0.5161290322580645,0.706989247311828,6.0,32.0,conservative
47,0.8563829787234043,-2.0,0.6902887014996459,0.1702127659574468,1.516025641025641,-2.0,32.0,0.8118393234672304,0.9386892177589852,2.0,32.0,conservative
47,0.8031914893617021,-4.0,0.5665929849475128,0.2978723404255319,1.3038229376257546,-4.0,32.0,0.5925925925925926,0.7885802469135802,4.0,32.0,conservative
47,0.7659574468085106,-0.75,0.487565193701733,0.44680851063829785,1.2246489859594383,-8.0,32.0,0.489171974522293,0.6700636942675159,8.0,32.0,conservative
47,0.7606382978723404,-3.75,0.5506903895936256,0.40425531914893614,1.245704467353952,-6.0,24.0,0.3972413793103448,0.6620689655172414,6.0,24.0,conservative
47,0.7021276595744681,-4.0,0.5470732156142017,0.2978723404255319,1.2655935613682092,-4.0,24.0,0.4578696343402226,0.7631160572337043,4.0,24.0,conservative
47,0.6648936170212766,-0.75,0.45822336738605646,0.44680851063829785,1.1950078003120126,-8.0,24.0,0.37597911227154046,0.6266318537859008,8.0,24.0,conservative
47,0.601063829787234,-3.75,0.4658811810164999,0.40425531914893614,1.1941580756013745,-6.0,20.0,0.34532374100719426,0.5755395683453237,6.0,20.0,conservative
47,0.5425531914893617,-4.0,0.45797485309546004,0.2978723404255319,1.20523138832998,-4.0,20.0,0.4006677796327212,0.667779632721202,4.0,20.0,conservative
47,0.5053191489361702,-0.75,0.3703687488713468,0.44680851063829785,1.1482059282371295,-8.0,20.0,0.32608695652173914,0.5434782608695652,8.0,20.0,conservative
47,0.40425531914893614,-0.5,0.23788741785130108,0.46808510638297873,1.1002638522427441,-12.0,32.0,0.460431654676259,0.6342925659472423,12.0,32.0,conservative
47,0.35638297872340424,-2.0,0.3875924807453239,0.1702127659574468,1.2147435897435896,-2.0,20.0,0.633245382585752,0.9234828496042217,2.0,20.0,conservative
47,0.34574468085106386,-2.0,0.35836157284725334,0.1702127659574468,1.2083333333333333,-2.0,24.0,0.7639257294429708,0.9230769230769231,2.0,24.0,conservative
47,0.3351063829787234,-0.75,0.2623741705822067,0.44680851063829785,1.0982839313572543,-8.0,16.0,0.2727272727272727,0.45454545454545453,8.0,16.0,conservative
47,0.30319148936170215,-0.5,0.19085258131259217,0.46808510638297873,1.075197889182058,-12.0,24.0,0.35337423312883437,0.588957055214724,12.0,24.0,conservative
47,0.20212765957446807,-0.75,0.1229196239685152,0.44680851063829785,1.0508701472556894,-10.0,32.0,0.489171974522293,0.6700636942675159,10.0,32.0,conservative
47,0.18617021276595744,-3.75,0.16147642529738693,0.40425531914893614,1.0601374570446735,-6.0,16.0,0.31118314424635335,0.5186385737439222,6.0,16.0,conservative
47,0.14361702127659576,-0.5,0.09517079765940066,0.46808510638297873,1.0356200527704484,-12.0,20.0,0.3057324840764331,0.5095541401273885,12.0,20.0,conservative
47,0.10106382978723404,-0.75,0.06608135611021854,0.44680851063829785,1.0254350736278448,-10.0,24.0,0.37597911227154046,0.6266318537859008,10.0,24.0,conservative
47,0.031914893617021274,-4.0,0.031753182575957405,0.2978723404255319,1.012072434607646,-4.0,16.0,0.3817097415506958,0.6361829025844931,4.0,16.0,conservative
47,0.015957446808510637,-2.0,0.02092114084518962,0.1702127659574468,1.0096153846153846,-2.0,16.0,0.6095238095238096,0.9079365079365079,2.0,16.0,conservative
47,-0.026595744680851064,-0.5,-0.018601146375128004,0.46808510638297873,0.9934036939313984,-12.0,16.0,0.2549800796812749,0.4249667994687915,12.0,16.0,conservative
47,-0.05851063829787234,-0.75,-0.04046170224123152,0.44680851063829785,0.9852744310575636,-10.0,20.0,0.32608695652173914,0.5434782608695652,10.0,20.0,conservative
