Metric,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Max,Top5SharePositiveSum,Top10SharePositiveSum
HorizonSignedMove,47,4.159574468085107,0.75,1.050840386993258,0.5106382978723404,2.1602373887240356,-32.25,167.25,0.6662087912087912,0.7657967032967034
MaxFavorableMove,47,12.882978723404255,5.75,3.3058377440034126,1.0,inf,0.25,178.25,0.4475639966969447,0.5474814203137902
MaxAdverseMove,47,-8.101063829787234,-5.5,-6.871058383698812,0.0,0.0,-45.0,-0.5,,
EntrySignedReturn,47,4.159574468085107,0.75,1.050840386993258,0.5106382978723404,2.1602373887240356,-32.25,167.25,0.6662087912087912,0.7657967032967034
EntryDirectionalMFE,47,11.930851063829786,4.25,3.02783868710675,0.9787234042553191,inf,0.0,178.25,0.48328131966116805,0.5911725367810967
EntryDirectionalMAE,47,-6.127659574468085,-4.75,-4.134981455730205,0.0425531914893617,0.13836948391922213,-45.0,24.0,1.0,1.0
