EntryId,File,EntryBarIndex,EntryTime,EntryDirectionSign,ObservedHorizon,HorizonSignedMove,MaxFavorableMove,MaxAdverseMove,EntrySignedReturn,EntryDirectionalMFE,EntryDirectionalMAE,RollingEntropy,RollingDirectionalPresence
37,xApvaV01StateLog_ES.csv,2358,2026-05-12 08:05:00,-1.0,5,11.5,16.5,-5.75,11.5,16.5,-5.75,0.8812908992278072,0.0
38,xApvaV01StateLog_ES.csv,2401,2026-05-12 11:40:00,1.0,5,1.75,4.5,-3.25,1.75,4.5,-3.25,1.1567796494427114,0.0
39,xApvaV01StateLog_ES.csv,2619,2026-05-15 07:20:00,1.0,5,0.75,7.0,-12.25,0.75,7.0,-12.0,0.8812908992278072,0.0
40,xApvaV01StateLog_ES.csv,2691,2026-05-15 13:20:00,-1.0,5,0.75,5.75,-4.75,0.75,5.75,-2.25,0.8812908992278072,0.0
41,xApvaV01StateLog_ES.csv,2862,2026-05-19 12:35:00,-1.0,5,4.5,17.0,-7.25,4.5,17.0,-1.75,1.2954618442339936,0.0
42,xApvaV01StateLog_ES.csv,2898,2026-05-20 08:05:00,1.0,5,4.75,31.0,-2.5,4.75,31.0,-2.5,0.8812908992278072,0.0
43,xApvaV01StateLog_ES.csv,2904,2026-05-20 08:35:00,-1.0,5,-3.0,7.0,-10.25,-3.0,2.75,-10.25,0.9999999999971146,0.0
44,xApvaV01StateLog_ES.csv,2987,2026-05-21 08:00:00,1.0,5,-0.75,4.25,-18.25,-0.75,4.25,-18.25,1.2954618442339936,0.0
45,xApvaV01StateLog_ES.csv,3059,2026-05-21 14:00:00,1.0,5,40.25,49.25,-0.5,40.25,49.25,24.0,0.9709505944517832,0.0
46,xApvaV01StateLog_ES.csv,3098,2026-05-22 09:45:00,1.0,5,7.5,9.0,-1.0,7.5,9.0,0.0,1.2954618442339936,0.0
