Group,Count,MeanSignedReturn,MedianSignedReturn,StdSignedReturn,TStat,PositiveFraction,MaxSignedReturn,MinSignedReturn,Top5SharePositiveSum,Top10SharePositiveSum,MeanMFE,MedianMFE,Q90MFE,Q95MFE,MeanMAE,MedianMAE,Q90MAE,Q95MAE
AllTargetState,377,1.7082228116710876,0.25,20.970520056995756,1.5816339966237425,0.5013262599469496,167.25,-46.25,0.5353185595567868,0.6544321329639889,9.774535809018568,5.5,17.35000000000001,22.84999999999998,-7.096816976127321,-5.5,-0.5,-0.25
Entry,375,1.718,0.25,21.019629926475616,1.5827551227254144,0.5013333333333333,167.25,-46.25,0.5370541917554423,0.6565539601667438,9.803333333333333,5.5,17.400000000000006,23.02500000000002,-7.108666666666666,-5.5,-0.5,-0.25
Continuation,2,-0.125,-0.125,10.076271631908302,-0.01754385964912281,0.5,7.0,-7.25,1.0,1.0,4.375,4.375,7.4750000000000005,7.8625,-4.875,-4.875,-2.5749999999999997,-2.2875
