Metric,Value
AllTargetState_count,377.0
AllTargetState_mean,1.7082228116710876
AllTargetState_median,0.25
AllTargetState_tstat,1.5816339966237425
AllTargetState_top5_share,0.5353185595567868
Entry_count,375.0
Entry_mean,1.718
Entry_median,0.25
Entry_tstat,1.5827551227254144
Entry_top5_share,0.5370541917554423
Continuation_count,2.0
Continuation_mean,-0.125
Continuation_median,-0.125
Continuation_tstat,-0.01754385964912281
Continuation_top5_share,1.0
Continuation_positive_week_fraction,0.0
Continuation_median_week_mean,-0.125
Entry_positive_week_fraction,0.5714285714285714
Entry_median_week_mean,0.31875
