Group,RegimeWeek,Count,MeanSignedReturn,MedianSignedReturn,TStat,PositiveFraction
Entry,2026-W15,54,13.203703703703704,-0.75,2.072036359996389,0.48148148148148145
Entry,2026-W16,31,3.153225806451613,0.5,1.7248798892761257,0.5161290322580645
Entry,2026-W17,77,-0.5227272727272727,-0.5,-0.5272276115040723,0.4805194805194805
Entry,2026-W18,40,0.31875,2.25,0.14282427457224925,0.675
Entry,2026-W19,63,-3.0674603174603177,-3.0,-1.9757212308251761,0.36507936507936506
Entry,2026-W20,60,-0.5291666666666667,0.5,-0.4493799337633536,0.5333333333333333
Entry,2026-W21,50,1.72,1.625,0.9141391202851871,0.54
Continuation,2026-W21,2,-0.125,-0.125,-0.01754385964912281,0.5
