method,block_size,boot_mean
iid,,0.062443233424159854
iid,,0.3692098092643052
iid,,-0.018392370572207085
iid,,0.18846503178928248
iid,,0.4477747502270663
iid,,0.5451861943687557
iid,,0.44504995458673935
iid,,0.626930063578565
iid,,0.3006357856494096
iid,,-0.13737511353315168
iid,,0.11875567665758402
iid,,0.0751589464123524
iid,,-0.3358310626702997
iid,,0.8399182561307902
iid,,0.0036330608537693005
iid,,-0.08764759309718438
iid,,-0.2781562216167121
iid,,0.3237965485921889
iid,,0.17166212534059946
iid,,-0.22547683923705722
iid,,0.1092188919164396
iid,,0.5474568574023615
iid,,0.12942779291553133
iid,,0.184377838328792
iid,,0.022025431425976384
iid,,0.49182561307901906
iid,,0.5517711171662125
iid,,0.8819255222524978
iid,,0.19368755676657584
iid,,-0.08106267029972752
iid,,-0.09445958219800181
iid,,-0.13851044504995458
iid,,0.2574931880108992
iid,,-0.011580381471389645
iid,,-0.29109900090826524
iid,,0.06039963669391462
iid,,-0.5270208900999092
iid,,0.40236148955495005
iid,,0.329700272479564
iid,,0.22706630336058128
iid,,0.3539963669391462
iid,,0.13851044504995458
iid,,0.7282016348773842
iid,,-0.2529518619436876
iid,,-0.4100817438692098
iid,,0.21571298819255222
iid,,-0.2872388737511353
iid,,0.39986376021798364
iid,,0.354677565849228
iid,,0.6439600363306085
iid,,-0.08424159854677565
iid,,0.12216167120799273
iid,,0.21662125340599456
iid,,-0.22797456857402362
iid,,0.17915531335149865
iid,,0.06471389645776567
iid,,0.6580381471389646
iid,,0.8857856494096276
iid,,-0.6267029972752044
iid,,0.09423251589464124
iid,,0.24931880108991825
iid,,0.02111716621253406
iid,,0.444141689373297
iid,,0.12125340599455041
iid,,-0.20572207084468666
iid,,0.04927338782924614
iid,,0.019981834695731154
iid,,0.240236148955495
iid,,0.12851952770208902
iid,,-0.25408719346049047
iid,,-0.2111716621253406
iid,,-0.21934604904632152
iid,,-0.12897366030881016
iid,,0.31539509536784743
iid,,-0.5554041780199819
iid,,0.76952770208901
iid,,0.12602179836512262
iid,,-0.10740236148955495
iid,,0.9852406902815622
iid,,0.400772025431426
iid,,0.3676203451407811
iid,,0.11194368755676658
iid,,-0.22729336966394187
iid,,0.43710263396911897
iid,,0.3846503178928247
iid,,0.39486830154405084
iid,,0.20413260672116257
iid,,-0.09741144414168937
iid,,0.05608537693006358
iid,,-0.032470481380563125
iid,,0.16280653950953677
iid,,-0.06743869209809264
iid,,0.06471389645776567
iid,,0.22434150772025432
iid,,0.11603088101725705
iid,,0.29586739327883743
iid,,0.3898728428701181
iid,,0.07129881925522252
iid,,0.03905540417801998
iid,,-0.17801998183469572
iid,,-0.2683923705722071
iid,,0.2391008174386921
iid,,0.10422343324250681
iid,,0.18278837420526794
iid,,-0.4384650317892825
iid,,0.47479564032697547
iid,,0.1201180744777475
iid,,0.42007266121707537
iid,,0.01748410535876476
iid,,0.23501362397820164
iid,,0.08310626702997276
iid,,0.1271571298819255
iid,,0.20367847411444143
iid,,0.05449591280653951
iid,,0.4627611262488647
iid,,0.03792007266121707
iid,,-0.0885558583106267
iid,,0.3471843778383288
iid,,-0.09332425068119891
iid,,0.4470935513169846
iid,,-0.049500454132606724
iid,,-0.1782470481380563
iid,,0.1008174386920981
iid,,0.18119891008174388
iid,,0.006130790190735695
iid,,0.14850136239782016
iid,,-0.21821071752951862
iid,,-0.3274296094459582
iid,,-0.29223433242506813
iid,,-0.26498637602179836
iid,,0.13533151680290645
iid,,-0.07561307901907358
iid,,0.6861943687556766
iid,,-0.2872388737511353
iid,,-0.7104904632152589
iid,,-0.35876475930971846
iid,,-0.1818801089918256
iid,,-0.12783832879200727
iid,,-0.5233878292461399
iid,,-0.14282470481380563
iid,,-0.28247048138056313
iid,,0.09309718437783833
iid,,0.6764305177111717
iid,,-0.17325158946412353
iid,,0.04155313351498638
iid,,-0.4950045413260672
iid,,0.1080835603996367
iid,,0.15803814713896458
iid,,-0.3930517711171662
iid,,-0.3442325158946412
iid,,0.25817438692098094
iid,,0.4357402361489555
iid,,-0.3265213442325159
iid,,-0.3916893732970027
iid,,-0.17983651226158037
iid,,0.43415077202543145
iid,,0.5831062670299727
iid,,0.002270663033605813
iid,,-0.07243415077202543
iid,,-0.44232515894641233
iid,,0.5579019073569482
iid,,-0.3176657584014532
iid,,-0.3751135331516803
iid,,-0.13646684831970934
