method,block_size,n,observed_mean,observed_median,observed_std,observed_t_stat_naive,observed_positive_fraction,boot_mean_mean,boot_mean_std,ci_01,ci_05,ci_50,ci_95,ci_99,prob_mean_gt_0
iid,,1101,0.1164850136239782,0.0,10.960180958069937,0.3526517064285008,0.48864668483197093,0.09509695731153496,0.33133135744021347,-0.6535694822888283,-0.4811762034514078,0.09741144414168937,0.638351498637602,0.8625930971843777,0.618
moving_block,5,1101,0.1164850136239782,0.0,10.960180958069937,0.3526517064285008,0.48864668483197093,0.12301702997275206,0.4284461109859471,-0.8613283378746595,-0.5598319709355131,0.11580381471389646,0.8517597638510442,1.110356494096276,0.62
stationary,5,1101,0.1164850136239782,0.0,10.960180958069937,0.3526517064285008,0.48864668483197093,0.1004171207992734,0.4264794700953296,-0.846405540417802,-0.5543483197093552,0.08594459582198002,0.8335036330608536,1.118794277929155,0.573
moving_block,10,1101,0.1164850136239782,0.0,10.960180958069937,0.3526517064285008,0.48864668483197093,0.12458878292461399,0.4526751687886421,-0.8381085376930063,-0.587488646684832,0.10774296094459582,0.9110921889191643,1.2527429609445955,0.605
stationary,10,1101,0.1164850136239782,0.0,10.960180958069937,0.3526517064285008,0.48864668483197093,0.1309688919164396,0.43191404321595506,-0.8574591280653951,-0.5974227974568573,0.1408946412352407,0.8476385104450497,1.0968324250681198,0.629
moving_block,20,1101,0.1164850136239782,0.0,10.960180958069937,0.3526517064285008,0.48864668483197093,0.11405631244323343,0.4162752684770752,-0.8771298819255223,-0.5891348773841961,0.11580381471389645,0.7860467756584921,1.1015099909173478,0.626
stationary,20,1101,0.1164850136239782,0.0,10.960180958069937,0.3526517064285008,0.48864668483197093,0.10301226158038147,0.42369093094641813,-0.8165463215258856,-0.5587193460490464,0.09491371480472298,0.8076407811080831,1.0582288828337874,0.595
moving_block,50,1101,0.1164850136239782,0.0,10.960180958069937,0.3526517064285008,0.48864668483197093,0.1383508174386921,0.4135472034220724,-0.7846503178928247,-0.5352406902815622,0.134763851044505,0.8012942779291551,1.108212988192552,0.622
stationary,50,1101,0.1164850136239782,0.0,10.960180958069937,0.3526517064285008,0.48864668483197093,0.13216734786557674,0.44001199809602715,-0.8624772933696639,-0.5874318801089917,0.111716621253406,0.867370572207084,1.18383514986376,0.622
