APVA Harmful Node Heterogeneity Study v0.1
============================================================================================================
Diagnostics
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
Harmful node count: 13

1. Harmful Node Inventory
Node | Count | ReplicationCount | ContributionScore | Top1Loss | BrierWorsening
CompressionProcessing_Age1 | 89 | 1 | 0.5038 | -0.61% | -0.0075
ConstructiveEmergence_Age1 | 14 | 1 | 0.4780 | -0.09% | -0.0011
DestructiveRotation_Age2 | 11 | 1 | 0.4736 | -0.13% | -0.0011
ExhaustionPersistence_Age6-10 | 6 | 1 | 0.4515 | -0.13% | -0.0011
MixedStructure_Age2 | 27 | 1 | 0.4931 | -0.04% | -0.0011
NeutralProcessing_Age1 | 297 | 1 | 0.5000 | -3.21% | -0.0326
NeutralProcessing_Age11-20 | 37 | 1 | 0.4716 | -0.18% | -0.0032
NeutralProcessing_Age2 | 175 | 1 | 0.5293 | -1.25% | -0.0155
NeutralProcessing_Age3 | 112 | 1 | 0.5569 | -0.15% | -0.0049
NeutralProcessing_Age6-10 | 191 | 1 | 0.2745 | -1.40% | -0.0238
ReassertionProcessing_Age1 | 147 | 1 | 0.5212 | -1.04% | -0.0129
ReassertionProcessing_Age2 | 31 | 1 | 0.4812 | -0.25% | -0.0028
RecoveryResolution_Age1 | 46 | 1 | 0.4783 | -0.49% | -0.0046

2. Baseline Harmfulness
Node | BaselineTop1Loss | BaselineBrierWorsening | BaselineContribution
CompressionProcessing_Age1 | -0.61% | -0.0075 | 0.5038
ConstructiveEmergence_Age1 | -0.09% | -0.0011 | 0.4780
DestructiveRotation_Age2 | -0.13% | -0.0011 | 0.4736
ExhaustionPersistence_Age6-10 | -0.13% | -0.0011 | 0.4515
MixedStructure_Age2 | -0.04% | -0.0011 | 0.4931
NeutralProcessing_Age1 | -3.21% | -0.0326 | 0.5000
NeutralProcessing_Age11-20 | -0.18% | -0.0032 | 0.4716
NeutralProcessing_Age2 | -1.25% | -0.0155 | 0.5293
NeutralProcessing_Age3 | -0.15% | -0.0049 | 0.5569
NeutralProcessing_Age6-10 | -1.40% | -0.0238 | 0.2745
ReassertionProcessing_Age1 | -1.04% | -0.0129 | 0.5212
ReassertionProcessing_Age2 | -0.25% | -0.0028 | 0.4812
RecoveryResolution_Age1 | -0.49% | -0.0046 | 0.4783

3. Previous Node Split
Node | Subgroup | Count | Top1Accuracy | BrierScore | ForecastConfidence | Entropy
CompressionProcessing_Age1 | RecoveryResolution_Age1 | 26 | 57.69% | 0.4882 | 15.38% | 0.6813
CompressionProcessing_Age1 | NeutralProcessing_Age1 | 21 | 76.19% | 0.3628 | 52.38% | 0.5489
CompressionProcessing_Age1 | RecoveryResolution_Age3 | 7 | 57.14% | 0.4898 | 14.29% | 0.6829
CompressionProcessing_Age1 | NeutralProcessing_Age2 | 5 | 60.00% | 0.4800 | 20.00% | 0.6730
CompressionProcessing_Age1 | NeutralProcessing_Age3 | 5 | 80.00% | 0.3200 | 60.00% | 0.5004
CompressionProcessing_Age1 | NeutralProcessing_Age6-10 | 5 | 80.00% | 0.3200 | 60.00% | 0.5004
CompressionProcessing_Age1 | MixedStructure_Age1 | 4 | 50.00% | 0.5000 | 0.00% | 0.6931
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 3 | 66.67% | 0.4444 | 33.33% | 0.6365
CompressionProcessing_Age1 | ReassertionProcessing_Age1 | 3 | 100.00% | 0.0000 | 100.00% | 0.0000
CompressionProcessing_Age1 | DestructiveRotation_Age1 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
CompressionProcessing_Age1 | NeutralProcessing_Age11-20 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
CompressionProcessing_Age1 | ReassertionProcessing_Age2 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
CompressionProcessing_Age1 | DecayToNeutral_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
CompressionProcessing_Age1 | ExhaustionPersistence_Age4 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
CompressionProcessing_Age1 | ExhaustionPersistence_Age5 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
CompressionProcessing_Age1 | NeutralProcessing_Age5 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 4 | 50.00% | 0.5000 | 0.00% | 0.6931
ConstructiveEmergence_Age1 | NeutralProcessing_Age2 | 2 | 50.00% | 0.5000 | 0.00% | 0.6931
ConstructiveEmergence_Age1 | NeutralProcessing_Age6-10 | 2 | 50.00% | 0.5000 | 0.00% | 0.6931
ConstructiveEmergence_Age1 | ReassertionProcessing_Age1 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
ConstructiveEmergence_Age1 | DecayToNeutral_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
ConstructiveEmergence_Age1 | MixedStructure_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
ConstructiveEmergence_Age1 | NeutralProcessing_Age11-20 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
ConstructiveEmergence_Age1 | NeutralProcessing_Age4 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
DestructiveRotation_Age2 | DestructiveRotation_Age1 | 11 | 54.55% | 0.4959 | 9.09% | 0.6890
ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age5 | 4 | 50.00% | 0.6250 | 25.00% | 1.0397
ExhaustionPersistence_Age6-10 | ExhaustionPersistence_Age6-10 | 2 | 50.00% | 0.5000 | 0.00% | 0.6931
MixedStructure_Age2 | MixedStructure_Age1 | 27 | 74.07% | 0.3841 | 48.15% | 0.5723
NeutralProcessing_Age1 | MixedStructure_Age1 | 65 | 53.85% | 0.4970 | 7.69% | 0.6902
NeutralProcessing_Age1 | ReassertionProcessing_Age1 | 58 | 65.52% | 0.4518 | 31.03% | 0.6442
NeutralProcessing_Age1 | DecayToNeutral_Age1 | 57 | 64.91% | 0.4555 | 29.82% | 0.6480
NeutralProcessing_Age1 | CompressionProcessing_Age1 | 26 | 61.54% | 0.4734 | 23.08% | 0.6663
NeutralProcessing_Age1 | DestructiveRotation_Age1 | 16 | 56.25% | 0.4922 | 12.50% | 0.6853
NeutralProcessing_Age1 | CompressionProcessing_Age2 | 15 | 60.00% | 0.4800 | 20.00% | 0.6730
NeutralProcessing_Age1 | MixedStructure_Age2 | 9 | 66.67% | 0.4444 | 33.33% | 0.6365
NeutralProcessing_Age1 | ReassertionProcessing_Age2 | 9 | 66.67% | 0.4444 | 33.33% | 0.6365
NeutralProcessing_Age1 | RecoveryResolution_Age1 | 7 | 57.14% | 0.4898 | 14.29% | 0.6829
NeutralProcessing_Age1 | ExhaustionPersistence_Age1 | 6 | 66.67% | 0.4444 | 33.33% | 0.6365
NeutralProcessing_Age1 | CompressionProcessing_Age3 | 5 | 80.00% | 0.3200 | 60.00% | 0.5004
NeutralProcessing_Age1 | ConstructiveEmergence_Age1 | 4 | 75.00% | 0.3750 | 50.00% | 0.5623
NeutralProcessing_Age1 | RecoveryResolution_Age2 | 4 | 75.00% | 0.3750 | 50.00% | 0.5623
NeutralProcessing_Age1 | CompressionProcessing_Age5 | 3 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | ExhaustionPersistence_Age3 | 3 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | CompressionProcessing_Age4 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | CompressionProcessing_Age6-10 | 2 | 50.00% | 0.5000 | 0.00% | 0.6931
NeutralProcessing_Age1 | RecoveryResolution_Age3 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | DestructiveRotation_Age2 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | ExhaustionPersistence_Age4 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | ExhaustionPersistence_Age6-10 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age1 | MixedStructure_Age4 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
NeutralProcessing_Age11-20 | NeutralProcessing_Age11-20 | 25 | 64.00% | 0.5056 | 36.00% | 0.8441
NeutralProcessing_Age11-20 | NeutralProcessing_Age6-10 | 12 | 75.00% | 0.3750 | 50.00% | 0.5623
NeutralProcessing_Age2 | NeutralProcessing_Age1 | 175 | 64.00% | 0.4608 | 28.00% | 0.6534
NeutralProcessing_Age3 | NeutralProcessing_Age2 | 112 | 74.11% | 0.3838 | 48.21% | 0.5719
NeutralProcessing_Age6-10 | NeutralProcessing_Age6-10 | 121 | 59.50% | 0.5612 | 35.54% | 0.9488
NeutralProcessing_Age6-10 | NeutralProcessing_Age5 | 70 | 71.43% | 0.4388 | 50.00% | 0.7589
ReassertionProcessing_Age1 | NeutralProcessing_Age1 | 45 | 55.56% | 0.4938 | 11.11% | 0.6870
ReassertionProcessing_Age1 | NeutralProcessing_Age2 | 28 | 96.43% | 0.0689 | 92.86% | 0.1541
ReassertionProcessing_Age1 | NeutralProcessing_Age6-10 | 25 | 60.00% | 0.4800 | 20.00% | 0.6730
ReassertionProcessing_Age1 | NeutralProcessing_Age3 | 18 | 94.44% | 0.1049 | 88.89% | 0.2146
ReassertionProcessing_Age1 | MixedStructure_Age1 | 13 | 53.85% | 0.4970 | 7.69% | 0.6902
ReassertionProcessing_Age1 | DestructiveRotation_Age1 | 5 | 80.00% | 0.3200 | 60.00% | 0.5004
ReassertionProcessing_Age1 | NeutralProcessing_Age11-20 | 4 | 50.00% | 0.5000 | 0.00% | 0.6931
ReassertionProcessing_Age1 | NeutralProcessing_Age5 | 4 | 100.00% | 0.0000 | 100.00% | 0.0000
ReassertionProcessing_Age1 | MixedStructure_Age2 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
ReassertionProcessing_Age1 | CompressionProcessing_Age2 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
ReassertionProcessing_Age1 | CompressionProcessing_Age5 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
ReassertionProcessing_Age1 | NeutralProcessing_Age4 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
ReassertionProcessing_Age2 | ReassertionProcessing_Age1 | 31 | 61.29% | 0.4745 | 22.58% | 0.6674
RecoveryResolution_Age1 | MixedStructure_Age1 | 12 | 66.67% | 0.4444 | 33.33% | 0.6365
RecoveryResolution_Age1 | ExhaustionPersistence_Age1 | 8 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | CompressionProcessing_Age1 | 5 | 60.00% | 0.4800 | 20.00% | 0.6730
RecoveryResolution_Age1 | ExhaustionPersistence_Age2 | 5 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | MixedStructure_Age2 | 4 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | CompressionProcessing_Age3 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | DestructiveRotation_Age1 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | NeutralProcessing_Age6-10 | 2 | 50.00% | 0.5000 | 0.00% | 0.6931
RecoveryResolution_Age1 | CompressionProcessing_Age2 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | CompressionProcessing_Age4 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | CompressionProcessing_Age6-10 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | DestructiveRotation_Age2 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | ExhaustionPersistence_Age4 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
RecoveryResolution_Age1 | ExhaustionPersistence_Age5 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000

4. Next Node Split
Node | Subgroup | Count | Top1Accuracy | BrierScore | ForecastConfidence | Entropy
CompressionProcessing_Age1 | CompressionProcessing_Age2 | 51 | 100.00% | 0.0000 | 100.00% | 0.0000
CompressionProcessing_Age1 | NeutralProcessing_Age1 | 26 | 100.00% | 0.0000 | 100.00% | 0.0000
CompressionProcessing_Age1 | RecoveryResolution_Age1 | 5 | 100.00% | 0.0000 | 100.00% | 0.0000
CompressionProcessing_Age1 | ExhaustionPersistence_Age1 | 4 | 100.00% | 0.0000 | 100.00% | 0.0000
CompressionProcessing_Age1 | DecayToNeutral_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
CompressionProcessing_Age1 | DestructiveRotation_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
CompressionProcessing_Age1 | MixedStructure_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
ConstructiveEmergence_Age1 | MixedStructure_Age1 | 9 | 100.00% | 0.0000 | 100.00% | 0.0000
ConstructiveEmergence_Age1 | NeutralProcessing_Age1 | 4 | 100.00% | 0.0000 | 100.00% | 0.0000
ConstructiveEmergence_Age1 | DecayToNeutral_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
DestructiveRotation_Age2 | DestructiveRotation_Age3 | 5 | 100.00% | 0.0000 | 100.00% | 0.0000
DestructiveRotation_Age2 | DecayToNeutral_Age1 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
DestructiveRotation_Age2 | ExhaustionPersistence_Age1 | 2 | 100.00% | 0.0000 | 100.00% | 0.0000
DestructiveRotation_Age2 | NeutralProcessing_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
DestructiveRotation_Age2 | RecoveryResolution_Age1 | 1 | 100.00% | 0.0000 | 100.00% | 0.0000
