APVA Neutral Failure Timing Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
ReferenceFailureCount: 113
StableControlCount: 1012
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
NeutralProcessing_Age2 | 40 | 0 | 0 | 40 | 35.40%
NeutralProcessing_Age6-10 | 39 | 0 | 0 | 39 | 34.51%
NeutralProcessing_Age3 | 15 | 0 | 0 | 15 | 13.27%
NeutralProcessing_Age11-20 | 10 | 0 | 0 | 10 | 8.85%
NeutralProcessing_Age5 | 7 | 0 | 0 | 7 | 6.19%
NeutralProcessing_Age4 | 2 | 0 | 0 | 2 | 1.77%

2. Warning Window Signal Table
FailureNode | AgeBucket | Horizon | Signal | FailureMean | ControlMean | EffectSize | ReplicationCount
AllFailureNodes | 3 | t-5 | VolumeRelativeToSessionMean | 0.6394 | 0.9895 | -0.6178 | 0
AllFailureNodes | 11-20 | t-0 | CloseLocation | 0.4297 | 0.5736 | -0.6149 | 0
AllFailureNodes | 5 | t-1 | EfficiencyRatio | 0.4843 | 0.3304 | 0.6053 | 0
AllFailureNodes | 5 | t-1 | BodyRelativeToPrevious | 7.1364 | 2.2500 | 0.6047 | 0
AllFailureNodes | 3 | t-5 | VolumeRelativeToPrevious | 0.8768 | 1.1111 | -0.5907 | 0
AllFailureNodes | 3 | t-3 | VolumeRelativeToPrevious | 1.1170 | 0.9018 | 0.5707 | 0
AllFailureNodes | 11-20 | t-0 | BodyRelativeToPrevious | 1.0575 | 6.1345 | -0.5677 | 0
AllFailureNodes | 11-20 | t-5 | BodyRelativeToPrevious | 6.6857 | 0.6855 | 0.5657 | 0
AllFailureNodes | 11-20 | t-2 | VolumeRelativeToPrevious | 1.5624 | 0.9088 | 0.5579 | 0
AllFailureNodes | 3 | t-2 | BodyRelativeToPrevious | 0.5964 | 0.9941 | -0.5348 | 0
AllFailureNodes | 6-10 | t-1 | TrueRangeRelativeToPrevious | 1.5060 | 1.0174 | 0.5314 | 0
AllFailureNodes | 5 | t-3 | PolarityFlipFlag | 0.2857 | 0.5385 | -0.5313 | 0
AllFailureNodes | 6-10 | t-1 | RangeRelativeToPrevious | 1.5054 | 1.0181 | 0.5298 | 0
AllFailureNodes | 11-20 | t-2 | VolumeRelativeToRollingMean | 0.7745 | 0.5747 | 0.5216 | 0
AllFailureNodes | 6-10 | t-0 | VolumeRelativeToSessionMean | 0.6066 | 0.4306 | 0.5207 | 0
AllFailureNodes | 4 | t-0 | VolumeRelativeToRollingMean | 0.4540 | 0.6614 | -0.5121 | 0
AllFailureNodes | 5 | t-0 | VolumeRelativeToPrevious | 0.8131 | 0.9981 | -0.5086 | 0
AllFailureNodes | 3 | t-2 | TrueRangeRelativeToPrevious | 0.7793 | 0.9127 | -0.5080 | 0
AllFailureNodes | 3 | t-2 | RangeRelativeToPrevious | 0.7795 | 0.9122 | -0.5056 | 0
AllFailureNodes | 11-20 | t-1 | VolumeRelativeToSessionMean | 0.5532 | 0.4268 | 0.5051 | 0
AllFailureNodes | 3 | t-5 | VolumeRelativeToRollingMean | 0.8605 | 1.3343 | -0.5049 | 0
AllFailureNodes | 5 | t-5 | CloseLocation | 0.4244 | 0.5807 | -0.5049 | 0
AllFailureNodes | 4 | t-1 | CloseLocation | 0.4393 | 0.5518 | -0.5003 | 0
AllFailureNodes | 5 | t-0 | BodyRelativeToPrevious | 23.6962 | 4.0025 | 0.4868 | 0
AllFailureNodes | 4 | t-1 | TrueRangeRelativeToPrevious | 0.7648 | 0.9481 | -0.4812 | 0
AllFailureNodes | 2 | t-3 | VolumeRelativeToSessionMean | 0.6267 | 0.7582 | -0.4806 | 0
AllFailureNodes | 4 | t-1 | RangeRelativeToPrevious | 0.7648 | 0.9481 | -0.4801 | 0
AllFailureNodes | 4 | t-1 | VolumeRelativeToRollingMean | 0.4998 | 0.6418 | -0.4707 | 0
AllFailureNodes | 4 | t-2 | CloseLocation | 0.4122 | 0.5159 | -0.4702 | 0
AllFailureNodes | 2 | t-3 | PolarityFlipFlag | 0.4250 | 0.6522 | -0.4680 | 0
AllFailureNodes | 2 | t-3 | TrueRangeRelativeToPrevious | 1.1169 | 1.3937 | -0.4441 | 0
AllFailureNodes | 2 | t-3 | RangeRelativeToPrevious | 1.1166 | 1.3924 | -0.4423 | 0
AllFailureNodes | 3 | t-3 | PolarityFlipFlag | 0.3333 | 0.5467 | -0.4401 | 0
AllFailureNodes | 4 | t-1 | EfficiencyRatio | 0.2731 | 0.3503 | -0.4381 | 0
AllFailureNodes | 5 | t-3 | BodyRelativeToPrevious | 0.9243 | 1.6638 | -0.4323 | 0
AllFailureNodes | 2 | t-0 | TrueRangeRelativeToPrevious | 0.8618 | 0.9982 | -0.4278 | 0
AllFailureNodes | 2 | t-0 | RangeRelativeToPrevious | 0.8620 | 0.9982 | -0.4269 | 0
AllFailureNodes | 2 | t-5 | BodyRelativeToPrevious | 4.6047 | 2.2268 | 0.4215 | 0
AllFailureNodes | 11-20 | t-2 | EfficiencyRatio | 0.3966 | 0.3083 | 0.4202 | 0
AllFailureNodes | 5 | t-2 | VolumeRelativeToSessionMean | 0.4368 | 0.5355 | -0.4183 | 0
AllFailureNodes | 11-20 | t-0 | RangeRelativeToPrevious | 0.9581 | 1.3469 | -0.4115 | 0
AllFailureNodes | 11-20 | t-0 | TrueRangeRelativeToPrevious | 0.9581 | 1.3469 | -0.4115 | 0
AllFailureNodes | 3 | t-0 | CloseLocation | 0.4288 | 0.5485 | -0.4112 | 0
AllFailureNodes | 2 | t-0 | BodyRelativeToPrevious | 0.8778 | 1.6072 | -0.3992 | 0
AllFailureNodes | 11-20 | t-3 | VolumeRelativeToRollingMean | 0.5793 | 0.6630 | -0.3988 | 0
AllFailureNodes | 2 | t-2 | TrueRangeRelativeToPrevious | 1.1486 | 0.9577 | 0.3909 | 0
AllFailureNodes | 5 | t-5 | VolumeRelativeToPrevious | 0.8027 | 0.9655 | -0.3905 | 0
AllFailureNodes | 11-20 | t-0 | EfficiencyRatio | 0.4401 | 0.3491 | 0.3902 | 0
AllFailureNodes | 2 | t-2 | RangeRelativeToPrevious | 1.1488 | 0.9590 | 0.3886 | 0
AllFailureNodes | 4 | t-5 | EfficiencyRatio | 0.5653 | 0.4707 | 0.3842 | 0
AllFailureNodes | 3 | t-1 | PolarityFlipFlag | 0.4000 | 0.5873 | -0.3814 | 0
AllFailureNodes | 5 | t-0 | VolumeRelativeToSessionMean | 0.5728 | 0.4808 | 0.3810 | 0
AllFailureNodes | All | t-5 | VolumeRelativeToSessionMean | 0.5876 | 0.7363 | -0.3804 | 0
AllFailureNodes | 6-10 | t-1 | VolumeRelativeToSessionMean | 0.5570 | 0.4335 | 0.3764 | 0
AllFailureNodes | 11-20 | t-3 | CloseLocation | 0.5915 | 0.4772 | 0.3738 | 0
AllFailureNodes | 6-10 | t-0 | VolumeRelativeToRollingMean | 0.7273 | 0.5692 | 0.3668 | 0
AllFailureNodes | 2 | t-5 | EfficiencyRatio | 0.5835 | 0.5001 | 0.3549 | 0
AllFailureNodes | 3 | t-0 | VolumeRelativeToSessionMean | 0.4249 | 0.5099 | -0.3536 | 0
AllFailureNodes | 3 | t-0 | TrueRangeRelativeToPrevious | 0.8357 | 0.9289 | -0.3499 | 0
AllFailureNodes | 5 | t-3 | VolumeRelativeToRollingMean | 0.6684 | 0.5973 | 0.3488 | 0
AllFailureNodes | 3 | t-0 | EfficiencyRatio | 0.4413 | 0.3557 | 0.3474 | 0
AllFailureNodes | 3 | t-0 | RangeRelativeToPrevious | 0.8357 | 0.9285 | -0.3470 | 0
AllFailureNodes | 5 | t-1 | CloseLocation | 0.6050 | 0.5140 | 0.3465 | 0
AllFailureNodes | 6-10 | t-5 | VolumeRelativeToRollingMean | 0.6017 | 0.7492 | -0.3459 | 0
AllFailureNodes | 6-10 | t-1 | VolumeRelativeToPrevious | 1.1860 | 0.9945 | 0.3432 | 0
AllFailureNodes | 5 | t-0 | PolarityFlipFlag | 0.4286 | 0.5968 | -0.3414 | 0
AllFailureNodes | 5 | t-2 | VolumeRelativeToPrevious | 0.9002 | 1.1140 | -0.3410 | 0
AllFailureNodes | 2 | t-1 | CloseLocation | 0.4646 | 0.5628 | -0.3402 | 0
AllFailureNodes | 11-20 | t-5 | CloseLocation | 0.4715 | 0.5571 | -0.3385 | 0
AllFailureNodes | 3 | t-1 | VolumeRelativeToSessionMean | 0.4525 | 0.5176 | -0.3313 | 0
AllFailureNodes | All | t-2 | BodyRelativeToPrevious | 4.6235 | 1.8790 | 0.3244 | 0

3. Warning Score Distribution
Score | FailureCount | ControlCount | FailurePercent | ControlPercent
0 | 15 | 12 | 13.27% | 9.45%
1 | 20 | 18 | 17.70% | 14.17%
2 | 26 | 22 | 23.01% | 17.32%
3 | 27 | 35 | 23.89% | 27.56%
4 | 15 | 27 | 13.27% | 21.26%
5 | 8 | 11 | 7.08% | 8.66%
6 | 2 | 2 | 1.77% | 1.57%

4. Threshold Performance Table
Threshold | DetectionAtFailure | EarlyDetection1 | EarlyDetection2 | EarlyDetection3 | FalsePositiveRate | Precision | Recall
>=1 | 86.73% | 100.00% | 100.00% | 100.00% | 36.52% | 28.32% | 86.73%
>=2 | 69.03% | 94.69% | 100.00% | 100.00% | 31.52% | 26.71% | 69.03%
>=3 | 46.02% | 78.76% | 95.58% | 99.12% | 22.83% | 25.12% | 46.02%
>=4 | 22.12% | 46.90% | 67.26% | 89.38% | 12.08% | 23.36% | 22.12%

5. Warning Score by Neutral Age Table
AgeBucket | Threshold | DetectionRate | FalsePositiveRate | Precision | Recall
2 | >=1 | 80.00% | 67.43% | 21.33% | 80.00%
2 | >=2 | 57.50% | 55.43% | 19.17% | 57.50%
2 | >=3 | 45.00% | 36.57% | 21.95% | 45.00%
2 | >=4 | 12.50% | 16.00% | 15.15% | 12.50%
3 | >=1 | 100.00% | 77.68% | 14.71% | 100.00%
3 | >=2 | 93.33% | 66.07% | 15.91% | 93.33%
3 | >=3 | 73.33% | 44.64% | 18.03% | 73.33%
3 | >=4 | 26.67% | 20.54% | 14.81% | 26.67%
4 | >=1 | 100.00% | 87.95% | 2.67% | 100.00%
4 | >=2 | 100.00% | 68.67% | 3.39% | 100.00%
4 | >=3 | 100.00% | 46.99% | 4.88% | 100.00%
4 | >=4 | 50.00% | 32.53% | 3.57% | 50.00%
5 | >=1 | 85.71% | 87.50% | 7.89% | 85.71%
5 | >=2 | 71.43% | 78.75% | 7.35% | 71.43%
5 | >=3 | 42.86% | 60.00% | 5.88% | 42.86%
5 | >=4 | 14.29% | 45.00% | 2.70% | 14.29%
6-10 | >=1 | 87.18% | 46.88% | 27.42% | 87.18%
6-10 | >=2 | 66.67% | 35.94% | 27.37% | 66.67%
6-10 | >=3 | 35.90% | 27.08% | 21.21% | 35.90%
6-10 | >=4 | 30.77% | 17.19% | 26.67% | 30.77%
11-20 | >=1 | 90.00% | 13.51% | 64.29% | 90.00%
11-20 | >=2 | 80.00% | 13.51% | 61.54% | 80.00%
11-20 | >=3 | 40.00% | 8.11% | 57.14% | 40.00%
11-20 | >=4 | 20.00% | 2.70% | 66.67% | 20.00%

6. Hard vs Warning Table
Method | DetectionRate | FalsePositiveRate | Precision | Recall | PhaseAgreement
HardNeutralFailurePhase | 33.63% | 3.57% | 45.78% | 33.63% | 68.90%
FailureWarningScore>=3 | 46.02% | 22.83% | 25.12% | 46.02% | 68.90%

7. Destination Conditioning Table
DestinationFamily | MeanWarningScore | DetectionRate | TopSignal
CompressionProcessing | 2.5833 | 50.00% | PolarityFlipFlag
MixedStructure | 2.5750 | 50.00% | PolarityFlipFlag
ReassertionProcessing | 1.6939 | 34.69% | PolarityFlipFlag
RecoveryResolution | 5.0000 | 100.00% | PolarityFlipFlag
ExhaustionPersistence | 4.0000 | 60.00% | PolarityFlipFlag
ConstructiveEmergence | 3.7500 | 75.00% | PolarityFlipFlag
DestructiveRotation | 3.0000 | 100.00% | PolarityFlipFlag
DecayToNeutral | 0.0000 | 0.00% | N/A

8. False Positive Anatomy Table
AgeBucket | SignalPattern | Count | SubsequentPhase
2 | BodyPressure+EfficiencyPressure+CloseExtremePressure | 6 | NeutralProcessing_Age3
2 | RangePressure+VolumePressure+PolarityInstability | 6 | NeutralProcessing_Age3
2 | BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 5 | NeutralProcessing_Age3
6-10 | BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 5 | NeutralProcessing_Age6-10
5 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure | 4 | NeutralProcessing_Age6-10
3 | BodyPressure+EfficiencyPressure+PolarityInstability | 4 | NeutralProcessing_Age4
5 | BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 4 | NeutralProcessing_Age6-10
3 | BodyPressure+EfficiencyPressure+CloseExtremePressure | 4 | NeutralProcessing_Age4
5 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+PolarityInstability | 4 | NeutralProcessing_Age6-10
3 | RangePressure+VolumePressure+PolarityInstability | 3 | NeutralProcessing_Age4
6-10 | RangePressure+VolumePressure+PolarityInstability | 3 | NeutralProcessing_Age6-10
3 | BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 3 | NeutralProcessing_Age4
2 | RangePressure+BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 2 | MixedStructure_Age1
2 | RangePressure+BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 2 | NeutralProcessing_Age3
3 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 2 | NeutralProcessing_Age4
6-10 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure | 2 | NeutralProcessing_Age6-10
2 | RangePressure+BodyPressure+EfficiencyPressure | 2 | NeutralProcessing_Age3
3 | BodyPressure+VolumePressure+EfficiencyPressure | 2 | NeutralProcessing_Age4
5 | BodyPressure+EfficiencyPressure+CloseExtremePressure | 2 | NeutralProcessing_Age6-10
6-10 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure | 2 | MixedStructure_Age1
4 | RangePressure+BodyPressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 2 | NeutralProcessing_Age5
6-10 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+PolarityInstability | 2 | NeutralProcessing_Age6-10
3 | RangePressure+CloseExtremePressure+PolarityInstability | 2 | NeutralProcessing_Age4
2 | BodyPressure+EfficiencyPressure+PolarityInstability | 2 | NeutralProcessing_Age3
4 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+CloseExtremePressure+PolarityInstability | 2 | NeutralProcessing_Age5
3 | RangePressure+BodyPressure+VolumePressure+EfficiencyPressure+PolarityInstability | 2 | NeutralProcessing_Age4
