APVA Interpretation Arbitration Study v0.1
Research only. No optimization, fitting, machine learning, trading rules, or future leakage.

Diagnostics
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
State counts: RecoveryResolution=68, ExhaustionPersistence=107, CompressionProcessing=205, NeutralProcessing=976, ReassertionProcessing=179, DecayToNeutral=86, DestructiveRotation=79, ConstructiveEmergence=14, MixedStructure=216
Age counts: 1=976, 2=327, 3=175, 4=114, 5=94, 6-10=207, 11-20=37, 21+=0
Validated context counts: B=11, C=13, D=23
Candidate interpretation counts: ValidatedContext=47, PreviousDistinctContext=1926, CurrentStateAge=1930

1. Reliability tables
InterpretationType | InterpretationKey | Count | PersistenceRate_t1 | ExitRate_t1 | Entropy_t1 | NormalizedEntropy_t1 | DominantDestination | DominantProbability_t1 | ReliabilityScore
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age1 | 9 | 11.11% | 88.89% | 1.5230 | 0.9463 | CompressionProcessing | 33.33% | 0.0000
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age2 | 1 | 100.00% | 0.00% | -0.0000 | 0.0000 | ExhaustionPersistence | 100.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age3 | 1 | 100.00% | 0.00% | -0.0000 | 0.0000 | ExhaustionPersistence | 100.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age4 | 1 | 100.00% | 0.00% | -0.0000 | 0.0000 | ExhaustionPersistence | 100.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age5 | 1 | 100.00% | 0.00% | -0.0000 | 0.0000 | ExhaustionPersistence | 100.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->ExhaustionPersistence+Age6-10 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | DestructiveRotation | 100.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->MixedStructure+Age1 | 5 | 20.00% | 80.00% | 1.3322 | 0.9610 | DecayToNeutral | 40.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->MixedStructure+Age2 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age1 | 53 | 60.38% | 39.62% | 1.1397 | 0.7081 | NeutralProcessing | 60.38% | 0.4994
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age11-20 | 13 | 61.54% | 38.46% | 1.0318 | 0.7443 | NeutralProcessing | 61.54% | 0.4865
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age2 | 32 | 75.00% | 25.00% | 0.8762 | 0.5444 | NeutralProcessing | 75.00% | 0.9556
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age3 | 24 | 83.33% | 16.67% | 0.5661 | 0.5153 | NeutralProcessing | 83.33% | 1.1514
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age4 | 20 | 100.00% | 0.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 2.0000
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age5 | 20 | 95.00% | 5.00% | 0.1985 | 0.2864 | NeutralProcessing | 95.00% | 1.6136
PreviousDistinctContext | CompressionProcessing->NeutralProcessing+Age6-10 | 63 | 77.78% | 22.22% | 0.8256 | 0.4608 | NeutralProcessing | 77.78% | 1.0948
PreviousDistinctContext | CompressionProcessing->ReassertionProcessing+Age1 | 2 | 0.00% | 100.00% | 0.6931 | 1.0000 | MixedStructure | 50.00% | 0.0000
PreviousDistinctContext | CompressionProcessing->RecoveryResolution+Age1 | 10 | 0.00% | 100.00% | 0.5004 | 0.7219 | CompressionProcessing | 80.00% | 0.0781
PreviousDistinctContext | ConstructiveEmergence->DecayToNeutral+Age1 | 1 | 0.00% | 100.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->MixedStructure+Age1 | 9 | 33.33% | 66.67% | 1.3108 | 0.9455 | NeutralProcessing | 33.33% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->MixedStructure+Age2 | 3 | 0.00% | 100.00% | 1.0986 | 1.0000 | DestructiveRotation | 33.33% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->NeutralProcessing+Age1 | 4 | 75.00% | 25.00% | 0.5623 | 0.8113 | NeutralProcessing | 75.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->NeutralProcessing+Age2 | 3 | 100.00% | 0.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->NeutralProcessing+Age3 | 3 | 66.67% | 33.33% | 0.6365 | 0.9183 | NeutralProcessing | 66.67% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->NeutralProcessing+Age4 | 2 | 100.00% | 0.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
PreviousDistinctContext | ConstructiveEmergence->NeutralProcessing+Age5 | 2 | 100.00% | 0.00% | -0.0000 | 0.0000 | NeutralProcessing | 100.00% | 0.0000
