APVA Excursion Destinations Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
Destination event count: 57

1. Destination Inventory
DestinationFamily | Count | Count_6E | Count_CL | Count_NQ | Probability | ReplicationCount
MixedStructure | VolumeRelativeToPrevious | t-5 | 0.9893 | 0.9358 | 0.3219
MixedStructure | VolumeRelativeToRollingMean | t-1 | 0.8587 | 0.8251 | 0.5697
MixedStructure | VolumeRelativeToRollingMean | t-2 | 0.8352 | 0.6705 | 0.5505
MixedStructure | VolumeRelativeToRollingMean | t-3 | 0.6941 | 0.7246 | 0.3165
MixedStructure | VolumeRelativeToRollingMean | t-5 | 0.6177 | 0.6501 | 0.2555
MixedStructure | VolumeRelativeToSessionMean | t-1 | 0.6590 | 0.6410 | 0.4362
MixedStructure | VolumeRelativeToSessionMean | t-2 | 0.6461 | 0.5512 | 0.4594
MixedStructure | VolumeRelativeToSessionMean | t-3 | 0.5278 | 0.5463 | 0.2163
MixedStructure | VolumeRelativeToSessionMean | t-5 | 0.5093 | 0.5542 | 0.2550
MixedStructure | EfficiencyRatio | t-1 | 0.4424 | 0.3969 | 0.2477
MixedStructure | EfficiencyRatio | t-2 | 0.4650 | 0.4756 | 0.2007
MixedStructure | EfficiencyRatio | t-3 | 0.3252 | 0.2800 | 0.2017
MixedStructure | EfficiencyRatio | t-5 | 0.3754 | 0.3200 | 0.1968
MixedStructure | CloseLocation | t-1 | 0.4858 | 0.4917 | 0.3127
MixedStructure | CloseLocation | t-2 | 0.5544 | 0.5306 | 0.2759
MixedStructure | CloseLocation | t-3 | 0.5305 | 0.5294 | 0.1837
MixedStructure | CloseLocation | t-5 | 0.5222 | 0.5392 | 0.2422
MixedStructure | MemoryStrength | t-1 | 0.1972 | 0.1972 | 0.0000
MixedStructure | MemoryStrength | t-2 | 0.2345 | 0.1972 | 0.0506
MixedStructure | MemoryStrength | t-3 | 0.2839 | 0.3030 | 0.0771
MixedStructure | MemoryStrength | t-5 | 0.3208 | 0.3030 | 0.0456
MixedStructure | BranchEntropy | t-1 | 1.2412 | 1.2412 | 0.0000
MixedStructure | BranchEntropy | t-2 | 0.9777 | 1.2412 | 0.3567
MixedStructure | BranchEntropy | t-3 | 0.6964 | 0.4947 | 0.4695
MixedStructure | BranchEntropy | t-5 | 0.7619 | 0.8115 | 0.3406
MixedStructure | PolarityFlipFlag | t-1 | 0.4118 | 0.0000 | 0.4922
MixedStructure | PolarityFlipFlag | t-2 | 0.3529 | 0.0000 | 0.4779
MixedStructure | PolarityFlipFlag | t-3 | 0.3529 | 0.0000 | 0.4779
MixedStructure | PolarityFlipFlag | t-5 | 0.5882 | 1.0000 | 0.4922
ReassertionProcessing | RangeRelativeToPrevious | t-1 | 0.8358 | 0.7749 | 0.4050
ReassertionProcessing | RangeRelativeToPrevious | t-2 | 1.3311 | 1.0759 | 0.8629
ReassertionProcessing | RangeRelativeToPrevious | t-3 | 0.9699 | 0.8016 | 0.4802
ReassertionProcessing | RangeRelativeToPrevious | t-5 | 0.9916 | 0.9833 | 0.2662
ReassertionProcessing | BodyRelativeToPrevious | t-1 | 1.3327 | 0.4286 | 2.0877
ReassertionProcessing | BodyRelativeToPrevious | t-2 | 3.0560 | 1.5389 | 3.4697
ReassertionProcessing | BodyRelativeToPrevious | t-3 | 3.2090 | 0.4188 | 7.0099
ReassertionProcessing | BodyRelativeToPrevious | t-5 | 2.8595 | 1.3158 | 3.0809
ReassertionProcessing | TrueRangeRelativeToPrevious | t-1 | 0.8362 | 0.7749 | 0.4066
ReassertionProcessing | TrueRangeRelativeToPrevious | t-2 | 1.3321 | 1.0759 | 0.8624
ReassertionProcessing | TrueRangeRelativeToPrevious | t-3 | 0.9699 | 0.8016 | 0.4802
ReassertionProcessing | TrueRangeRelativeToPrevious | t-5 | 0.9916 | 0.9833 | 0.2662
ReassertionProcessing | VolumeRelativeToPrevious | t-1 | 0.8741 | 0.8412 | 0.3624
ReassertionProcessing | VolumeRelativeToPrevious | t-2 | 1.0999 | 0.8891 | 0.6070
ReassertionProcessing | VolumeRelativeToPrevious | t-3 | 0.9700 | 0.9856 | 0.3009
ReassertionProcessing | VolumeRelativeToPrevious | t-5 | 0.8723 | 0.8493 | 0.1468
ReassertionProcessing | VolumeRelativeToRollingMean | t-1 | 0.5083 | 0.4920 | 0.2763
ReassertionProcessing | VolumeRelativeToRollingMean | t-2 | 0.5392 | 0.5291 | 0.2151
ReassertionProcessing | VolumeRelativeToRollingMean | t-3 | 0.5475 | 0.5680 | 0.2523
ReassertionProcessing | VolumeRelativeToRollingMean | t-5 | 0.4910 | 0.5647 | 0.1879
ReassertionProcessing | VolumeRelativeToSessionMean | t-1 | 0.4216 | 0.4332 | 0.2367
ReassertionProcessing | VolumeRelativeToSessionMean | t-2 | 0.4687 | 0.4564 | 0.2321
ReassertionProcessing | VolumeRelativeToSessionMean | t-3 | 0.4866 | 0.5475 | 0.2393
ReassertionProcessing | VolumeRelativeToSessionMean | t-5 | 0.4289 | 0.4619 | 0.1969
ReassertionProcessing | EfficiencyRatio | t-1 | 0.3680 | 0.2931 | 0.2428
