APVA Stage + Alignment + Breakout Type Study v0.1 - NQ
======================================================
Instrument: NQ
Input: C:\Users\rz0\Documents\ApvaAnalysis\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Total rows: 1930
Total stage-alignment-breakout observations: 1514
Breakout, SequenceStage, alignment, event, and DRFwd logic are reused from prior studies.
This is a descriptive decomposition of the prior Stage x Alignment result.

Observation Counts by BreakoutType
==================================
IBSYM             458
Lateral          1056

Observation Counts by Stage
===========================
Stage0       128
Stage1       394
Stage2       277
Stage3       257
Stage4       458

Observation Counts by Alignment
===============================
Aligned           757
Opposed           757

Event x Stage x Alignment x BreakoutType
========================================
Event                    Type       Stage Alignment    Count   MeanDRFwd5       Median  ContRate5  FailRate5  FlatRate5
DissipationContained     Lateral   Stage3 Aligned        17   -16.691176    -0.500000    47.06%    52.94%     0.00%
DissipationContained     Lateral   Stage3 Opposed        41     9.475610     0.500000    51.22%    48.78%     0.00%
DissipationContained     Lateral   Stage4 Aligned        71    -7.771127     2.750000    53.52%    46.48%     0.00%
DissipationContained     Lateral   Stage4 Opposed        41    -3.420732    -2.500000    46.34%    53.66%     0.00%
DissipationAccepted      IBSYM     Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationAccepted      IBSYM     Stage0 Opposed        17   -40.573529   -45.250000    29.41%    70.59%     0.00%
DissipationAccepted      IBSYM     Stage1 Aligned        25    -6.350000    -1.750000    48.00%    52.00%     0.00%
DissipationAccepted      IBSYM     Stage1 Opposed         8   -52.937500   -49.000000    25.00%    75.00%     0.00%
DissipationAccepted      IBSYM     Stage2 Aligned        12   -25.916667   -10.250000    41.67%    58.33%     0.00%
DissipationAccepted      IBSYM     Stage2 Opposed         9    -8.805556    -6.000000    33.33%    66.67%     0.00%
DissipationAccepted      IBSYM     Stage3 Aligned         3    26.333333    26.500000   100.00%     0.00%     0.00%
DissipationAccepted      IBSYM     Stage3 Opposed        21   -21.226190   -13.500000    38.10%    61.90%     0.00%
DissipationAccepted      IBSYM     Stage4 Aligned        24    -6.052083     0.500000    50.00%    50.00%     0.00%
DissipationAccepted      IBSYM     Stage4 Opposed        21     3.095238     8.250000    57.14%    42.86%     0.00%
DissipationAccepted      Lateral   Stage0 Aligned         0     0.000000     0.000000     0.00%     0.00%     0.00%
DissipationAccepted      Lateral   Stage0 Opposed        19   -30.263158   -13.750000    31.58%    68.42%     0.00%
DissipationAccepted      Lateral   Stage1 Aligned        66    -6.579545    -9.125000    42.42%    57.58%     0.00%
DissipationAccepted      Lateral   Stage1 Opposed        17   -10.264706    -2.500000    47.06%    52.94%     0.00%
DissipationAccepted      Lateral   Stage2 Aligned        23   -49.880435   -30.750000    30.43%    69.57%     0.00%
DissipationAccepted      Lateral   Stage2 Opposed        10    25.725000     2.625000    70.00%    30.00%     0.00%
DissipationAccepted      Lateral   Stage3 Aligned        12    -3.562500    24.125000    66.67%    33.33%     0.00%
DissipationAccepted      Lateral   Stage3 Opposed        42    -0.029762    -2.625000    47.62%    52.38%     0.00%
DissipationAccepted      Lateral   Stage4 Aligned        38    -4.414474    -3.375000    42.11%    57.89%     0.00%
