APVA Destination Robustness Study v0.1 - NQ
================================================================================================
Instrument: NQ
Input path(s): .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
Destination event count: 57

1. Baseline Signature Table
DestinationFamily | Signal | Horizon | EffectSize | ReplicationCount | Direction | Rank
ConstructiveEmergence | BodyRelativeToPrevious | t-2 | -0.6126 | 1 | Negative | 25
ConstructiveEmergence | VolumeRelativeToRollingMean | t-2 | -0.5951 | 1 | Negative | 26
ConstructiveEmergence | VolumeRelativeToRollingMean | t-1 | 0.4291 | 1 | Positive | 27
ConstructiveEmergence | VolumeRelativeToRollingMean | t-3 | -0.4110 | 1 | Negative | 28
ConstructiveEmergence | MemoryStrength | t-2 | 0.3167 | 1 | Positive | 29
ConstructiveEmergence | BranchEntropy | t-2 | -0.3167 | 1 | Negative | 30
ConstructiveEmergence | BodyRelativeToPrevious | t-3 | -0.3113 | 1 | Negative | 31
ConstructiveEmergence | VolumeRelativeToPrevious | t-3 | -0.2820 | 1 | Negative | 32
ConstructiveEmergence | RangeRelativeToPrevious | t-3 | -0.2220 | 0 | Negative | 33
ConstructiveEmergence | TrueRangeRelativeToPrevious | t-3 | -0.2168 | 0 | Negative | 34
ConstructiveEmergence | PolarityFlipFlag | t-3 | -0.2020 | 0 | Negative | 35
ConstructiveEmergence | MemoryStrength | t-5 | 0.1870 | 0 | Positive | 36
ConstructiveEmergence | BodyRelativeToPrevious | t-5 | -0.1686 | 0 | Negative | 37
ConstructiveEmergence | PolarityFlipFlag | t-1 | 0.0911 | 0 | Positive | 38
ConstructiveEmergence | CloseLocation | t-1 | -0.0861 | 0 | Negative | 39
ConstructiveEmergence | VolumeRelativeToSessionMean | t-1 | 0.0430 | 0 | Positive | 40
ConstructiveEmergence | CloseLocation | t-3 | 0.0305 | 0 | Positive | 41
ConstructiveEmergence | PolarityFlipFlag | t-2 | -0.0182 | 0 | Negative | 42
ConstructiveEmergence | MemoryStrength | t-1 | 0.0000 | 0 | Flat | 43
ConstructiveEmergence | BranchEntropy | t-1 | 0.0000 | 0 | Flat | 44
DecayToNeutral | RangeRelativeToPrevious | t-1 | 0.0000 | 0 | Flat | 1
DecayToNeutral | RangeRelativeToPrevious | t-2 | 0.0000 | 0 | Flat | 2
DecayToNeutral | RangeRelativeToPrevious | t-3 | 0.0000 | 0 | Flat | 3
DecayToNeutral | RangeRelativeToPrevious | t-5 | 0.0000 | 0 | Flat | 4
