Candidate,ValidationMode,AttributionScope,RegimeCode,RegimeYear,Instrument,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,NegativeCell,ContributionRankBestToWorst
PriorSlope_DominantPressureValue_Q3,Reference,YearAggregate,2023,2023,NQ,61,-0.040822581666251696,-0.1484848484848484,0.9380764381043706,-2.4901774816413536,0.4426229508196721,-0.01243935820006658,0.009998696302485888,True,14
PriorSlope_DominantPressureValue_Q3,Reference,YearAggregate,2023,2023,ES,56,-0.068285556191972,-0.11740093526950525,0.8895225636390919,-3.8239911467504326,0.42857142857142855,-0.019102251136315977,0.01535429760394046,True,15
PriorSlope_DominantPressureValue_Q3,Reference,YearAggregate,2017,2017,ES,43,-0.1754033929375638,-0.1971830985915493,0.6940771768082463,-7.542345896315243,0.3953488372093023,-0.037676809369919524,0.0302844381902648,True,16
PriorSlope_DominantPressureValue_Q3,Reference,YearAggregate,2019,2019,ES,45,-0.23502023469056635,-0.3206106870229007,0.6509246701754321,-10.575910561075485,0.35555555555555557,-0.05283058767135402,0.04246497231705223,True,17
