Candidate,ValidationMode,DatasetCode,RegimeYear,TimeBlock,RegimeWeek,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,NegativeBlock,ContributionRankBestToWorst
CCRRR,Reference,092022,2022,B05_2022-W33,2022-W33,2,0.9617761557177615,0.9617761557177615,inf,1.923552311435523,1.0,0.06105642328136519,0.016137904988003663,False,14
CCRRR,Reference,062019,2019,B08_2019-W23,2019-W23,2,0.7645903980010709,0.7645903980010709,inf,1.5291807960021417,1.0,0.04853848236898928,0.012829271264759969,False,15
CCRRR,Reference,062021,2021,B06_2021-W21,2021-W21,2,0.667763157894737,0.667763157894737,inf,1.335526315789474,1.0,0.04239159993490907,0.011204580538339854,False,16
CCRRR,Reference,092020,2020,B13_2020-W33,2020-W33,1,1.2119402985074628,1.2119402985074628,inf,1.2119402985074628,1.0,0.038468795164813004,0.010167738757180047,False,17
CCRRR,Reference,062023,2023,B03_2023-W21,2023-W21,1,1.065398335315101,1.065398335315101,inf,1.065398335315101,1.0,0.03381733438573089,0.008938304930663011,False,18
CCRRR,Reference,122017,2017,B03_2017-W44,2017-W44,6,0.1707129171877548,0.1441647597254005,1.6400598686782204,1.0242775031265288,0.5,0.03251209775615685,0.008593316089474915,False,19
CCRRR,Reference,062019,2019,B01_2019-W16,2019-W16,1,0.578512396694215,0.578512396694215,inf,0.578512396694215,1.0,0.018362847506714672,0.004853508811136101,False,20
CCRRR,Reference,122023,2023,B06_2023-W47,2023-W47,1,0.5291338582677165,0.5291338582677165,inf,0.5291338582677165,1.0,0.016795498947873827,0.004439240814972987,False,21
CCRRR,Reference,092022,2022,B03_2022-W31,2022-W31,1,0.5080645161290323,0.5080645161290323,inf,0.5080645161290323,1.0,0.01612672656033248,0.00426247668978001,False,22
CCRRR,Reference,062021,2021,B08_2021-W23,2021-W23,1,0.5031712473572939,0.5031712473572939,inf,0.5031712473572939,1.0,0.01597140690118904,0.004221423942709073,False,23
CCRRR,Reference,092024,2024,B05_2024-W33,2024-W33,1,0.4726065301604869,0.4726065301604869,inf,0.4726065301604869,1.0,0.015001237127510897,0.003964997070835146,False,24
CCRRR,Reference,LegacyGenerated,LegacyGenerated,B05_2024-W33,2024-W33,1,0.4726065301604869,0.4726065301604869,inf,0.4726065301604869,1.0,0.015001237127510897,0.003964997070835146,False,24
CCRRR,Reference,092024,2024,B04_2024-W32,2024-W32,1,0.3036144578313253,0.3036144578313253,inf,0.3036144578313253,1.0,0.009637176354126397,0.002547214985699862,False,26
CCRRR,Reference,122017,2017,B07_2017-W48,2017-W48,3,0.08103517186251012,0.2014388489208633,1.1215527577937652,0.24310551558753035,0.6666666666666666,0.007716532154339757,0.002039566945638906,False,27
CCRRR,Reference,032024,2024,B05_2024-W07,2024-W07,2,0.012396694214876103,0.012396694214876103,1.012396694214876,0.024793388429752206,0.5,0.0007869791788592045,0.00020800752047726262,False,28
CCRRR,Reference,062016,2016,B07_2016-W22,2016-W22,1,0.0,0.0,,0.0,0.0,0.0,0.0,True,29
CCRRR,Reference,062016,2016,B02_2016-W17,2016-W17,1,-0.0893617021276595,-0.0893617021276595,0.0,-0.0893617021276595,0.0,-0.0028364738914627313,0.0007497122121031502,True,30
CCRRR,Reference,062016,2016,B06_2016-W21,2016-W21,2,-0.05361519607843135,-0.05361519607843135,0.8366013071895425,-0.1072303921568627,0.5,-0.003403652800723765,0.0008996240290249202,True,31
CCRRR,Reference,122022,2022,B06_2022-W47,2022-W47,2,-0.10465116279069775,-0.10465116279069775,0.8953488372093023,-0.2093023255813955,0.5,-0.006643568416881159,0.0017559704635638595,True,32
CCRRR,Reference,122017,2017,B06_2017-W47,2017-W47,5,-0.05260294212035745,-0.3442622950819672,0.9309436586550064,-0.26301471060178727,0.4,-0.00834847973941715,0.0022065978579866646,True,33
CCRRR,Reference,062019,2019,B02_2019-W17,2019-W17,1,-0.2871794871794871,-0.2871794871794871,0.0,-0.2871794871794871,0.0,-0.009115505839230664,0.0024093315534255096,True,34
CCRRR,Reference,122017,2017,B08_2017-W49,2017-W49,1,-0.3043478260869565,-0.3043478260869565,0.0,-0.3043478260869565,0.0,-0.009660454557880324,0.0025533676789020352,True,35
CCRRR,Reference,062021,2021,B05_2021-W20,2021-W20,1,-0.3563636363636364,-0.3563636363636364,0.0,-0.3563636363636364,0.0,-0.011311514064136236,0.002989761427659838,True,36
CCRRR,Reference,122017,2017,B05_2017-W46,2017-W46,1,-0.4,-0.4,0.0,-0.4,0.0,-0.012696597418928429,0.0033558546636998183,True,37
CCRRR,Reference,122023,2023,B05_2023-W46,2023-W46,1,-0.411764705882353,-0.411764705882353,0.0,-0.411764705882353,0.0,-0.013070026754779265,0.0034545562714556953,True,38
CCRRR,Reference,062019,2019,B07_2019-W22,2019-W22,1,-0.5706521739130435,-0.5706521739130435,0.0,-0.5706521739130435,0.0,-0.01811335229602561,0.004787564397941316,True,39
CCRRR,Reference,092024,2024,B06_2024-W34,2024-W34,1,-0.748091603053435,-0.748091603053435,0.0,-0.748091603053435,0.0,-0.023745544791125683,0.006276216737453857,True,40
CCRRR,Reference,062016,2016,B03_2016-W18,2016-W18,1,-0.9210526315789472,-0.9210526315789472,0.0,-0.9210526315789472,0.0,-0.029235586162006246,0.007727296922993,True,41
