Candidate,ValidationMode,AttributionScope,RegimeCode,RegimeYear,Instrument,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,NegativeCell,ContributionRankBestToWorst
CCRRR,Reference,DatasetRegime,CanonicalOriginal,CanonicalOriginal,ES,20,0.8344958734504289,0.3152249670874312,3.3570197090080245,16.689917469008577,0.65,0.5297629076478569,0.2202198182550641,False,1
CCRRR,Reference,DatasetRegime,CanonicalOriginal,CanonicalOriginal,NQ,109,0.12401878162534753,0.1201716738197424,1.217731926716528,13.51804719716288,0.5137614678899083,0.42908300788112724,0.1783676823118183,False,2
CCRRR,Reference,DatasetRegime,122023,2023,NQ,3,2.338881409966555,2.0267260579064588,inf,7.016644229899665,1.0,0.22271876754720782,0.09258308915776427,False,3
CCRRR,Reference,DatasetRegime,092024,2024,NQ,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.15074549991567715,0.06266415808836875,False,4
CCRRR,Reference,DatasetRegime,LegacyGenerated,LegacyGenerated,NQ,2,2.3745810777766607,2.3745810777766607,inf,4.749162155553321,1.0,0.15074549991567715,0.06266415808836875,False,4
CCRRR,Reference,DatasetRegime,092022,2022,NQ,2,1.2459194578984467,1.2459194578984467,inf,2.4918389157968934,1.0,0.07909468886673061,0.03287927062411562,False,6
CCRRR,Reference,DatasetRegime,092020,2020,ES,3,0.8214864204957326,1.2119402985074628,2.5576236024984027,2.464459261487198,0.6666666666666666,0.07822561774613153,0.03251800206139421,False,7
CCRRR,Reference,DatasetRegime,092022,2022,ES,2,0.9773655913978495,0.9773655913978495,inf,1.954731182795699,1.0,0.06204608722545696,0.02579225131652771,False,8
CCRRR,Reference,DatasetRegime,062021,2021,ES,2,0.0060287081339713,0.0060287081339713,1.0338345864661656,0.0120574162679426,0.5,0.0003827204006662641,0.00015909497599868617,False,9
CCRRR,Reference,DatasetRegime,122017,2017,ES,6,-0.019898586440239147,-0.0842127479949346,0.9155174120369627,-0.11939151864143488,0.5,-0.003789665118561968,0.0015753450300299609,True,10
CCRRR,Reference,DatasetRegime,122022,2022,ES,2,-0.10465116279069775,-0.10465116279069775,0.8953488372093023,-0.2093023255813955,0.5,-0.006643568416881159,0.0027616985036316767,True,11
