Candidate,ValidationMode,Breakdown,VolumeCoverageGroup,ExplicitVolumeAvailable,Count,Mean,Median,ProfitFactor,SumContribution,PositiveFraction,ContributionShareOfNet,AbsoluteContributionShare,Instrument,DatasetCode,RegimeYear
PriorSlope_DominantPressureValue_Q3,Reference,AllInstruments,LegacyOrNoExplicitVolume,False,779,0.2802699023409915,0.1772151898734177,1.5445322986383183,218.33025392363234,0.5417201540436457,1.1035230754172098,0.9142343684658244,All,,
PriorSlope_DominantPressureValue_Q3,Reference,ByDataset,LegacyOrNoExplicitVolume,False,66,0.27936488005572496,0.09402524955960065,1.6081646467941202,18.43808208367785,0.5454545454545454,0.09319298942826341,0.06611690662976026,All,062021,2021
PriorSlope_DominantPressureValue_Q3,Reference,ByDataset,LegacyOrNoExplicitVolume,False,61,0.564098309494314,0.3097345132743363,2.336566152429183,34.409996879153155,0.5573770491803278,0.1739210434595181,0.12339041232511423,All,092020,2020
PriorSlope_DominantPressureValue_Q3,Reference,ByDataset,LegacyOrNoExplicitVolume,False,70,0.7222170014657082,0.4795775741574778,2.297405869906267,50.555190102599575,0.6142857142857143,0.25552491172311925,0.18128527514379175,All,092022,2022
PriorSlope_DominantPressureValue_Q3,Reference,ByDataset,LegacyOrNoExplicitVolume,False,75,0.20784228055816967,0.1772151898734177,1.5226522181049,15.588171041862726,0.5866666666666667,0.07878846902391612,0.05589744337975028,All,092024,2024
PriorSlope_DominantPressureValue_Q3,Reference,ByDataset,LegacyOrNoExplicitVolume,False,68,0.09226371160474878,-0.0976595176648571,1.1288703555506387,6.273932389122917,0.45588235294117646,0.03171080984235123,0.022497622046073775,All,122022,2022
PriorSlope_DominantPressureValue_Q3,Reference,ByDataset,LegacyOrNoExplicitVolume,False,397,0.2155202651878734,0.1132686084142395,1.4115451895569462,85.56154527958574,0.5239294710327456,0.4324601739225901,0.30681416183499055,All,CanonicalOriginal,CanonicalOriginal
PriorSlope_DominantPressureValue_Q3,Reference,ByDataset,LegacyOrNoExplicitVolume,False,42,0.17865086065786623,0.28231029243515265,1.3846153346003374,7.503336147630382,0.6190476190476191,0.037924678017451564,0.026906126853820055,All,LegacyGenerated,LegacyGenerated
PriorSlope_DominantPressureValue_Q3,Reference,ByInstrument,LegacyOrNoExplicitVolume,False,263,0.520720262772464,0.2153846153846153,1.9705055714396091,136.94942910915802,0.55893536121673,0.6921938323766639,0.5415107150622887,ES,,
PriorSlope_DominantPressureValue_Q3,Reference,ByInstrument,LegacyOrNoExplicitVolume,False,516,0.15771477677223705,0.14089918691283787,1.3131975683628385,81.38082481447432,0.5329457364341085,0.411329243040546,0.3217873117420531,NQ,,
PriorSlope_DominantPressureValue_Q3,Reference,AllInstruments,VolumeEnabled,True,545,-0.037581418115060064,-0.0654205607476635,0.9402580980663744,-20.481872872707736,0.46238532110091746,-0.10352307541720983,0.08576563153417564,All,,
