IsRotCompComp,EntropyDeltaQuartile,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum,StopRate,PositiveOutcomeFraction,InstrumentCount,ES_Count,NQ_Count
False,Q2,27,2.557227013083451,0.0977312390924956,2.201917540832366,0.5185185185185185,6.373834699099254,-2.0,-0.780564263322884,1.5138270867552635,14.271417458741814,16.06518010291595,69.04512935325317,0.1111111111111111,0.5185185185185185,1,27,0
False,Q1,10,-0.07076199546766955,-0.0032197344957400342,-0.17255847442339473,0.5,0.8735607947549567,-2.0,-0.8507367313185988,0.523936568717223,1.7148325358851675,1.875598086124402,-0.7076199546766955,0.1,0.5,1,10,0
False,Q4,9,-0.30234986538401437,-0.5992217898832685,-0.5667578960653719,0.3333333333333333,0.6228647143744485,-2.0,-1.3821656050955415,0.3641618497109826,1.4707764111040889,3.055374592833876,-2.721148788456129,0.1111111111111111,0.3333333333333333,1,9,0
