APVA Age Transition Matrix Study v0.1 - Aggregate
==========================================================

Instruments: 6E, CL, NQ

Aggregate Transition Matrix Lag 1
========================================
State                        Age    NextState                        6E_N    6E_Prob    6E_Lift     CL_N    CL_Prob    CL_Lift     NQ_N    NQ_Prob    NQ_Lift  ValidN   MeanProb   MeanLift
DecayToNeutral               1      MixedStructure                    423     28.47%      2.735       26     25.24%      2.164       21     24.42%      2.191       3     26.04%      2.363
DecayToNeutral               1      NeutralProcessing                 811     54.58%      1.132       63     61.17%      1.284       57     66.28%      1.310       3     60.67%      1.242
DestructiveRotation          1      CompressionProcessing              25      2.99%      0.162        1      1.41%      0.108        2      3.17%      0.299       3      2.52%      0.190
DestructiveRotation          1      DecayToNeutral                    249     29.78%      7.067       20     28.17%      7.338       17     26.98%      6.053       3     28.31%      6.819
DestructiveRotation          1      DestructiveRotation               100     11.96%      4.449       12     16.90%      5.398       11     17.46%      4.263       3     15.44%      4.704
DestructiveRotation          1      ExhaustionPersistence              95     11.36%      2.127        5      7.04%      1.074        8     12.70%      2.289       3     10.37%      1.830
DestructiveRotation          1      MixedStructure                     42      5.02%      0.483        1      1.41%      0.121        2      3.17%      0.285       3      3.20%      0.296
DestructiveRotation          1      NeutralProcessing                 228     27.27%      0.566       25     35.21%      0.739       16     25.40%      0.502       3     29.29%      0.602
DestructiveRotation          1      ReassertionProcessing              51      6.10%      1.070        3      4.23%      0.548        5      7.94%      0.855       3      6.09%      0.824
DestructiveRotation          1      RecoveryResolution                 43      5.14%      1.069        4      5.63%      0.945        2      3.17%      0.901       3      4.65%      0.972
DestructiveRotation          2      CompressionProcessing               2      2.00%      0.109        1      8.33%      0.639        0      0.00%        N/A       2      5.17%      0.374
DestructiveRotation          2      DecayToNeutral                     45     45.00%     10.677        4     33.33%      8.683        2     18.18%      4.078       3     32.17%      7.813
DestructiveRotation          2      DestructiveRotation                11     11.00%      4.091        1      8.33%      2.662        5     45.45%     11.099       3     21.60%      5.951
DestructiveRotation          2      ExhaustionPersistence              15     15.00%      2.807        3     25.00%      3.811        2     18.18%      3.278       3     19.39%      3.299
DestructiveRotation          2      NeutralProcessing                  10     10.00%      0.208        2     16.67%      0.350        1      9.09%      0.180       3     11.92%      0.246
DestructiveRotation          2      RecoveryResolution                  6      6.00%      1.247        1      8.33%      1.397        1      9.09%      2.579       3      7.81%      1.741
DestructiveRotation          3      CompressionProcessing               1      9.09%      0.494        1    100.00%      7.666        0      0.00%        N/A       2     54.55%      4.080
DestructiveRotation          3      DecayToNeutral                      7     63.64%     15.099        0      0.00%        N/A        4     80.00%     17.944       2     71.82%     16.522
ExhaustionPersistence        1      CompressionProcessing             145     12.99%      0.706        7      7.22%      0.553        3      5.88%      0.554       3      8.70%      0.604
ExhaustionPersistence        1      DecayToNeutral                    218     19.53%      4.635       17     17.53%      4.565       11     21.57%      4.838       3     19.54%      4.679
ExhaustionPersistence        1      DestructiveRotation                48      4.30%      1.600        2      2.06%      0.659        4      7.84%      1.915       3      4.74%      1.391
ExhaustionPersistence        1      ExhaustionPersistence             304     27.24%      5.098       31     31.96%      4.872       19     37.25%      6.716       3     32.15%      5.562
ExhaustionPersistence        1      NeutralProcessing                 164     14.70%      0.305       11     11.34%      0.238        6     11.76%      0.233       3     12.60%      0.259
ExhaustionPersistence        1      RecoveryResolution                237     21.24%      4.415       29     29.90%      5.013        8     15.69%      4.450       3     22.27%      4.626
