Threshold,Mode,RegimeWeek,Count,MeanSignedReturn,MedianSignedReturn,TStat,PositiveRowFraction
0.0,le,2026-W15,256,1.994140625,-1.25,1.336333966098102,0.44921875
0.0,le,2026-W16,194,2.7371134020618557,0.5,3.1365831915346725,0.5360824742268041
0.0,le,2026-W17,257,0.07198443579766536,-0.25,0.10653316062522504,0.47470817120622566
0.0,le,2026-W18,244,-0.04815573770491803,0.375,-0.07305270681889571,0.5081967213114754
0.0,le,2026-W19,226,-1.549778761061947,-0.5,-1.7931720737860133,0.4646017699115044
0.0,le,2026-W20,265,0.22830188679245284,-0.25,0.38248280451076977,0.4830188679245283
0.0,le,2026-W21,262,-0.4675572519083969,0.0,-0.6527915383239579,0.4961832061068702
0.02,le,2026-W15,256,1.994140625,-1.25,1.336333966098102,0.44921875
0.02,le,2026-W16,194,2.7371134020618557,0.5,3.1365831915346725,0.5360824742268041
0.02,le,2026-W17,257,0.07198443579766536,-0.25,0.10653316062522504,0.47470817120622566
0.02,le,2026-W18,244,-0.04815573770491803,0.375,-0.07305270681889571,0.5081967213114754
0.02,le,2026-W19,226,-1.549778761061947,-0.5,-1.7931720737860133,0.4646017699115044
0.02,le,2026-W20,265,0.22830188679245284,-0.25,0.38248280451076977,0.4830188679245283
0.02,le,2026-W21,262,-0.4675572519083969,0.0,-0.6527915383239579,0.4961832061068702
0.04,le,2026-W15,256,1.994140625,-1.25,1.336333966098102,0.44921875
0.04,le,2026-W16,194,2.7371134020618557,0.5,3.1365831915346725,0.5360824742268041
0.04,le,2026-W17,257,0.07198443579766536,-0.25,0.10653316062522504,0.47470817120622566
0.04,le,2026-W18,244,-0.04815573770491803,0.375,-0.07305270681889571,0.5081967213114754
0.04,le,2026-W19,226,-1.549778761061947,-0.5,-1.7931720737860133,0.4646017699115044
0.04,le,2026-W20,265,0.22830188679245284,-0.25,0.38248280451076977,0.4830188679245283
0.04,le,2026-W21,262,-0.4675572519083969,0.0,-0.6527915383239579,0.4961832061068702
0.06,le,2026-W15,256,1.994140625,-1.25,1.336333966098102,0.44921875
0.06,le,2026-W16,194,2.7371134020618557,0.5,3.1365831915346725,0.5360824742268041
0.06,le,2026-W17,257,0.07198443579766536,-0.25,0.10653316062522504,0.47470817120622566
0.06,le,2026-W18,244,-0.04815573770491803,0.375,-0.07305270681889571,0.5081967213114754
0.06,le,2026-W19,226,-1.549778761061947,-0.5,-1.7931720737860133,0.4646017699115044
0.06,le,2026-W20,265,0.22830188679245284,-0.25,0.38248280451076977,0.4830188679245283
0.06,le,2026-W21,262,-0.4675572519083969,0.0,-0.6527915383239579,0.4961832061068702
0.08,le,2026-W15,256,1.994140625,-1.25,1.336333966098102,0.44921875
0.08,le,2026-W16,194,2.7371134020618557,0.5,3.1365831915346725,0.5360824742268041
0.08,le,2026-W17,257,0.07198443579766536,-0.25,0.10653316062522504,0.47470817120622566
0.08,le,2026-W18,244,-0.04815573770491803,0.375,-0.07305270681889571,0.5081967213114754
0.08,le,2026-W19,226,-1.549778761061947,-0.5,-1.7931720737860133,0.4646017699115044
0.08,le,2026-W20,265,0.22830188679245284,-0.25,0.38248280451076977,0.4830188679245283
0.08,le,2026-W21,262,-0.4675572519083969,0.0,-0.6527915383239579,0.4961832061068702
0.1,le,2026-W15,259,1.9797297297297298,-1.25,1.3420594106601644,0.44787644787644787
0.1,le,2026-W16,200,2.62,0.5,3.079069017195233,0.525
0.1,le,2026-W17,261,0.08237547892720307,-0.25,0.12366863603672718,0.4789272030651341
0.1,le,2026-W18,248,-0.018145161290322582,0.5,-0.027888432674286884,0.5120967741935484
0.1,le,2026-W19,235,-1.7436170212765958,-0.5,-2.041406362477141,0.4595744680851064
0.1,le,2026-W20,270,0.2722222222222222,-0.25,0.46161285085078035,0.48518518518518516
0.1,le,2026-W21,264,-0.3058712121212121,0.125,-0.42193081990183945,0.5
0.12,le,2026-W15,259,1.9797297297297298,-1.25,1.3420594106601644,0.44787644787644787
0.12,le,2026-W16,200,2.62,0.5,3.079069017195233,0.525
0.12,le,2026-W17,261,0.08237547892720307,-0.25,0.12366863603672718,0.4789272030651341
0.12,le,2026-W18,248,-0.018145161290322582,0.5,-0.027888432674286884,0.5120967741935484
0.12,le,2026-W19,235,-1.7436170212765958,-0.5,-2.041406362477141,0.4595744680851064
0.12,le,2026-W20,270,0.2722222222222222,-0.25,0.46161285085078035,0.48518518518518516
0.12,le,2026-W21,264,-0.3058712121212121,0.125,-0.42193081990183945,0.5
0.14,le,2026-W15,259,1.9797297297297298,-1.25,1.3420594106601644,0.44787644787644787
0.14,le,2026-W16,200,2.62,0.5,3.079069017195233,0.525
0.14,le,2026-W17,261,0.08237547892720307,-0.25,0.12366863603672718,0.4789272030651341
0.14,le,2026-W18,248,-0.018145161290322582,0.5,-0.027888432674286884,0.5120967741935484
0.14,le,2026-W19,235,-1.7436170212765958,-0.5,-2.041406362477141,0.4595744680851064
0.14,le,2026-W20,270,0.2722222222222222,-0.25,0.46161285085078035,0.48518518518518516
0.14,le,2026-W21,264,-0.3058712121212121,0.125,-0.42193081990183945,0.5
0.16,le,2026-W15,259,1.9797297297297298,-1.25,1.3420594106601644,0.44787644787644787
0.16,le,2026-W16,200,2.62,0.5,3.079069017195233,0.525
0.16,le,2026-W17,261,0.08237547892720307,-0.25,0.12366863603672718,0.4789272030651341
0.16,le,2026-W18,248,-0.018145161290322582,0.5,-0.027888432674286884,0.5120967741935484
0.16,le,2026-W19,235,-1.7436170212765958,-0.5,-2.041406362477141,0.4595744680851064
0.16,le,2026-W20,270,0.2722222222222222,-0.25,0.46161285085078035,0.48518518518518516
0.16,le,2026-W21,264,-0.3058712121212121,0.125,-0.42193081990183945,0.5
0.18,le,2026-W15,259,1.9797297297297298,-1.25,1.3420594106601644,0.44787644787644787
0.18,le,2026-W16,200,2.62,0.5,3.079069017195233,0.525
0.18,le,2026-W17,261,0.08237547892720307,-0.25,0.12366863603672718,0.4789272030651341
0.18,le,2026-W18,248,-0.018145161290322582,0.5,-0.027888432674286884,0.5120967741935484
0.18,le,2026-W19,235,-1.7436170212765958,-0.5,-2.041406362477141,0.4595744680851064
0.18,le,2026-W20,270,0.2722222222222222,-0.25,0.46161285085078035,0.48518518518518516
0.18,le,2026-W21,264,-0.3058712121212121,0.125,-0.42193081990183945,0.5
0.2,le,2026-W15,263,1.8669201520912548,-1.5,1.2839722875244777,0.4448669201520912
