APVA Neutral Failure Timing Study v0.1 - Aggregate
================================================================================================
Instrument: ALL
Input path(s): .\Evidence\6E\6E_JUN26_5_Minute_CME_FX_Futures_ETH_20251130_20260531_apva_bar_evidence_v01.csv; .\Evidence\CL\CL_JUL26_5_Minute_Nymex_Energy_RTH_20260401_20260529_apva_bar_evidence_v01.csv; .\Evidence\NQ\NQ_5 Minute_apva_bar_evidence_v01.csv
ReferenceFailureCount: 2331
StableControlCount: 16494
Purpose: Test causal NeutralFailure timing as a warning score overlay.

1. Reference Failure Inventory
FailureNode | Count | Count_6E | Count_CL | Count_NQ | Probability
NeutralProcessing_Age2 | 1051 | 931 | 80 | 40 | 45.09%
NeutralProcessing_Age6-10 | 586 | 507 | 40 | 39 | 25.14%
NeutralProcessing_Age3 | 276 | 242 | 19 | 15 | 11.84%
NeutralProcessing_Age5 | 166 | 145 | 14 | 7 | 7.12%
NeutralProcessing_Age11-20 | 141 | 126 | 5 | 10 | 6.05%
NeutralProcessing_Age4 | 100 | 90 | 8 | 2 | 4.29%
NeutralProcessing_Age21+ | 11 | 11 | 0 | 0 | 0.47%

2. Warning Window Signal Table
FailureNode | AgeBucket | Horizon | Signal | FailureMean | ControlMean | EffectSize | ReplicationCount
AllFailureNodes | 4 | t-5 | TrueRangeRelativeToPrevious | 1.6116 | 1.3548 | 0.3093 | 3
AllFailureNodes | 5 | t-1 | RangeRelativeToPrevious | 1.4894 | 1.1561 | 0.3070 | 2
AllFailureNodes | 4 | t-1 | TrueRangeRelativeToPrevious | 0.8906 | 1.0207 | -0.3065 | 3
AllFailureNodes | 21+ | t-5 | TrueRangeRelativeToPrevious | 0.9518 | 1.1288 | -0.3033 | 1
AllFailureNodes | 6-10 | t-0 | VolumeRelativeToRollingMean | 0.8426 | 0.6433 | 0.2998 | 3
AllFailureNodes | 4 | t-1 | RangeRelativeToPrevious | 0.8948 | 1.0265 | -0.2993 | 3
AllFailureNodes | 21+ | t-0 | RangeRelativeToPrevious | 0.9530 | 1.1348 | -0.2988 | 1
AllFailureNodes | 5 | t-1 | BodyRelativeToPrevious | 2.4805 | 1.4088 | 0.2977 | 2
AllFailureNodes | 21+ | t-2 | VolumeRelativeToSessionMean | 0.3132 | 0.2258 | 0.2907 | 1
AllFailureNodes | 21+ | t-1 | BodyRelativeToPrevious | 1.6000 | 1.1856 | 0.2885 | 1
AllFailureNodes | 11-20 | t-3 | PolarityFlipFlag | 0.5887 | 0.7171 | -0.2724 | 2
AllFailureNodes | 4 | t-3 | EfficiencyRatio | 0.3510 | 0.4220 | -0.2662 | 2
AllFailureNodes | 21+ | t-1 | RangeRelativeToPrevious | 1.2916 | 1.1057 | 0.2601 | 1
AllFailureNodes | 21+ | t-5 | VolumeRelativeToRollingMean | 0.4188 | 0.5226 | -0.2598 | 1
AllFailureNodes | 3 | t-0 | RangeRelativeToPrevious | 0.9037 | 1.0194 | -0.2583 | 2
AllFailureNodes | 21+ | t-1 | EfficiencyRatio | 0.5485 | 0.4590 | 0.2464 | 0
AllFailureNodes | 6-10 | t-0 | VolumeRelativeToSessionMean | 0.6889 | 0.5386 | 0.2434 | 2
AllFailureNodes | 3 | t-0 | TrueRangeRelativeToPrevious | 0.9079 | 1.0132 | -0.2429 | 1
AllFailureNodes | All | t-3 | TrueRangeRelativeToPrevious | 1.3192 | 1.1317 | 0.2415 | 1
AllFailureNodes | 3 | t-2 | BodyRelativeToPrevious | 0.6777 | 0.8977 | -0.2405 | 2
AllFailureNodes | 3 | t-5 | VolumeRelativeToRollingMean | 0.8041 | 1.0069 | -0.2403 | 2
AllFailureNodes | 11-20 | t-2 | BodyRelativeToPrevious | 2.5067 | 1.1866 | 0.2375 | 2
AllFailureNodes | 21+ | t-2 | EfficiencyRatio | 0.4994 | 0.4265 | 0.2305 | 0
AllFailureNodes | 6-10 | t-1 | VolumeRelativeToRollingMean | 0.7589 | 0.6332 | 0.2284 | 1
AllFailureNodes | All | t-3 | RangeRelativeToPrevious | 1.3205 | 1.1390 | 0.2280 | 1
AllFailureNodes | 2 | t-0 | RangeRelativeToPrevious | 0.8957 | 0.9958 | -0.2193 | 1
AllFailureNodes | 2 | t-0 | TrueRangeRelativeToPrevious | 0.9043 | 1.0014 | -0.2185 | 1
AllFailureNodes | 5 | t-5 | CloseLocation | 0.5515 | 0.4783 | 0.2180 | 1
AllFailureNodes | 4 | t-3 | VolumeRelativeToRollingMean | 0.8216 | 0.7007 | 0.2169 | 2
AllFailureNodes | 5 | t-5 | PolarityFlipFlag | 0.6928 | 0.5909 | 0.2137 | 1
AllFailureNodes | 5 | t-0 | EfficiencyRatio | 0.5178 | 0.4543 | 0.2096 | 1
AllFailureNodes | 4 | t-5 | BodyRelativeToPrevious | 2.6886 | 2.1351 | 0.2080 | 2
AllFailureNodes | 3 | t-3 | VolumeRelativeToSessionMean | 1.0217 | 0.8292 | 0.2078 | 1
AllFailureNodes | 4 | t-5 | VolumeRelativeToPrevious | 1.7058 | 1.4204 | 0.2072 | 1
AllFailureNodes | 21+ | t-1 | TrueRangeRelativeToPrevious | 1.2760 | 1.1250 | 0.2066 | 0
