VolumePolarity,Count,AvgDR1,AvgDR2,AvgDR3,AvgDR5,AvgDR10,WinRate1,WinRate3,WinRate5,WinRate10,AvgMFE5,AvgMAE5,MfeMaeRatio5,AvgRaw1,AvgRaw3,AvgRaw5,AvgRaw10
Black,198,0.3939,-0.9735,0.8194,1.7184,11.2891,0.5202,0.5253,0.5354,0.5859,25.0379,-23.9571,1.0451,0.3939,0.8194,1.7184,11.2891
Red,168,0.4524,-2.0729,-5.2068,-6.8884,-5.0312,0.5655,0.4762,0.4583,0.4762,29.4405,-36.6905,0.8024,-0.4524,5.2068,6.8884,5.0312
