VolumePolarity,Anchor,NormalAvgDR5,InvertedAvgDR5,NormalWinRate5,InvertedWinRate5,NormalAvgDR10,InvertedAvgDR10,NormalWinRate10,InvertedWinRate10
Red,Tminus1,25.7917,-25.7917,0.6905,0.3036,25.3795,-25.3795,0.6369,0.3631
Red,Tminus2,24.4911,-24.4911,0.7321,0.2619,20.2902,-20.2902,0.5952,0.4048
