FailureWarningScore,Count,AvgDR3,AvgDR5,AvgDR10,WinRate3,WinRate5,WinRate10,AvgMFE5,AvgMAE5
0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,25,5.1500,1.3300,41.8800,0.5200,0.5600,0.6400,33.4100,-25.4200
4,35,-4.2000,4.1357,-12.0214,0.4857,0.6286,0.5714,21.9643,-28.9143
5,195,-3.3154,-5.0821,0.7731,0.4923,0.4769,0.5128,26.9423,-30.4949
6,111,-0.4302,-0.0360,5.5225,0.5225,0.4865,0.5405,27.4392,-29.8514
