VolumePolarity,Anchor,NormalAvgDR5,InvertedAvgDR5,NormalWinRate5,InvertedWinRate5,NormalAvgDR10,InvertedAvgDR10,NormalWinRate10,InvertedWinRate10
Black,Tminus1,32.7816,32.7816,0.7828,0.7828,37.8030,37.8030,0.7071,0.7071
Black,Tminus2,27.9760,27.9760,0.7172,0.7172,34.5871,34.5871,0.7121,0.7121
