Timestamp,Instrument,Open,High,Low,Close,Volume,StructuralState,AgeBucket,StateAgeNode,LoopPhase,PreviousLoopPhase,DestinationFamily,FailureWarningScore,RangePressure,BodyPressure,VolumePressure,EfficiencyPressure,CloseExtremePressure,PolarityInstability,RangeRelativeToPrevious,BodyRelativeToPrevious,VolumeRelativeToRollingMean,VolumeRelativeToPrevious,VolumeRelativeToSessionMean,EfficiencyRatio,CloseLocation,VolumePolarity,NeutralPersistenceBars,PriorNeutralPersistenceBars,DirectFormationToDestinationFlag,LateNeutralReachableFlag,NeutralExitReason,RawCandidateStructuralState,CandidateStructuralState,CandidateStateAge,ConfirmedStructuralState,CandidateConfirmedFlag,CandidateFamily,ConfirmedFamily,CompressionProcessingFamilyCandidateCount,ReassertionProcessingFamilyCandidateCount,MixedStructureFamilyCandidateCount,ExhaustionPersistenceFamilyCandidateCount,RecoveryResolutionFamilyCandidateCount,CompressionProcessingFamilyConfirmedCount,ReassertionProcessingFamilyConfirmedCount,MixedStructureFamilyConfirmedCount,ExhaustionPersistenceFamilyConfirmedCount,RecoveryResolutionFamilyConfirmedCount,SuppressedCompressionCount,SuppressedReassertionCount,DestinationCompressionCount,DestinationReassertionCount,DestinationMixedCount,DestinationExhaustionCount,DestinationRecoveryCount,ExcursionPercentWarning,NeutralProcessingPercentWarning,LateNeutralPercentWarning,DestinationCompressionZeroWarning,DestinationReassertionZeroWarning
2026-05-11 11:00:00,NQ JUN26,29455,29463.5,29439.75,29441.5,2727,NeutralProcessing,2,NeutralProcessing_Age2,NeutralMaturation,NeutralFormation,N/A,4,true,true,false,true,true,false,1.53225806,4.5,0.81834141,0.94457915,0.52751717,0.56842105,0.07368421,Red,2,0,false,false,BlockedEarlyExit,ReassertionProcessing,ReassertionProcessing,1,NeutralProcessing,false,ReassertionProcessing,N/A,20,26,149,63,25,0,0,42,48,3,20,25,0,4,22,40,22,false,false,false,true,false
2026-05-11 11:05:00,NQ JUN26,29442,29464,29440.75,29459,2866,NeutralProcessing,3,NeutralProcessing_Age3,NeutralMaturation,NeutralMaturation,N/A,4,false,true,true,true,false,true,0.97894737,1.25925926,0.87044996,1.05097176,0.55893397,0.7311828,0.78494624,Black,3,0,false,false,CandidatePending,RecoveryResolution,RecoveryResolution,1,NeutralProcessing,false,RecoveryResolution,N/A,20,26,149,63,26,0,0,42,48,3,20,26,0,4,22,40,22,false,false,false,true,false
2026-05-11 11:10:00,NQ JUN26,29459.25,29475,29456.25,29474,2268,NeutralProcessing,4,NeutralProcessing_Age4,NeutralMaturation,NeutralMaturation,N/A,2,false,false,false,true,true,false,0.80645161,0.86764706,0.69274118,0.79134682,0.44675979,0.78666667,0.94666667,Black,4,0,false,false,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,20,26,149,63,26,0,0,42,48,3,20,26,0,4,22,40,22,false,false,false,true,false
2026-05-11 11:15:00,NQ JUN26,29474.25,29475,29461.25,29464.25,2080,NeutralProcessing,5,NeutralProcessing_Age5,LateNeutral,NeutralMaturation,N/A,2,false,false,false,true,false,true,0.73333333,0.6779661,0.6337599,0.91710758,0.41401418,0.72727273,0.21818182,Red,5,0,false,true,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,20,26,149,63,26,0,0,42,48,3,20,26,0,4,22,40,22,false,false,false,true,false
2026-05-11 11:20:00,NQ JUN26,29463.25,29469,29457.25,29462.5,1966,NeutralProcessing,6-10,NeutralProcessing_Age6-10,LateNeutral,LateNeutral,N/A,0,false,false,false,false,false,false,0.85454545,0.075,0.6016096,0.94519231,0.39547329,0.06382979,0.44680851,Red,6,0,false,true,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,20,26,149,63,26,0,0,42,48,3,20,26,0,4,22,40,22,false,false,false,true,false
2026-05-11 11:25:00,NQ JUN26,29463,29469.5,29448.25,29465,3186,MixedStructure,1,MixedStructure_Age1,DestinationSelection,LateNeutral,MixedStructure,5,true,true,true,true,false,true,1.80851064,2.66666667,0.98567583,1.62054934,0.64480874,0.09411765,0.78823529,Black,0,6,false,false,ExtremeBreakConfirmed,MixedStructure,,0,MixedStructure,true,MixedStructure,MixedStructure,20,26,150,63,26,0,0,43,48,3,20,26,0,4,23,40,22,false,false,false,true,false
2026-05-11 11:30:00,NQ JUN26,29464.75,29475,29462.75,29472,1958,NeutralProcessing,1,NeutralProcessing_Age1,NeutralFormation,DestinationSelection,N/A,2,false,true,false,true,false,false,0.57647059,3.625,0.67891817,0.61456372,0.40030394,0.59183673,0.75510204,Black,1,0,false,false,ReturnToNeutral,NeutralProcessing,,0,NeutralProcessing,true,NeutralProcessing,N/A,20,26,150,63,26,0,0,43,48,3,20,26,0,4,23,40,22,false,false,false,true,false
2026-05-11 11:35:00,NQ JUN26,29471.75,29471.75,29454.75,29456.5,2554,ExhaustionPersistence,1,ExhaustionPersistence_Age1,DestinationSelection,NeutralFormation,ExhaustionPersistence,6,true,true,true,true,true,true,1.3877551,2.10344828,0.91253394,1.30439224,0.52627596,0.89705882,0.10294118,Red,0,1,true,false,ExtremeBreakConfirmed,ExhaustionPersistence,,0,ExhaustionPersistence,true,ExhaustionPersistence,ExhaustionPersistence,20,26,150,64,26,0,0,43,49,3,20,26,0,4,23,41,22,false,false,false,true,false
2026-05-11 11:40:00,NQ JUN26,29456.75,29471.25,29446.75,29449.25,2521,NeutralProcessing,1,NeutralProcessing_Age1,NeutralFormation,DestinationSelection,N/A,2,true,false,false,false,true,false,1.44117647,0.49180328,0.90600349,0.98707909,0.52353359,0.30612245,0.10204082,Red,1,0,false,false,ReturnToNeutral,NeutralProcessing,,0,NeutralProcessing,true,NeutralProcessing,N/A,20,26,150,64,26,0,0,43,49,3,20,26,0,4,23,41,22,false,false,false,true,false
2026-05-11 11:45:00,NQ JUN26,29448.5,29454,29437,29446.5,2914,NeutralProcessing,2,NeutralProcessing_Age2,NeutralMaturation,NeutralFormation,N/A,1,false,false,true,false,false,false,0.69387755,0.26666667,1.05575885,1.15589052,0.60896419,0.11764706,0.55882353,Red,2,0,false,false,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,20,26,150,64,26,0,0,43,49,3,20,26,0,4,23,41,22,false,false,false,true,false
2026-05-11 11:50:00,NQ JUN26,29446.25,29450.5,29431.75,29439.5,2280,NeutralProcessing,3,NeutralProcessing_Age3,NeutralMaturation,NeutralMaturation,N/A,3,true,true,false,true,false,false,1.10294118,3.375,0.82779654,0.78242965,0.48040139,0.36,0.41333333,Red,3,0,false,false,CandidatePending,ReassertionProcessing,ReassertionProcessing,1,NeutralProcessing,false,ReassertionProcessing,N/A,20,27,150,64,26,0,0,43,49,3,20,26,0,4,23,41,22,false,false,false,true,false
2026-05-11 11:55:00,NQ JUN26,29439.75,29452,29430.25,29435.75,2541,NeutralProcessing,4,NeutralProcessing_Age4,NeutralMaturation,NeutralMaturation,N/A,2,true,false,true,false,false,false,1.16,0.59259259,0.92468931,1.11447368,0.53924914,0.18390805,0.25287356,Red,4,0,false,false,None,NeutralProcessing,,0,NeutralProcessing,false,NeutralProcessing,N/A,20,27,150,64,26,0,0,43,49,3,20,27,0,4,23,41,22,false,false,false,true,false
2026-05-11 12:00:00,NQ JUN26,29435.5,29444,29386,29387.75,5259,ExhaustionPersistence,1,ExhaustionPersistence_Age1,DestinationSelection,NeutralMaturation,ExhaustionPersistence,5,true,true,true,true,true,false,2.66666667,11.9375,1.94112762,2.06965762,1.11410193,0.82327586,0.03017241,Red,0,4,false,false,ExtremeBreakConfirmed,ExhaustionPersistence,,0,ExhaustionPersistence,true,ExhaustionPersistence,ExhaustionPersistence,20,27,150,65,26,0,0,43,50,3,20,27,0,4,23,42,22,false,false,false,true,false
