VolumePolarity,Count,EventAvgDR5,EventAvgDR10,EventWinRate5,EventWinRate10,Minus1AvgDR5,Minus1AvgDR10,Minus1WinRate5,Minus1WinRate10,Minus2AvgDR5,Minus2AvgDR10,Minus2WinRate5,Minus2WinRate10
Red,168,-6.8884,-5.0312,0.4583,0.4762,25.7917,25.3795,0.6905,0.6369,24.4911,20.2902,0.7321,0.5952
Black,198,1.7184,11.2891,0.5354,0.5859,32.7816,37.8030,0.7828,0.7071,27.9760,34.5871,0.7172,0.7121
