Timestamp,Instrument,BarsUntilDestinationSelection
2026-05-15 13:25:00,NQ JUN26,8
2026-05-15 13:30:00,NQ JUN26,7
2026-05-15 13:35:00,NQ JUN26,6
2026-05-15 13:40:00,NQ JUN26,5
2026-05-15 13:45:00,NQ JUN26,4
2026-05-15 13:50:00,NQ JUN26,3
2026-05-15 13:55:00,NQ JUN26,2
2026-05-15 14:00:00,NQ JUN26,1
2026-05-18 08:05:00,NQ JUN26,3
2026-05-18 08:10:00,NQ JUN26,2
2026-05-18 08:15:00,NQ JUN26,1
2026-05-18 10:20:00,NQ JUN26,1
2026-05-18 12:30:00,NQ JUN26,4
2026-05-18 12:35:00,NQ JUN26,3
2026-05-18 12:40:00,NQ JUN26,2
2026-05-18 12:45:00,NQ JUN26,1
2026-05-18 13:20:00,NQ JUN26,3
2026-05-18 13:25:00,NQ JUN26,2
2026-05-18 13:30:00,NQ JUN26,1
2026-05-19 07:35:00,NQ JUN26,2
2026-05-19 07:40:00,NQ JUN26,1
2026-05-19 08:50:00,NQ JUN26,3
2026-05-19 08:55:00,NQ JUN26,2
2026-05-19 09:00:00,NQ JUN26,1
2026-05-19 13:35:00,NQ JUN26,3
2026-05-19 13:40:00,NQ JUN26,2
2026-05-19 13:45:00,NQ JUN26,1
2026-05-20 08:45:00,NQ JUN26,3
2026-05-20 08:50:00,NQ JUN26,2
2026-05-20 08:55:00,NQ JUN26,1
2026-05-20 09:25:00,NQ JUN26,4
2026-05-20 09:30:00,NQ JUN26,3
2026-05-20 09:35:00,NQ JUN26,2
2026-05-20 09:40:00,NQ JUN26,1
2026-05-20 10:10:00,NQ JUN26,1
2026-05-20 12:10:00,NQ JUN26,1
2026-05-20 13:30:00,NQ JUN26,7
2026-05-20 13:35:00,NQ JUN26,6
2026-05-20 13:40:00,NQ JUN26,5
2026-05-20 13:45:00,NQ JUN26,4
2026-05-20 13:50:00,NQ JUN26,3
2026-05-20 13:55:00,NQ JUN26,2
2026-05-20 14:00:00,NQ JUN26,1
2026-05-21 07:45:00,NQ JUN26,6
2026-05-21 07:50:00,NQ JUN26,5
2026-05-21 07:55:00,NQ JUN26,4
2026-05-21 08:00:00,NQ JUN26,3
2026-05-21 08:05:00,NQ JUN26,2
2026-05-21 08:10:00,NQ JUN26,1
2026-05-21 09:40:00,NQ JUN26,2
2026-05-21 09:45:00,NQ JUN26,1
2026-05-21 10:15:00,NQ JUN26,1
2026-05-21 11:40:00,NQ JUN26,1
2026-05-21 12:30:00,NQ JUN26,2
2026-05-21 12:35:00,NQ JUN26,1
2026-05-21 13:25:00,NQ JUN26,7
2026-05-21 13:30:00,NQ JUN26,6
2026-05-21 13:35:00,NQ JUN26,5
2026-05-21 13:40:00,NQ JUN26,4
2026-05-21 13:45:00,NQ JUN26,3
2026-05-21 13:50:00,NQ JUN26,2
2026-05-21 13:55:00,NQ JUN26,1
2026-05-22 10:00:00,NQ JUN26,1
2026-05-22 11:55:00,NQ JUN26,7
2026-05-22 12:00:00,NQ JUN26,6
2026-05-22 12:05:00,NQ JUN26,5
