FailureWarningScore,Count,Average1BarMove,Average2BarMove,Average3BarMove,Average5BarMove,Average10BarMove,AverageMFE5,AverageMAE5
0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,25,-14.5200,-11.0200,-14.3500,-4.6900,14.6000,18.3900,-40.4400
4,35,0.3643,4.1643,8.0714,4.9786,28.8786,31.5929,-19.2857
5,195,1.7064,1.2231,3.3923,9.3128,7.6064,32.9987,-24.4385
6,111,0.1757,0.4212,4.0698,-3.3829,1.9955,28.1194,-29.1712
