InputPath,Instrument,File,SourceRows,RowsAfterSessionFilter,SessionFilter,TimeMin,TimeMax,PressureRows
data/Validation/ES/xApvaV01StateLog_ES092024_CLEAN.csv,ES,xApvaV01StateLog_ES092024_CLEAN.csv,3278,3278,all,2024-07-17 06:40:00,2024-09-05 13:55:00,3275
data/Validation/NQ/xApvaV01StateLog_NQ092024.csv,NQ,xApvaV01StateLog_NQ092024.csv,3272,3272,all,2024-07-17 06:40:00,2024-09-05 13:55:00,3269
