method,block_size,boot_mean
iid,,0.20304328832283086
iid,,0.17345593125301423
iid,,0.18464758089784503
iid,,0.16391333884296458
iid,,0.152772317902247
iid,,0.19718529149173616
iid,,0.12308577866436263
iid,,0.15683564815160478
iid,,0.09262343809664962
iid,,0.17454148222061752
iid,,0.14409523691372766
iid,,0.2120983657781342
iid,,0.10936888791106653
iid,,0.21039228906579033
iid,,0.16037055449999357
iid,,0.18662221364391982
iid,,0.18513346504786046
iid,,0.17572250361304895
iid,,0.16953560088278125
iid,,0.11475823314050118
iid,,0.10722972716149105
iid,,0.18943053563430054
iid,,0.1560640445243725
iid,,0.17853484110917525
iid,,0.14701950027220909
iid,,0.17047559639089763
iid,,0.17820725880123137
iid,,0.1963515740261069
iid,,0.1770828323723335
iid,,0.15223842914028335
iid,,0.15010550011706703
iid,,0.1693067446172709
iid,,0.187118476924448
iid,,0.1111097027484306
iid,,0.2099037814775631
iid,,0.20148215695967361
iid,,0.20182928411547482
iid,,0.2070544047104261
iid,,0.20399967538325411
iid,,0.2322131900978653
iid,,0.11009833429578049
iid,,0.23949521753980216
iid,,0.16206574843282262
iid,,0.17306466693639525
iid,,0.1142897123250208
iid,,0.22139316471145187
iid,,0.2259243872030787
iid,,0.1806686171429124
iid,,0.1124027562241354
iid,,0.13739339289297603
iid,,0.19119163465845504
iid,,0.10031993392344918
iid,,0.17572362136832687
iid,,0.07537866878103748
iid,,0.22579564073662337
iid,,0.15275734076244044
iid,,0.2377867913786763
iid,,0.19825124616612697
iid,,0.054657066555204095
iid,,0.16294420269564477
iid,,0.16352943909624723
iid,,0.13212876556373498
iid,,0.156331289970333
iid,,0.20257869041354393
iid,,0.23150162816489545
iid,,0.16906321448820313
iid,,0.18208743252052975
iid,,0.1591155285309763
iid,,0.17767797688164327
iid,,0.14386200491543236
iid,,0.18105743949381195
iid,,0.11322604678288106
iid,,0.10973606657255096
iid,,0.16017770629802375
iid,,0.1940705297151726
iid,,0.22956400878084332
iid,,0.14462656706611424
iid,,0.1671948026528582
iid,,0.13611188468144883
iid,,0.22265776601856047
iid,,0.14311953974602368
iid,,0.19575401036187007
iid,,0.1720154385229924
iid,,0.2166833528932065
iid,,0.19119080437357663
iid,,0.23442194977253522
iid,,0.1553719696122184
iid,,0.12034337184664098
iid,,0.17889238890545836
iid,,0.13836832415783806
iid,,0.19950023588378124
iid,,0.15450983157958603
iid,,0.043790985191216325
iid,,0.2138979521123451
iid,,0.21588960946528965
iid,,0.12412537802670076
iid,,0.1781637111332508
iid,,0.21668706519587919
iid,,0.14758588229319314
iid,,0.17889464351325465
iid,,0.15962363615324127
iid,,0.14497833908840924
iid,,0.13023142741494947
iid,,0.1830082722708727
iid,,0.17031150785740487
iid,,0.12703832371508114
iid,,0.1699092256421684
iid,,0.20180926195979348
iid,,0.17752298804948963
iid,,0.20467653681796336
iid,,0.25050632119292576
iid,,0.08927943261243484
iid,,0.13599857068709942
iid,,0.19189017377064269
iid,,0.24383456272160733
iid,,0.1302713934206148
iid,,0.20863488808405278
iid,,0.1560532440105611
iid,,0.16243951665855733
iid,,0.21610432590557513
iid,,0.19864162896834422
iid,,0.13637128897862943
iid,,0.16062175372571105
iid,,0.24320530276606475
iid,,0.1545838868081983
iid,,0.1557510405466863
iid,,0.10583065975801026
iid,,0.23485469044982485
iid,,0.17981376379200847
iid,,0.12456271766644506
