InputPath,Instrument,File,SourceRows,RowsAfterSessionFilter,SessionFilter,TimeMin,TimeMax,PressureRows
data/Validation/6E/xApvaV01StateLog_6E.csv,6E,xApvaV01StateLog_6E.csv,5817,5817,all,2026-04-23 15:10:00,2026-05-24 16:50:00,5814
data/Validation/ES/xApvaV01StateLog_ES.csv,ES,xApvaV01StateLog_ES.csv,3148,3148,all,2026-04-06 06:40:00,2026-05-22 13:55:00,3145
data/Validation/NQ/xApvaV01StateLog_NQ.csv,NQ,xApvaV01StateLog_NQ.csv,9681,9681,all,2026-04-05 15:10:00,2026-05-24 16:50:00,9678
