InputPath,Instrument,File,SourceRows,RowsAfterSessionFilter,SessionFilter,TimeMin,TimeMax,PressureRows
data/Validation/ES/xApvaV01StateLog_ES062016.csv,ES,xApvaV01StateLog_ES062016.csv,3090,3090,all,2016-04-18 06:40:00,2016-06-06 13:55:00,3087
data/Validation/NQ/xApvaV01StateLog_NQ062016.csv,NQ,xApvaV01StateLog_NQ062016.csv,2827,2827,all,2016-04-18 06:40:00,2016-06-06 13:55:00,2824
