Threshold,Mode,Count,MeanSignedReturn,MedianSignedReturn,TStat,PositiveRowFraction,StdSignedReturn,ZeroRowFraction,NegativeRowFraction,ConditionMin,ConditionMax,ConditionMean,WeekRegimeCount,WeeklyPositiveFraction,WeeklyMeanOfMeans,WeeklyMedianOfMeans,WeeklyMinMean,WeeklyMaxMean
0.0,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.02,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.04,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.06,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.08,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.1,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.12,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.14,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.16,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
0.18,le,2035,0.4167076167076167,0.0,1.3787615107117464,0.48697788697788696,13.634037816740667,0.014742014742014743,0.4982800982800983,0.0,0.0,0.0,7,0.42857142857142855,0.42874370076442203,-0.03511705685618729,-1.019572953736655,2.2875
