ValidationMode,OverlapClass,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum,StopRate,ES_Count,NQ_Count,PositiveContribution,NegativeContribution,PositiveCount,NegativeCount,Top1PctWinContributionShare,Top5PctWinContributionShare,Top10PctWinContributionShare,ModeCount,ModeSum,EntryShareOfMode,NetContributionShareOfMode
Reference,All_PriorSlope_Q3,786,0.28349173737615463,0.17276516956322455,3.6559045512887187,0.5381679389312977,1.5465854948249114,-2.0,-0.8620331795863712,1.0464855315690917,2.045727724065848,31.769230769230766,222.82450557765753,0.16666666666666666,270,516,630.4908408305448,-407.6663352528872,423,359,0.17006597662129638,0.39129090295942964,0.542614641833028,786,222.82450557765753,1.0,1.0
Reference,BaseOnly_NeitherGrammar,704,0.24346619254684757,0.16191587712683997,3.059404295291737,0.5298295454545454,1.4598374759484063,-2.0,-0.8786685196318013,1.0143116580381102,2.0460412856023,31.769230769230766,171.4001995529807,0.171875,245,459,544.1410232526385,-372.74082369965794,373,328,0.16715331737652972,0.3815359082757671,0.5378491556415053,786,222.82450557765753,0.8956743002544529,0.769216110717433
Reference,Overlap_CCRRR,14,1.076197592881863,0.2985286592942994,1.1444121651677175,0.5714285714285714,3.3622281063630264,-2.0,-0.3424793388429752,1.4115910143584993,2.5499321955837586,12.237037037037036,15.066766300346083,0.14285714285714285,4,10,21.444967567091417,-6.378201266745333,8,6,0.5706251128034111,0.5706251128034111,0.7028104721392623,786,222.82450557765753,0.017811704834605598,0.0676171871728673
Reference,Overlap_RRCCC,68,0.5346697018283939,0.25503106742094034,1.8029286376343192,0.6176470588235294,2.273588977716917,-2.0,-0.6563327032136106,1.236749116607774,1.9733324997916146,16.06518010291595,36.357539724330785,0.11764705882352941,21,47,64.90485001081476,-28.547310286483984,42,25,0.24751894658471732,0.4538135211519521,0.5609890139790626,786,222.82450557765753,0.08651399491094147,0.16316670210969977
Spacing_10,All_PriorSlope_Q3,603,0.3011136982180615,0.1613559322033898,3.2930666027850912,0.538971807628524,1.5872814438020268,-2.0,-0.8386621056935903,1.0696328244708018,2.0587319243604014,31.769230769230766,181.57156002549107,0.1691542288557214,215,388,490.74455015098687,-309.17299012549586,325,274,0.1871856014116647,0.39232875323058886,0.543125536270968,603,181.57156002549107,1.0,1.0
Spacing_10,BaseOnly_NeitherGrammar,532,0.2381922011155016,0.1204424416222859,2.5411587041735624,0.5281954887218046,1.4489030475394158,-2.0,-0.8786685196318013,1.0227803664491342,2.049316175197646,31.769230769230766,126.71825099344686,0.17669172932330826,193,339,409.002480713051,-282.2842297196042,281,248,0.16943197141186694,0.37514981906346556,0.5357858771721774,603,181.57156002549107,0.8822553897180763,0.6978970218444822
Spacing_10,Overlap_CCRRR,10,1.3228270903805812,0.1229171500127901,1.0174700345351069,0.5,3.706141073493278,-2.0,-0.3424793388429752,1.3625579616906607,3.774943373125188,12.237037037037036,13.228270903805813,0.2,4,6,18.116512331193718,-4.888241427387904,5,5,0.6754631804029315,0.6754631804029315,0.6754631804029315,603,181.57156002549107,0.01658374792703151,0.07285431100525147
Spacing_10,Overlap_RRCCC,61,0.6823776742334162,0.4387464387464387,2.1188875006793655,0.639344262295082,2.8920025554355964,-2.0,-0.3036144578313253,1.2486486486486488,2.0348837209302326,16.06518010291595,41.62503812823839,0.09836065573770492,18,43,63.62555710674213,-22.00051897850373,39,21,0.2524957082256116,0.4629381629434248,0.5722685893176663,603,181.57156002549107,0.1011608623548922,0.22924866715026623
Spacing_20,All_PriorSlope_Q3,541,0.2898786784353014,0.1346153846153846,2.94420656353891,0.5397412199630314,1.5726589080018647,-2.0,-0.8032786885245903,0.9806763285024154,2.0348837209302326,31.769230769230766,156.82436503349805,0.16820702402957485,194,347,430.6773739401324,-273.8530089066343,292,246,0.19887504676197906,0.41523755038343996,0.5617457974746869,541,156.82436503349805,1.0,1.0
Spacing_20,BaseOnly_NeitherGrammar,480,0.22066339231265744,0.10980769524507775,2.193262777735115,0.5270833333333333,1.4173333245693833,-2.0,-0.8535839160839161,0.955631399317406,2.011087157821634,31.769230769230766,105.91842831007557,0.17708333333333334,176,304,359.7165845425434,-253.79815623246782,253,225,0.1766893697725504,0.39622511486755463,0.5507855073607658,541,156.82436503349805,0.8872458410351202,0.6753952313943764
Spacing_20,Overlap_CCRRR,9,1.5032330388985338,0.4768856447688564,1.0442674845399915,0.5555555555555556,3.9491766944577416,-2.0,-0.3563636363636364,1.4411764705882353,4.7151760024487315,12.237037037037036,13.529097350086804,0.2222222222222222,4,5,18.116512331193718,-4.587414981106912,5,4,0.6754631804029315,0.6754631804029315,0.6754631804029315,541,156.82436503349805,0.0166358595194085,0.08626910331948072
Spacing_20,Overlap_RRCCC,52,0.7187853725641482,0.4387352786905109,2.036639075673224,0.6538461538461539,3.4164855301216015,-2.0,-0.19702408146156053,1.2397239996179927,2.0260906893390014,16.06518010291595,37.376839373335706,0.07692307692307693,14,38,52.84427706639521,-15.467437693059495,34,17,0.3040098378625022,0.4505757556529208,0.5822117562370288,541,156.82436503349805,0.09611829944547134,0.23833566528614303
