ValidationMode,Regime,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Sum,StopRate,ES_Count,NQ_Count,PositiveContribution,NegativeContribution,PositiveCount,NegativeCount,Top1PctWinContributionShare,Top5PctWinContributionShare,Top10PctWinContributionShare,NetContributionShare,AbsoluteNetContributionShare
Reference,2020 | COVID / crisis,61,0.564098309494314,0.3097345132743363,2.383330166241238,0.5573770491803278,2.336566152429183,-2.0,-0.6494845360824743,1.5793499043977055,2.861878453038674,6.2093308778391645,34.409996879153155,0.11475409836065574,33,28,60.15507265906401,-25.745075779910838,34,27,0.1032220659599446,0.3350599270651028,0.4952379185279514,0.15442644780001893,0.15442644780001893
Reference,2021 | 2021 observed regime,66,0.27936488005572496,0.09402524955960065,1.3226565238264234,0.5454545454545454,1.6081646467941202,-2.0,-0.7206395348837209,0.7246759742519137,2.105805243445693,5.739999999999999,18.43808208367785,0.10606060606060606,37,29,48.75566496336737,-30.317582879689528,36,30,0.11772990901288607,0.4181727607251994,0.5925137095024965,0.08274710196653803,0.08274710196653803
Reference,2022 | tightening / bear trend,138,0.41180523544726433,0.20786080875628546,1.4598409902798017,0.5362318840579711,1.6483610482840105,-2.0,-1.8459597523219813,1.288296568627451,2.1866709884168936,31.769230769230766,56.82912249172248,0.2391304347826087,65,73,144.4795491207276,-87.6504266290051,74,64,0.2933749495455709,0.4521579444977849,0.5832254312902778,0.2550398231307495,0.2550398231307495
Reference,2024 | modern mixed regime,82,0.24490759385229138,0.1581814217304644,1.336718719117903,0.5487804878048781,1.5495797960089506,-2.0,-0.6278279804028307,0.8977006890035489,2.1386463987490636,7.865724381625442,20.082422695887892,0.13414634146341464,40,42,56.62383641183321,-36.54141371594532,45,36,0.13891189435517773,0.40672504479297755,0.5661458797685943,0.09012663415913598,0.09012663415913598
Reference,canonical | original regime,397,0.2155202651878734,0.1132686084142395,2.2190817582477655,0.5239294710327456,1.4115451895569462,-2.0,-0.8640625,1.0113765642775885,1.8901478545180985,16.06518010291595,85.56154527958574,0.163727959697733,95,302,293.46470500719204,-207.90315972760627,208,186,0.1702849948518289,0.38318631267531533,0.5350245846586,0.3839862453986971,0.3839862453986971
Reference,generated | legacy generated regime,42,0.17865086065786623,0.28231029243515265,0.7651770469240772,0.6190476190476191,1.3846153346003374,-2.0,-0.5207940283815929,0.9371081585438362,1.6401403123693865,5.822822822822823,7.503336147630382,0.19047619047619047,0,42,27.012012668360562,-19.50867652073018,26,16,0.21556419709676625,0.37017760969525854,0.49478284771403824,0.033673747544860425,0.033673747544860425
Spacing_10,2020 | COVID / crisis,56,0.4405783046474218,0.2821399839098955,1.8861052189645153,0.5535714285714286,1.9855280009203298,-2.0,-0.6918990446931913,1.4717605530225033,2.5692541060780414,6.2093308778391645,24.67238506025562,0.125,30,26,49.70707208813857,-25.03468702788296,31,25,0.12491845962741538,0.2910210866663762,0.47076783214140533,0.1358824314600361,0.1358824314600361
Spacing_10,2021 | 2021 observed regime,60,0.3542602472082953,0.1479856584093872,1.5517178826361882,0.5666666666666667,1.7945688047892505,-2.0,-0.607617335352006,1.0125508577410836,2.266129032258066,5.739999999999999,21.255614832497717,0.11666666666666667,33,27,48.00674664686023,-26.751131814362513,34,26,0.11956652764295182,0.3331642227796885,0.5566245393924586,0.11706467042257947,0.11706467042257947
Spacing_10,2022 | tightening / bear trend,123,0.46013282450601195,0.1926140477914554,1.4744726499379348,0.5284552845528455,1.7357347528612943,-2.0,-1.5567772511848341,1.2916666666666665,2.207759090964688,31.769230769230766,56.59633741423947,0.22764227642276422,56,67,133.52125797037007,-76.92492055613062,65,58,0.31745267441283687,0.48926722939422784,0.6091921088228524,0.3117026554505223,0.3117026554505223
Spacing_10,2024 | modern mixed regime,71,0.10617708077658172,0.1204424416222859,0.6723819415589797,0.5352112676056338,1.2310539917339356,-2.0,-0.7223703055813699,0.9335770476812797,1.9536281665951047,3.712707182320442,7.538572735137302,0.14084507042253522,35,36,40.16546084282324,-32.62688810768593,38,32,0.09243531891365883,0.2941811914913106,0.5059678693323977,0.04151846651578558,0.04151846651578558
