Feature,GateType,Gate,Direction,FeatureMin,FeatureMax,FeatureMean,Count,Mean,Median,TStat,WinRate,ProfitFactor,Min,Q25,Q75,Q90,Max,Top5SharePositiveSum,Sum
DirectionalNormalizedMFE,threshold,1.9966178128523115,ge,1.9966178128523115,19.488,4.015156472236445,52,2.6104224084119005,1.950897974047879,5.586307433444577,0.9423076923076923,23.623660872903145,-2.0,0.8919018254584066,2.9594444732918426,4.970039590012912,16.06518010291595,0.2969101604715886,135.74196523741884
DirectionalNormalizedMFE,quantile,Q4,inside_quantile,1.840535605599513,19.488,3.622635669373981,64,2.3462866017368427,1.6683605446568879,6.054921956692169,0.9375,21.99714118393507,-2.0,0.9151272282921218,2.5027027027027025,4.729506403460057,16.06518010291595,0.30339961654369557,150.16234251115793
DirectionalNormalizedMAE,threshold,-0.3181818181818182,ge,-0.3181818181818182,9.968,0.16476822700235141,52,2.1313784849828625,0.9508759542375309,4.596197695461695,0.9615384615384616,450.9006957644671,-0.1829268292682926,0.44864304672697564,2.0855353023312286,4.80999755978526,16.06518010291595,0.37887447520945183,110.83168121910884
DirectionalNormalizedMFE,threshold,1.5653638747340821,ge,1.5660218671152228,19.488,3.295418435318077,77,2.0712035447163606,1.6153846153846154,6.227945988509105,0.922077922077922,16.943206580633404,-2.0,0.8867562380038387,2.40625,4.355517241379311,16.06518010291595,0.28161040521743863,159.48267294315977
DirectionalNormalizedMAE,quantile,Q4,inside_quantile,-0.4056463595839524,9.968,0.06607139844941223,64,1.9641854013445097,1.1161878901690099,5.146348201267397,0.953125,357.50797367261293,-0.1829268292682926,0.45148889431291184,1.9926937325637868,4.28794975067127,16.06518010291595,0.3786196924370565,125.70786568604862
DirectionalNormalizedMAE,threshold,-0.48880768987316736,ge,-0.4850657108721625,9.968,-0.020195766687510244,77,1.8078362333000857,1.0746268656716418,5.611078066702826,0.935064935064935,272.8271927848803,-0.1829268292682926,0.4003813155386082,1.874015748031496,3.9122168430810045,16.06518010291595,0.34161550196259505,139.2033899641066
DirectionalNormalizedMFE,threshold,1.2243346007604563,ge,1.2243346007604563,19.488,2.8221154903031316,103,1.6356015660368903,1.3238042880703684,6.187515386245512,0.8640776699029126,10.478366846258252,-2.0,0.6464982724074279,1.950897974047879,4.115988992492954,16.06518010291595,0.31067378891726055,168.4669613017997
DirectionalNormalizedMAE,threshold,-0.6487488415199258,ge,-0.6487488415199258,9.968,-0.15737998620901908,103,1.537262879458697,0.8670694864048338,6.048824180756147,0.8446601941747572,47.71118559460412,-0.4771300448430493,0.1858133730470635,1.6972592787743794,3.610550881816871,16.06518010291595,0.35776245226191145,158.3380765842458
DirectionalNormalizedMAE,threshold,-0.8562470556720457,ge,-0.8534246575342466,9.968,-0.2730803551285245,128,1.3401020465087365,0.8204302344385286,6.396937655218875,0.828125,27.717175043231183,-0.7000000000000001,0.15598413261521585,1.6206338338142516,2.827761165652655,16.06518010291595,0.3524796384920865,171.53306195311828
DirectionalNormalizedMFE,threshold,0.9251651347539642,ge,0.9298409728718428,19.488,2.4825111774847257,128,1.3234467222548458,0.9317050485728777,5.953232208096685,0.8125,7.419758005625345,-2.0,0.35022612179905505,1.6632224968392575,2.977292070015107,16.06518010291595,0.32037069791237,169.40118044862027
DirectionalNormalizedMAE,threshold,-0.9924242424242424,ge,-0.9924242424242424,9.968,-0.38222415802427456,154,1.1586704340496348,0.6603701329115381,6.470228686779275,0.7792207792207793,17.063349179582808,-0.8516129032258064,0.062495977998381,1.556663574640031,2.47531658867348,16.06518010291595,0.3537004684875827,178.43524684364377
DirectionalNormalizedMFE,threshold,0.6915322580645161,ge,0.6915322580645161,19.488,2.2014433056232137,154,1.0809203413623196,0.8068154470631648,5.653829984682307,0.7727272727272727,5.787131609479675,-2.0,0.09405410188030784,1.6076624925462135,2.512432432432433,16.06518010291595,0.33363437087931325,166.46173256979722
DirectionalNormalizedMAE,threshold,-1.3811887965468368,ge,-1.3601340033500835,9.968,-0.49042386783077596,179,0.9637404820986869,0.5560747663551402,6.025792775520608,0.7094972067039106,8.374984319537315,-1.1256281407035176,-0.09320726566913384,1.3743997816612508,2.407758620689655,16.06518010291595,0.363768734256449,172.50954629566496
DirectionalNormalizedMFE,threshold,0.5091693635382957,ge,0.5134843581445524,19.488,1.9784929422942992,179,0.8491810248790875,0.6197916666666667,4.947214807833104,0.7039106145251397,3.987926498625875,-2.0,-0.1889303871804146,1.4121812844712975,2.415840136468868,16.06518010291595,0.35221232435521976,152.00340345335667
DirectionalNormalizedMAE,threshold,-1.860541427399508,ge,-1.860541427399508,9.968,-0.631891336781887,205,0.7929731536248243,0.4043321299638989,5.420524700719047,0.6439024390243903,4.929368825664731,-1.5813953488372092,-0.255091103965702,1.3238042880703684,2.1756183295550056,16.06518010291595,0.3917755297652818,162.559496493089
